1DE0000001	볼트 101 제어 단말기[CRLF][CRLF]
1DE0000269	휴브리스 코믹스 출판사...[CRLF]양질의 인쇄본을 싼가격에 출판 중[CRLF][CRLF]
1DE0000270	휴브리스 코믹스 출판사 인쇄 단말기.[CRLF][CRLF]인쇄기가 가동중일 때 손을 데지 마시오.[CRLF]
1DE0000271	휴브리스 코믹스 출판사 -[CRLF]양질의 인쇄본을 싼 가격에 출판중[CRLF][CRLF]인쇄기가 가동중일 때 손을 데지 마시오.[CRLF]
1DE0000272	던위치 보러스 , 유한 회사[CRLF]자동-기록 소프트웨어 ⓒ 2074 파그소프트[CRLF][CRLF]어서오세요, 헤르만 그랜저[CRLF]접근 가능한 기록:[CRLF]
1DE0000274	끝낼 수 없는 싸움을 시작했다면, 무기를 거두도록 하십시오. 당신의 적이 용서할지도 모릅니다...
1DE0000275	실험적인 치료를 받은 후에 강력한 방사능이 부상 여부에 상관없이 당신의 몸을 죽을 때까지 최고의 상태로 움직이도록 만들것입니다... 고도의 방사능을 쐬면 부러진 팔다리가 저절로 재생됩니다.
1DE0000276	볼트 87 의료 구역 관리실 접근[CRLF]비상시에만 사용 해 주십시오[CRLF]
1DE0000278	볼트-텍 112 안전 원자 저장고 접속[CRLF]권한 없는 직원은 안전 구역으로 들어갈수 없습니다.[CRLF]
1DE0000279	볼트 112 오버시어 접속[CRLF]어서오세요, 브라운 박사님[CRLF]
1DE0000280	당신의 풍채가 상대를 압도합니다. 모든 적에게 치명타 공격을 당할 확률이 50% 감소합니다.
1DE0000282	라운지 #11 감시 초소[CRLF]연구생 ID: 비어 있음[CRLF][CRLF]
1DE0000283	라운지 #23번 감시 스테이션[CRLF]거주민 ID: 알수 없음[CRLF][CRLF]경고: 확인되지 않은 거주민 상태[CRLF]기록을 확인해주세요[CRLF][CRLF]
1DE0000284	 군무부[CRLF] 평화수호 와 회복[CRLF] 조작 항목 영역, 27쪽[CRLF]
1DE0000287	오버시어 외에 접근 불가![CRLF]
1DE0000288	구역 4 보안 관계자 이상만 열람 가능[CRLF][CRLF]
1DE0000289	정비실 담당자만 열람 하십시오[CRLF]
1DE0000290	거래 내역 92 직원이외에 제어 금지[CRLF]
1DE0000291	안녕하세요, 닥터 레스코.[CRLF]무엇을 도와 드릴까요?[CRLF]
1DE0000292	게임이 너무 어렵거나 너무 쉽나요? 언제든지 게임을 멈추고 난이도를 조절할 수 있습니다.
1DE0000293	방사능 저항 퍽은 --뻔하지 않아요?-- 방사능 저항력을 높여줍니다. 방사능 저항력 수치에 25%를 올려줍니다.
1DE0000294	징발자 퍽이 있으면 보관함에서 평소보다 더 많은 탄약을 찾을 수 있습니다.
1DE0000295	이 퍽의 등급이 오를 때마다 모든 폭발형 무기에 20%의 추가피해 효과가 생깁니다.
1DE0000296	지금 바로 퍽은 즉시 레벨을 한 단계 상승시켜 줍니다. 레벨 상승의 각종 이득을 그대로 누릴 수 있습니다.
1DE0000297	잠귀신 퍽이 있으면 은신 상태에서 잠들어 있는 인간이나 좀비를 소리 없이 죽일 수 있는 옵션이 생깁니다. 이 상태로 적을 제거하면 경험치 보너스를 얻습니다.
1DE0000298	생명력 부여 퍽이 있는 경우 체력이 30점 추가됩니다.
1DE0000299	방화범 퍽이 있으면 화염방사기나 시쉬케밥등의 화염무기 피해가 50% 증가 합니다.
1DE0000300	은밀한 질주 퍽이 있으면 은신 점수에 10점 추가됩니다. 또한 달릴 때도 은신 상태가 풀리지 않습니다.
1DE0000301	저격수 퍽이 있으면 V.A.T.S. 모드에서 적의 머리를 명중시킬 확률이 크게 증가 합니다.
1DE0000302	이 퍽의 첫 등급에서는 동물이 주인공을 공격하지 않습니다. 두번째 등급에서는 동물들이 전투중에 주인공을 돕습니다. 하지만 다른 동물들과 싸우지는 않습니다. 개, 야오과이, 두더지쥐, 브라민에게 적용됩니다.
1DE0000303	가벼운 발걸음 퍽이 있으면 지뢰를 비롯하여 바닥에 설치된 함정에 걸리지 않습니다.
1DE0000304	거래의 달인 퍽을 얻으면, 상인에게 구입하는 물건 가격이 25% 할인됩니다.
1DE0000305	액션 보이 퍽이 있으면 V.A.T.S. 모드에서 사용할 수 있는 액션 점수에 25점이 추가됩니다.
1DE0000306	향상된 치명타 퍽이 있으면 적에게 치명타를 성공 시킬 때마다 50%의 추가 피해를 입힙니다.
1DE0000307	44구경 매그넘으로 무장한... 수호 천사를 얻게 됩니다. 이 퍽이 있으면 V.A.T.S.모드에서 가끔 의문의 사나이가 나타나 적에게 치명적인 공격을 가합니다.
1DE0000308	확장! 퍽이 있으면 네번째 기술을 주력 기술로 선택하여 즉시 15점을 올릴 수 있습니다.
1DE0000309	이 퍽이 있으면 모든 형태의 로봇에게 25%의 추가 피해를 입히고, 적 로봇에게 접근해서 영원히 기능을 상실하게 만들 수 있습니다.
1DE0000310	해킹에 실패해서 컴퓨터를 쓸 수 없게 되었습니까? 당신이 컴퓨터 천재라면 그럴 일은 없습니다! 이 퍽이 있으면 해킹에 실패해서 사용할 수 없는 컴퓨터도 다시 해킹할 수 있습니다.
1DE0000311	광합성 퍽이 있으면 직사광선을 받을 때 힘이 2점 추가됩니다. 또한 낮동안 서서히 체력이 회복되는 효과가 생깁니다.
1DE0000312	닌자 퍽을 얻으면 전설의 닌자처럼 강력한 능력이 생깁니다. 근접 무기 또는 맨손 공격을 가하는 경우, 타격이 치명타로 적중될 확률이 15% 증가 합니다. 은신 공격 치명타는 25%의 추가피해 효과를 얻습니다.
1DE0000313	우수한 학생 퍽의 등급이 오를때마다 경험치를 얻을 때 10%의 추가 경험치를 얻습니다.
1DE0000314	도둑 퍽의 등급이 오를때마다 은신 및 자물쇠따기 기술에 즉시 5점씩 보너스가 주어집니다.
1DE0000315	지식인 퍽이 있으면 레벨이 오를때마다 추가로 3점의 기술 점수를 추가로 얻습니다.
1DE0000316	곤충학자 퍽이 있으면 방사능 바퀴, 거대 개미, 방사능 전갈 등의 돌연변이 곤충을 공격할 때 50%의 추가 피해를 입힙니다.
1DE0000317	철권 퍽의 등급이 오를 때마다 맨손공격 피해가 5점씩 추가로 상승합니다.
1DE0000318	튼튼한 등짝 퍽이 있으면 50 파운드의 무게를 더 지닐 수 있습니다.
1DE0000319	강인함 퍽이 있으면 전체적인 피해 저항력이 10% 향상됩니다.(최대 85%)
1DE0000320	이해력 퍽이 있으면 책을 읽을 때 추가로 1점의 기술 점수를 얻습니다.
1DE0000321	행운을 부르는 손 퍽이 있으면 보관함에서 보다 많은 누카-콜라 병뚜껑을 발견할 수 있습니다.
1DE0000322	탐험가 퍽을 선택하면 지도의 모든 지점을 볼 수 있게 됩니다. 밖으로 나가 마음껏 탐험해 보시길!
1DE0000323	파라다이스폴에 오신 걸 환영 합니다[CRLF]
1DE0000324	라일리 레인저스 열람 전용[CRLF]당신이 이것을 읽고 있다면, 여기서 당장 꺼지는 게 좋을걸![CRLF][CRLF]
1DE0000325	"우리를 연마시킨 그 불길을 기억하라. 그것을 잊는 자는 방황할 것이다."[CRLF][CRLF][CRLF][CRLF]
1DE0000326	항목 - 레이저 소총/권총[CRLF]담당자 - J. T. 베닝[CRLF][CRLF]
1DE0000333	당신은 황무지의 가장 위험한 것들에 대한 시험을 겪었고, 여전히 살아남아 그 경험을 이야기 할 수 있습니다. 당신은 독과 방사능 저항력에 +2% 보너스를 얻었습니다. 또한 의학과 과학 기술에 2점을 얻었습니다.
1DE0000334	당신은 황무지의 가장 위험한 것들에 대한 시험을 겪었고, 여전히 살아남아 그 경험을 이야기 할 수 있습니다. 당신은 독, 방사능, 피해 저항력에 2%의 보너스를 얻었습니다.
1DE0000335	당신은 황무지의 가장 위험한 것들에 대한 시험을 겪었고, 여전히 살아남아 그 경험을 이야기 할 수 있습니다. 당신은 독과 방사능 저항력에 +2% 보너스를 얻었습니다. 또한 화술과 은신 기술에 2점을 얻었습니다.
1DE0000336	당신은 황무지의 가장 위험한 것들에 대한 시험을 겪었고, 여전히 살아남아 그 경험을 이야기 할 수 있습니다. 당신은 독과 방사능 저항력에 +2% 보너스를 얻었습니다. 또한 치명타 확률에 +1% 보너스를 얻었습니다.
1DE0000337	당신은 황무지의 가장 위험한 것들에 대한 시험을 겪었고, 살아 남았을 뿐만 아니라 몇가지를 배울 수 있었습니다. 당신은 독과 방사능 저항력에 +4% 보너스를 얻었습니다. 또한 의학과 과학 기술에 4점을 얻었습니다.
1DE0000338	당신은 황무지의 가장 위험한 것들에 대한 시험을 겪었고, 살아 남았을 뿐만 아니라 몇가지를 배울 수 있었습니다. 당신은 독과 방사능, 피해 저항력에 +4% 보너스를 얻었습니다.
1DE0000339	당신은 황무지의 가장 위험한 것들에 대한 시험을 겪었고, 살아 남았을 뿐만 아니라 몇가지를 배울 수 있었습니다. 당신은 독과 방사능 저항력에 +4% 보너스를 얻었습니다. 또한 화술과 은신 기술에 4점을 얻었습니다.
1DE0000340	당신은 황무지의 가장 위험한 것들에 대한 시험을 겪었고, 살아 남았을 뿐만 아니라 몇가지를 배울 수 있었습니다. 당신은 독과 방사능 저항력에 +4% 보너스를 얻었습니다. 또한 치명타 확률에 +2% 보너스를 얻었습니다.
1DE0000341	당신은 황무지에서 생존하는 방법에 대한 책을 써서 그 비밀을 다른 사람들에게 공유했습니다. 당신은 독과 방사능 저항력에 +6% 보너스를 얻었습니다. 또한 의학과 과학 기술에 6점을 얻었습니다.
1DE0000342	당신은 황무지에서 생존하는 방법에 대한 책을 써서 그 비밀을 다른 사람들에게 공유했습니다. 당신은 독과 방사능, 피해 저항력에 +6% 보너스를 얻었습니다.
1DE0000343	당신은 황무지에서 생존하는 방법에 대한 책을 써서 그 비밀을 다른 사람들에게 공유했습니다. 당신은 독과 방사능 저항력에 +6% 보너스를 얻었습니다. 또한 화술과 은신 기술에 6점을 얻었습니다.
1DE0000344	당신은 황무지에서 생존하는 방법에 대한 책을 써서 그 비밀을 다른 사람들에게 공유했습니다. 당신은 독과 방사능 저항력에 +6% 보너스를 얻었습니다. 또한 치명타 확률에 +3% 보너스를 얻었습니다.
1DE0000345	초기형 메딕 아머 [CRLF]USAF 야외 군사행동 연구개발[CRLF][CRLF]
1DE0000347	제너럴 어토믹스 인터네이셔널. [CRLF]편리한 재택 서비스 3.1[CRLF]=========================[CRLF]집에 오신걸 환영 합니다, 맥클레란 부인![CRLF]항목을 선택해 주십시오[CRLF]
1DE0000348	케이시 스미스 자동차 수리점[CRLF]코르베가 공식 판매/수리 지점[CRLF]
1DE0000349	볼트 76 정보[CRLF]
1DE0000350	볼트 92 정보[CRLF]
1DE0000351	볼트106 정보[CRLF]
1DE0000352	볼트 108 정보[CRLF]
1DE0000353	볼트 112 정보[CRLF]
1DE0000354	무기를 집어 넣으면 더 빨리 달릴 수 있습니다.
1DE0000355	무기를 정기적으로 수리 해 주십시오 -- 상태가 나쁠수록 무기의 효과가 떨어집니다.
1DE0000356	갑옷이나 복장의 상태가 나쁠수록, 전투에서 피해 저항력이 낮아집니다.
1DE0000357	핍-보이를 사용하면 신체 부위별 손상을 스팀팩으로 즉시 치료할 수 있습니다.
1DE0000358	무거운 무기나 복장을 착용하면 행동이 느려집니다.
1DE0000359	원거리 무기로 줌인 하면 이동 속도는 느려지지만 정확도는 좋아집니다.
1DE0000360	스팀팩을 사용하거나, 음식을 먹거나, 물을 마시거나, 잠을 자면 체력을 회복할 수 있습니다.
1DE0000361	앉으면 정확도가 향상되며 은신 상태가 됩니다.
1DE0000362	침대에서 자면 손상된 신체 부위와 체력이 완전히 회복됩니다.
1DE0000363	수돗물등을 마시는 것은 언제나 전략적인 선택이라 할 수 있습니다. -- 체력은 회복되지만 방사능 수치는 올라갑니다.
1DE0000364	은신 상태에 있더라도 달리게 되면 걸을 때보다 들키기 쉽습니다.
1DE0000368	경고: 이 단말기는 기록 보관소 보안망에 의해 승인되어지지 않았습니다. 지금 당장 접속을 해제해 주세요.[CRLF]
1DE0000369	볼트-텍 법인 본부[CRLF]워싱턴 D.C.[CRLF]일반 사원 접근[CRLF]
1DE0000372	볼트-텍 법인 본부[CRLF]워싱턴 D.C.[CRLF]시스템 운영 스테이션 1[CRLF]
1DE0000373	볼트-텍 법인 본부[CRLF]워싱턴 D.C.[CRLF]시스템 운영 스테이션 2[CRLF]
1DE0000374	볼트-텍 법인 본부[CRLF]워싱턴 D.C.[CRLF]시스템 운영 스테이션 3[CRLF]
1DE0000375	당신은 수년간 볼트의 리틀 야구단에서 선수로 활동했습니다. 이 퍽의 등급이 오를때마다 근접무기와 폭발물기술에 각각 5점씩 추가됩니다.
1DE0000376	전투 중 남성에게 10%의 추가 피해를 입힙니다. 전투 이외의 상황에서 성별이 다른 상대와 대화를 할 때 가끔 특별한 선택 옵션이 등장합니다.
1DE0000377	전투 중 여성에게 10%의 추가 피해를 입힙니다. 전투 이외의 상황에서 성별이 다른 상대와 대화를 할 때 가끔 특별한 선택 옵션이 등장합니다.
1DE0000378	피보라 퍽이 있으면, 종종 당신이 죽인 캐릭터나 생물체가 산산조각나, 주변을 온통 피로 얼룩지게 합니다. 재미있군요! 아참, 그리고 모든 피해가 5% 증가합니다.
1DE0000379	권총이나(비슷한 한손 무기)를 사용할 때 V.A.T.S. 모드에서 정확성이 크게 향상됩니다.
1DE0000380	식인종 퍽이 있으면 은신모드에 있는 동안 시체를 먹고 체력을 회복할 수 있습니다. 하지만 시체를 먹을 때마다 카르마가 나빠지게 됩니다. 만약 누군가에게 들키면 자연 행위에 반하는 범죄로 간주됩니다.
1DE0000381	야행성 인간 퍽이 있으면 해가 진 이후 지능과 인지력이 각각 2점씩 오릅니다(최대 10). 이 퍽은 당신의 "생체 시계" 에 직접 영향을 미치기 때문에 건물 안에서든 밖에서든 항상 활성화됩니다.
1DE0000382	재빠른 신진대사 퍽이 있는 경우 스팀팩을 사용할 때 20%의 체력 보너스를 얻습니다.
1DE0000383	교묘한 솜씨 퍽이 있으면 전투 중 적에게 치명타를 가할 확률이 높아집니다. 행운에 5점을 추가하는 것과 같은 효과가 있습니다.
1DE0000384	아다만티움 골격 퍽이 있으면 신체 부위별 피해가 평소의 50%로 감소 합니다.
1DE0000385	환영합니다, 증거자여. 당신은 광명을 찾을 수 있습니다...[CRLF]
1DE0000386	남자 숙소 보안 단말기[CRLF]
1DE0000387	여자 숙소 보안 단말기[CRLF]
1DE0000389	브래스 랜턴 컴퓨터 시스템에 오신 걸 환영합니다, 스탈씨. 오늘은 무엇을 하시겠습니까?[CRLF]
1DE0000390	공학관에 오신 것을 환영합니다[CRLF][CRLF]
1DE0000391	.......................[CRLF]. 쥬-롱 계획 .[CRLF].시험모델 연구 보고서 .[CRLF].......................[CRLF][CRLF][CRLF]
1DE0000392	(산기슭)[CRLF]이곳에 악의 기운을 내뿜는 그렐록이 있습니다.[CRLF]
1DE0000393	라운지 #37번 감시 스테이션[CRLF]거주민 ID: 906 -- 포스터, W.[CRLF][CRLF]
1DE0000394	라운지 #37번 감시 스테이션[CRLF]거주민 ID: 642 -- 비어 있음[CRLF][CRLF]경고 : 기술적 오작동 탐지됨. 관리 일정을 작성 해 주세요.[CRLF]
1DE0000395	8개의 질문에 모두 답하고 상품을 타가세요![CRLF]
1DE0000396	독립 선언문은 어떤 단체에서 선언되었습니까?[CRLF]
1DE0000397	난이도를 변경하면 전투의 어려움에 영향을 주지만, 적을 죽이고 얻는 경험치에도 영향을 줍니다.
1DE0000398	적이 도망가지 못하게 하려면? 다리를 부러뜨리세요.
1DE0000399	던위치 보러스 , 유한 회사[CRLF]
1DE0000400	당신은 해롤드의 신체변이에 노출되어 피부가 나무껍질처럼 딱딱해 졌습니다. 그 결과 피해 저항력에 영구적으로 +5%를 얻었습니다.
1DE0000401	박물관 로비 보안 단말기[CRLF]
1DE0000402	박물관 중앙홀 보안 단말기[CRLF]
1DE0000405	국가 방위대 창고[CRLF][CRLF]방공호 접속 단말기[CRLF][CRLF]
1DE0000406	DC 도시 지하철 계획 사무소[CRLF]계획 관리 시스템[CRLF]벨트웨이 수도 재건축 계획[CRLF][CRLF]계획 관리자로 접속 되셨습니다[CRLF]항목을 선택해 주십시오:[CRLF]
1DE0000407	DC 도시 지하철 계획 사무소[CRLF]인적 자원 관리 시스템[CRLF][CRLF]에밀리 웨이스로 접속 되셨습니다[CRLF]항목을 선택해 주십시오:[CRLF]
1DE0000409	환영합니다, 브라더후드[CRLF]
1DE0000412	국립 펜타곤 도서관에 오신 걸 환영합니다![CRLF]
1DE0000416	FEV 실험실 02 관계자외 접근 금지![CRLF]
1DE0000417	FEV 실험실 03 관계자외 접근 금지![CRLF]
1DE0000418	FEV 실험실 01 관계자외 접근 금지![CRLF]
1DE0000419	FEV 실험실 04 관계자외 접근 금지![CRLF]
1DE0000421	[위험] 극심한 방사능 수준 [위험][CRLF]
1DE0000422	볼트 87 내과장의 단말기[CRLF]닥터 웨인 메릭[CRLF]
1DE0000424	서류정리 데스크탑[CRLF]모델 986[CRLF]환영합니다, 모이라. 오늘은 무얼 하시겠습니까?[CRLF]
1DE0000425	롭코 보안 시스템 v7.3[CRLF][CRLF]명령 입력:[CRLF]
1DE0000426	이 출입구는 당신을 보호하기 위한 것입니다. 매우 위험한 보안 시스템이 설치되어있습니다. 허가되지 않은 접근을 시도하지 마십시오.[CRLF][CRLF]분명 경고 했습니다[CRLF]
1DE0000427	저먼타운 119(911)센터에 전화주셔서 감사합니다, 어떤 비상 사태를 당하셨습니까?[CRLF]
1DE0000430	당신은 파워 아머를 입을 수 있는 특별한 훈련을 받았습니다.
1DE0000431	약물 저항력 퍽이 있으면 싸이코나 제트 등의 화학물질에 중독될 확률이 50% 감소합니다.
1DE0000432	V.A.T.S.모드에서 소총(또는 비슷한 양손 무기)를 사용할 때 명중률이 크게 향상됩니다.
1DE0000433	화학자 퍽이 있으면 모든 화학물질의 효과 지속 시간이 2배로 증가 합니다.
1DE0000434	당신은 큰 무기에 매료되었습니다. 이 퍽의 등급이 오를 때마다 대형 화기 기술에 15점이 추가 됩니다.
1DE0000435	V.A.T.S. 모드에서 목표를 죽이고, V.A.T.S.를 나가면 모든 액션포인트(AP)가 회복됩니다.
1DE0000436	환영합니다, 엘더 라이언스[CRLF]
1DE0000437	안녕하세요, 스콰이어 맥슨! 시타델 최고 멋쟁이, 오늘 어떤가요?[CRLF]
1DE0000438	절단뼈, 이 멍청한 개자식아! 나 글레이드다 -- 네 단말기를 다시 해킹했지. 그러니까 네 멍청한 로봇 회로를 다 지우기 전에 암호나 바꾸라구! ;p[CRLF]
1DE0000439	강령을 기억하라.[CRLF]
1DE0000440	밴스님의 허가를 득하신분만 사용 해 주십시오.[CRLF]
1DE0000441	텐페니타워는 알리스터 텐페니의 창조물입니다.그는 행운을 찾아서 황무지로 온 영국인 이민자였다.
1DE0000442	알리스터 텐페니는 요즘 안전하고 편안한 그의 고급 스위트룸을 좀처럼 떠나지 않습니다.
1DE0000443	빅타운은 천연의 요새이지만, 이를 얕보는 노예 사냥꾼과 슈퍼 뮤턴트들의 끊임없는 공격 대상입니다.
1DE0000444	빅타운의 인구는 최근 몇년 눈에 띄게 줄었습니다. 거주자 대부분은 노예 사냥꾼과 슈퍼 뮤턴트들에게 죽임을 당하거나 잡혀갔다.
1DE0000445	빅 타운의 모든 거주자는 다른 곳에서 강제로 쫓겨난 사람들입니다.
1DE0000446	켄터베리 커먼은 상인들의 종착지 입니다.
1DE0000447	켄터베리 커먼 근처에는 거대한 로봇 수리 센터가 불길하게 모습을 드러내고 있습니다.
1DE0000448	켄터베리 커먼은 두 특수복장을 한 초인(악랄한 개미여인과 못배운 기계박사)의 끊임없는 전쟁터가 되어왔습니다.
1DE0000449	[CRLF]스텐-오-풀 3500 단어 가공 시스템[CRLF][CRLF]현재 사용자: 튤립[CRLF]현재 문서: 실낙원 사본[CRLF]
1DE0000450	환영합니다, 윈스롭.[CRLF]
1DE0000451	서류 정리 자료 관리 7000x[CRLF]환영합니다, 아즈루칼 [CRLF]
1DE0000453	메가톤 가운데의 큰 구멍에는 세계를 파괴시킨 거대한 분쟁의 잔해물인 핵폭탄이 터지지 않은 채 남아 있습니다.
1DE0000454	메가톤의 초기 정착자 일부는 근처의 볼트 101 에 들어갈 수 있습니다는 잘못된 기대로 모였다.
1DE0000455	일부 메가톤의 거주자들은 심슨 보안관과 술집 주인 콜린 모리아티 중에 누가 진짜 도시의 실세인지 궁금해합니다.
1DE0000456	원자숭배교 신자들은 메가톤의 핵폭탄을 숭배합니다.
1DE0000457	분화구옆 잡화점의 괴짜 주인 모이라 브라운은 그녀의 새 계획을 도와줄 사람을 찾고 있습니다.
1DE0000458	메가톤의 거주자들은 주위의 철벽들 덕분에 안전 하다고 느끼지만, 그들의 바로 옆에 핵폭탄을 두고 살고 있습니다는 것을 생각하면 아이러니한 일입니다.
1DE0000459	리벳시티의 앞부분은 짐칸의 나머지와 분리되어 마이얼럭들에게 점령 당했습니다.
1DE0000460	리벳시티의 작은 과학자들의 노력으로, 리벳시티는 점차 성장하여 황무지의 가장 큰 정착지가 되었습니다.
1DE0000461	리벳시티를 운영하는 의회의 멤버인 매디슨 리 박사는 당대 최고의 과학자 중 하나입니다.
1DE0000462	리벳시티에는 범죄자 감금 시설이 없습니다. 범죄자는 가둘 필요 조차 없기에.
1DE0000463	언더월드는 황무지 전역에 걸쳐 인권을 박탈당한 구울들의 안식처가 되어 왔습니다.
1DE0000464	언더월드는 역사 박물관의 특별 전시관에 만들어졌다. 그곳은 사후세계에 대한 각 문화의 시각차를 보여주는 전시관이었습니다.
1DE0000465	언더월드의 구울은 일반적으로 D.C.의 슈퍼 뮤턴트들에게 괴롭힘 당하지는 않지만, 최근 브라더후드가 그들의 뒷마당을 전장으로 만들고 있습니다.
1DE0000466	마마 돌체의 가공 식품[CRLF]미 전역에 걸친 사업[CRLF][CRLF]== 공장 가동 일람표 ==[CRLF]
1DE0000467	어서오십시오, 황 요원님.[CRLF]인민 공화국 만세![CRLF]{표시 설정: 영어/미국}[CRLF]
1DE0000470	미국 역사 박물관 내부 방어 시스템에 오신 걸 환영합니다 (M.A.H.I.D.S.)[CRLF]
1DE0000471	상대의 주머니에 지뢰나 폭탄을 몰래 넣으면 폭발을 일으키고... 상대의 몸은 산산조각 나게 됩니다.
1DE0000472	황무지에는 범죄와 처벌에 대한 제도적 장치가 없습니다. 누군가에게 나쁜 짓을 했다면, 살해 당할 수도 있습니다.
1DE0000473	은신은 빛의 세기, 소리, 복장의 무게나 크기, 시야 같은 많은 요소의 영향을 받습니다.
1DE0000474	동물의 친구 퍽이 있으면, 동물들의 갑작스런 공격의 희생자가 될 일은 없습니다.
1DE0000475	액션 보이 퍽이 있으면 V.A.T.S. 모드에서 사용할 수 있는 액션 점수에 25점이 추가됩니다.
1DE0000477	동심 퍽을 가지고 있으면 아이들을 대할 때 특별한 추가문을 추가하여 대화를 개선 해 줍니다. 
1DE0000478	액션 걸 퍽이 있으면 V.A.T.S. 모드에서 사용할 수 있는 액션 점수에 25점이 추가됩니다.
1DE0000479	연구와 개발[CRLF]< ! ! ! ! ! >[CRLF]L.O.B. 그룹에 단독 소유권 있음[CRLF]위반자는 #P47에 의해 처벌 함[CRLF][CRLF][CRLF]
1DE0000480	EEP 실험실 관계자외 접근 금지[CRLF]
1DE0000481	치료 기록실 관계자외 출입금지[CRLF]
1DE0000482	볼트 87 정비실 관계자외 접근 금지[CRLF]
1DE0000483	피터 스티븐, 기술자 등급 3[CRLF]
1DE0000484	슈퍼 뮤턴트가 사는 D.C. 폐허로 가는 유일한 길은 버려진 지하철 터널을 통해 가는 길뿐입니다.
1DE0000485	모리아티의 관계자만 사용 가능![CRLF]===================[CRLF]이달의 명언: "일하지 않은자 먹지도 말라."[CRLF]
1DE0000486	누카-콜라 운송부[CRLF][CRLF]
1DE0000489	청부 살인 업자 퍽은 당신이 죽인 모든 선한 사람이나 구울의 시체에서 귀를 얻을 수 있게 합니다. 이 귀는 특정한 인물에게 팔거나 할 수 있습니다...
1DE0000490	사이보그 퍽은 피해, 독, 방사능 저항력에 즉시 10%를 추가하며, 에너지 무기 기술에 10점을 추가합니다.
1DE0000491	파괴 전문가 퍽의 등급이 오를 때마다 모든 폭발형 무기에 20%의 추가 피해 효과가 생깁니다.
1DE0000492	지식인 퍽이 있으면 레벨이 오를때마다 추가로 3점의 기술 점수를 추가로 얻습니다.
1DE0000493	곤충학자 퍽이 있으면 방사능 바퀴, 거대 개미, 방사능 전갈 등의 돌연변이 곤충을 공격할 때 50%의 추가 피해를 입힙니다.
1DE0000495	총기광 퍽의 각 등급이 오를 때마다 소형 화기와 수리 기술에 5점을 추가로 얻습니다.
1DE0000499	침입자 퍽이 있으면 "강제로 따기"로 망가진 자물쇠에 다시 한번 시도할 수 있는 기회를 얻을 수 있습니다.
1DE0000503	질서의 수호자 퍽이 있으면 악한 캐릭터의 시체에서 손가락을 얻을 수 있습니다. 이 손가락은 어떤 선한 캐릭터에게 팔거나 교환할 수 있습니다.
1DE0000505	생명력 부여 퍽의 등급이 오를 때마다 체력(HP)이 30점 추가됩니다.
1DE0000506	가벼운 발걸음 퍽이 있으면 지뢰를 비롯하여 바닥에 설치된 함정에 걸리지 않습니다.
1DE0000507	파파 보이 퍽이 있으면 남성 캐릭터는 과학과 의학기술에 5점의 추가 점수를 얻습니다.
1DE0000508	파파 걸 퍽이 있으면 여성 캐릭터는 과학과 의학기술에 5점의 추가 점수를 얻습니다.
1DE0000509	꼬마 야구선수 퍽이 있으면 근접 무기와 수류탄의 효과를 높여주는 근접 무기와 폭발물 기술을 증가시켜줍니다.
1DE0000511	잠귀신 퍽이 있으면 자고 있는 캐릭터를 바로 죽일 수 있으며, 그에 따른 보너스 경험치를 얻습니다.
1DE0000512	교묘한 솜씨 퍽이 있으면 전투 중 적에게 치명타를 가할 확률이 5% 높아집니다.
1DE0000513	의문의 사나이 퍽이 있으면 간혹 V.A.T.S. 모드에서 당신에게 도움을 주는 의문의 사나이가 나타납니다.
1DE0000514	당신은 충분히 오랫동안 참아 왔습니다! 분노 폭발! 퍽은 체력이 20% 이하가 되면 힘이 10점 오르고 50%의 피해 저항력을 갖게 합니다.
1DE0000515	닌자 퍽을 얻으면 전설의 닌자처럼 강력한 능력이 생기고 치명타 확률과 피해를 높입니다.
1DE0000516	경직권 퍽을 가지고 있으면 V.A.T.S. 에서 맨손 공격을 할 때 적을 마비시키는 경우가 생깁니다.
1DE0000519	로봇 전문가 퍽은 모든 로봇에게 25%의 추가 피해를 입힐 수 있습니다.
1DE0000520	불량배 퍽의 등급이 오를 때마다 화술과 흥정 기술에 5점씩 추가됩니다.
1DE0000522	은밀한 질주 퍽이 있으면 은신 점수에 10점 추가됩니다. 또한 달릴 때도 은신 상태가 풀리지 않습니다.
1DE0000527	확장! 퍽이 있으면 네번째 기술을 주력 기술로 선택하여 즉시 15점을 올릴 수 있습니다.
1DE0000529	강인함 퍽이 있으면 전체적인 피해 저항력이 10% 향상됩니다.
1DE0000531	그렐록의 군림 (베타 버젼.632)[CRLF]
1DE0000532	무기 정보 조사 기초 자료[CRLF][CRLF]무기를 선택하세요[CRLF]
1DE0000536	공학 관리 자료실.[CRLF][CRLF]
1DE0000537	공학관 직원 단말기[CRLF][CRLF]
1DE0000538	머나먼 우주의 진실들![CRLF][CRLF]
1DE0000539	델타 IX 로켓[CRLF]
1DE0000540	사랑하는 그대여! 당신 인생의 황혼기에도 젊었은 시절 처럼 경이로움과 모험으로 가득차기를.[CRLF]
1DE0000544	인디펜던스 요새, 하부 출입구 제어 단말기[CRLF]
1DE0000546	당신의 두뇌 소프트웍스[CRLF]버전: 당신[CRLF]
1DE0000547	볼트-텍 경비 시스템[CRLF]소프트웨어 버전 1.02.f[CRLF]
