1DE0000001	Vault 101 Access Terminal[CRLF]
1DE0000339	You've been tested in some of the most dangerous parts of the wastes, and you've not only survived - you've learned a few things. You've gained +4% bonus to Poison Resistance & Radiation Resistance, and 4 points to both the Speech and Sneak skills.
1DE0000340	You've been tested in some of the most dangerous parts of the wastes, and you've not only survived - you've learned a few things. You've gained +4% bonus to Poison Resistance and Radiation Resistance, and a +2% bonus to Critical Chance.
1DE0000341	You wrote the book on how to survive in the Wasteland, and have shared your secrets with humanity. You've gained +6% bonus to Poison Resistance and Radiation Resistance, and 6 points to both the Medicine and Science skills.
1DE0000342	You wrote the book on how to survive in the Wasteland, and have shared your secrets with humanity. You've gained +6% bonus to Poison Resistance, Radiation Resistance and Damage Resistance.
1DE0000343	You wrote the book on how to survive in the Wasteland, and have shared your secrets with humanity. You've gained +6% bonus to Poison Resistance & Radiation Resistance, and 6 points to both the Speech and Sneak skills.
1DE0000344	You wrote the book on how to survive in the Wasteland, and have shared your secrets with humanity. You've gained +6% bonus to Poison Resistance & Radiation Resistance, and +3% bonus to Critical Chance.
1DE0000345	Medical Armor Prototype [CRLF]USAF Field Ops R&D[CRLF]
1DE0000347	General Atomics Intntl. [CRLF]In-Home Servant Interface 3.1[CRLF]=========================[CRLF]Welcome Home, Mrs. McClellan![CRLF]Please choose a task.
1DE0000348	Casey Smith Auto Body & Repair[CRLF]Authorized Corvega Repair and Reseller
1DE0000349	Vault 76 Information
1DE0000350	Vault 92 Information
1DE0000351	Vault 106 Information
1DE0000352	Vault 108 Information
1DE0000353	Vault 112 Information
1DE0000354	You can run faster with your weapon holstered.
1DE0000355	Repair your weapons regularly -- the lower the condition, the lower a weapon's effectiveness.
1DE0000356	The lower the condition of your armor or clothing, the less damage it resists in combat.
1DE0000357	Limb damage can be repaired directly by applying Stimpaks to affected areas, using the Pip-Boy.
1DE0000358	Heavier weapons and apparel will slow you down when they're equipped.
1DE0000359	Zooming in with a ranged weapon slows you down, but improves your accuracy.
1DE0000360	You can restore Health by using a Stimpak, eating food, drinking from a water source, or sleeping in a bed.
1DE0000361	Crouching will both improve your accuracy, and activate sneak mode.
1DE0000362	Sleeping in any bed will fully restore your Health and heal any crippled body parts.
1DE0000363	Drinking from a water source is always a tactical choice -- you will usually restore lost Health, but raise your radiation level.
1DE0000364	Running is noisier than walking and makes you easier to detect, even if you are sneaking.
1DE0000368	Warning: This terminal is not authorized on the National Archives Security Grid. Please disengage immediately.
1DE0000369	Vault-Tec Corporate Headquarters[CRLF]Washington D.C.[CRLF]Standard Employee Access
1DE0000372	Vault-Tec Corporate Headquarters[CRLF]Washington D.C.[CRLF]System Operation Station 1
1DE0000373	Vault-Tec Corporate Headquarters[CRLF]Washington D.C.[CRLF]System Operation Station 2
1DE0000374	Vault-Tec Corporate Headquarters[CRLF]Washington D.C.[CRLF]System Operation Station 3
1DE0000375	Years as the Vault little league MVP have honed your hitting and throwing. With every rank, you gain 5 points of Melee Weapons skill and 5 points of Explosives skill.
1DE0000376	In combat, you do +10% damage against male opponents. Outside of combat, you'll sometimes have access to unique dialogue options when dealing with the opposite sex.
1DE0000377	In combat, you do +10% damage against female opponents. Outside of combat, you'll sometimes have access to unique dialogue options when dealing with the opposite sex.
1DE0000378	With the Bloody Mess perk, characters and creatures you kill will often explode into a red, gut-ridden, eyeball-strewn paste. Fun! Oh, and you'll do 5% extra damage with all weapons.
1DE0000379	While using a pistol (or similar one-handed weapon), your accuracy in V.A.T.S. is significantly increased.
1DE0000380	With the Cannibal perk, when you're in Sneak mode, you gain the option to eat a corpse to regain Health. But every time you feed, you lose Karma, and if the act is witnessed, it is considered a crime against nature.
1DE0000381	When the sun is down, a Night Person gains +2 to both Intelligence and Perception (up to a maximum of 10). This perk directly affects your "internal clock," and remains active both inside and outside.
1DE0000382	With the Fast Metabolism perk, you gain a 20% Health bonus when using Stimpaks.
1DE0000383	With the Finesse perk, you have a higher chance to score a critical hit on an opponent in combat, equivalent to 5 extra points of Luck.
1DE0000384	With the Adamantium Skeleton perk, your limbs only receive 50% of the damage they normally would.
1DE0000385	Welcome, Confessor. May you walk in the Glow...
1DE0000386	Men's Dorm Security System
1DE0000387	Women's Dorm Security Terminal
1DE0000389	Welcome to The Brass Lantern computer system, Mr. Stahl. What would you like to do today?
1DE0000390	Welcome to the Museum of Technology
1DE0000391	.......................[CRLF].PROJECT ZHU-RONG     .[CRLF].PROTOTYPE LAB REPORTS.[CRLF].......................[CRLF][CRLF]
1DE0000392	(Mountainside)[CRLF]Grelok is here, spewing heresies.
1DE0000393	LOUNGER #37 MONITOR STATION[CRLF]RESIDENT ID: 906 -- FOSTER, W.[CRLF][CRLF]
1DE0000394	LOUNGER #37 MONITOR STATION[CRLF]RESIDENT ID: 642 -- UNOCCUPIED[CRLF][CRLF]WARNING: MECHANICAL MALFUNCTION DETECTED. PLEASE SCHEDULE MAINTENANCE
1DE0000395	Answer all 8 questions correctly and win!!!
1DE0000396	The Declaration of Independence was an act of what body?
1DE0000397	Changing the difficulty affects how hard combat is. But you'll also get more or less XP for killing enemies.
1DE0000398	Want to prevent an enemy from fleeing? Cripple the legs.
1DE0000399	Dunwich Borers LLC
1DE0000400	You've been exposed to Harold's mutation and your skin is now as hard as tree bark. As a result, you've gained a permanent +5% to Damage Resistance.
1DE0000401	Museum Lobby Security Terminal
1DE0000402	Museum Atrium Security Terminal
1DE0000405	National Guard Depot [CRLF][CRLF]Bunker Access Terminal[CRLF][CRLF]
1DE0000406	DC Metro Office of Urban Planning[CRLF]Project Management System[CRLF]Capital Beltway Reconstruction Project[CRLF][CRLF]You are logged in as Project Leader[CRLF]Please make your selection:
1DE0000407	DC Metro Office of Urban Planning[CRLF]Human Resources Management System[CRLF][CRLF]You are logged in as Emily Weise[CRLF]Please make your selection:
1DE0000409	Welcome, Brother
1DE0000412	Welcome to the Pentagon Library, General
1DE0000416	FEV Test Chamber 02 Authorized Personal Only!
1DE0000417	FEV Test Chamber 03 Authorized Personal Only!
1DE0000418	FEV Test Chamber 01 Authorized Personal Only!
1DE0000419	FEV Test Chamber 04 Authorized Personal Only!
1DE0000421	[DANGER] Extreme Radiation Levels [DANGER]
1DE0000422	Vault 87 Chief Physician's Terminal[CRLF]Dr. Wayne Merrick
1DE0000424	Doc-u-tron Desktop[CRLF]model 986[CRLF][CRLF]Welcome, MOIRA. What would you like to do today?
1DE0000425	RobCo Security System v7.3[CRLF][CRLF]Enter command:
1DE0000426	This door is for your own protection. Automated and highly deadly security systems are in place. DO NOT attempt to gain unauthorized entry.[CRLF][CRLF]You have been warned.
1DE0000427	Thank you for calling the Germantown 911 Call Center, What is the nature of your emergency?
1DE0000430	You have received the specialized training needed to move in any form of Power Armor.
1DE0000431	Having the Chem Resistant perk means you're 50% less likely to develop an addiction to chems, like Psycho or Jet.
1DE0000432	While using a rifle (or similar two-handed weapon), your accuracy in V.A.T.S. is significantly increased.
1DE0000433	With the Chemist perk, any chems you take last twice as long.
1DE0000434	You're obsessed with really big weapons. With each rank of this perk, you gain an additional 15 points to the Big Guns skill.
1DE0000435	If you kill a target in V.A.T.S., all your Action Points are restored upon exiting V.A.T.S.
1DE0000436	Greetings, Elder Lyons
1DE0000437	Hi, Squire Maxson! How's the best kid in the Citadel doing today?
1DE0000438	Hey Sawbones, you dumb son of a bitch! This is Glade -- I hacked your terminal again. Now change your password before I delete all your stupid robot poetry. ;p
1DE0000439	Remember our Laws.
1DE0000440	Use of this system is only by permission of Vance.
1DE0000441	Tenpenny Tower is the brainchild of Allistair Tenpenny, a British refugee who came to the Capital Wasteland seeking his fortune.
1DE0000442	Allistair Tenpenny now rarely leaves the comfort and safety of his penthouse suite. His is a madness reserved for the obscenely rich.
1DE0000443	Although it has some crude fortifications, Big Town is the subject of constant attack from Slavers and Super Mutants, who view it as an easy target.
1DE0000444	The population of Big Town has dwindled significantly in recent years. Most of the residents have been killed or dragged off by Slavers or Super Mutants.
1DE0000445	The residents of Big Town are all refugees of another settlement, from which they were forcibly expelled...
1DE0000446	Canterbury Commons is the end of the Capital Wasteland's established merchant caravan route.
1DE0000447	The remains of a large robot repair center loom over the settlement of Canterbury Commons.
1DE0000448	Canterbury Commons has become a constant battleground for two costumed "super humans" -- the sinister AntAgonizer and misguided Mechanist.
1DE0000449	Sten-o-pool 3500 Word Processing System[CRLF][CRLF]Current User: Tulip[CRLF]Current Document: Paradise Lost Transcript
1DE0000450	Welcome, Winthrop.
1DE0000451	Docutron Database 7000x[CRLF]Welcome, Ahzrukhal
1DE0000453	At the center of Megaton's crater sits an undetonated atomic bomb, a remnant of the great conflict that destroyed the world.
1DE0000454	Some of Megaton's first settlers were lured by the misguided hope of entering the nearby Vault 101.
1DE0000455	Some Megaton residents wonder who's really in charge -- Sheriff Simms, or saloon owner Colin Moriarty...
1DE0000456	The members of the Church of the Children of Atom worship Megaton's atomic bomb.
1DE0000457	Word is that Moira Brown, the eccentric owner of Craterside Supply, is looking for assistance on a new project.
1DE0000458	The residents of Megaton feel safe behind their metal walls. Ironic, considering their proximity to a live atomic bomb.
1DE0000459	The fore section of Rivet City is split from the rest of the carrier, and occupied by hostile Mirelurks.
1DE0000460	What was once a small scientific community gradually grew into Rivet City, the largest settlement in the Capital Wasteland.
1DE0000461	Doctor Madison Li, member of Rivet City's ruling council, is one of the greatest scientific minds of her generation.
1DE0000462	Rivet City has no holding facilities for criminals, and zero tolerance for crime.
1DE0000463	Underworld has become a haven for disenfranchised Ghouls throughout the Capital Wasteland.
1DE0000464	Underworld was formed in the remains of the Museum of History's special exhibit, which showcased different civilizations' views on the the afterlife.
1DE0000465	The Ghouls of Underworld generally aren't bothered by D.C.'s Super Mutants, but resent the Brotherhood of Steel for turning their back yard into a warzone.
1DE0000466	Mama Dolce's Processed Foods[CRLF]An All-American Business[CRLF][CRLF]== Plant Operations Menu ==
1DE0000467	Welcome, Agent Huang.[CRLF]Hail the People's Republic![CRLF]{display setting: English/US}
1DE0000470	Welcome to the Museum Of American History's Internal Defense System (M.A.H.I.D.S.)
1DE0000471	Picking someone's pocket and placing a mine or grenade in their inventory will activate the explosive... and cause one heck of a mess.
1DE0000472	The Capital Wasteland lacks a unified government, and any institutional system of crime and punishment. If you wrong someone, prepare to pay with your life.
1DE0000473	Stealth is affected by many factors, including light level, sound generated, weight and bulk of worn apparel, and line-of-sight.
1DE0000474	With the Animal Friend perk, you will never be the victim of an unprovoked attack from any animal.
1DE0000475	With the Action Boy perk, you gain an additional 20 Action Points to use in V.A.T.S.
1DE0000477	The Child at Heart perk improves your interactions with children with unique dialogue choices.
1DE0000478	With the Action Girl perk, you gain an additional 25 Action Points to use in V.A.T.S.
1DE0000479	Reasearch & Development[CRLF]< !  !  !  !  !  >[CRLF]SOLE OWNERSHIP L.O.B. ENTERPRISES[CRLF]VIOLATORS PUNISHED UNDER #P47[CRLF][CRLF]
1DE0000480	EEP Laboratory Technicians Eyes Only
1DE0000481	Medical Records Section Personnel Only
1DE0000482	Vault 87 Engineering Section Employees Only
1DE0000483	Peter Stevens, Technician Class 3
1DE0000484	The only way to reach the Super Mutant-occupied D.C. ruins is by traveling underground, usually through the abandoned Metro tunnels.
1DE0000485	Moriarty's Property Only![CRLF]===================[CRLF]Motivational Phrase of the Month: "When the chips are down, it means the Brahmin is empty."
1DE0000486	Nuka-Cola Shipping Department[CRLF]
1DE0000489	Once you have the Contract Killer perk, any Good human or Ghoul character you kill will have an ear on their corpse, which can be sold or traded to a certain Evil character...
1DE0000490	The Cyborg perk adds 10 points to your Damage, Poison and Radiation Resistances, and 10 points to your Energy Weapons skill.
1DE0000491	With each rank of the Demolition Expert perk, all of your explosive weapons do an additional 20% damage.
1DE0000492	With the Educated perk, you gain three more skill points every time you advance in level.
1DE0000493	With the Entomologist perk, you do an additional +50% damage every time you attack a mutated insect.
1DE0000495	With each rank of the Gun Nut perk, you gain an additional 5 points to the Small Guns and Repair skills.
1DE0000499	With the Infiltrator perk, you gain one more chance to pick any lock broken by an unsuccessful "Force Lock" attempt.
1DE0000503	Once you have the Lawbringer perk, any Evil human or Ghoul character you kill will have a finger on their corpse, which can be sold or traded to a certain Good character...
1DE0000505	With each rank in the Life Giver perk, you gain an additional 30 Hit Points.
1DE0000506	With the Light Step perk, you'll never set off an enemy's mines or floor-based mechanical traps.
1DE0000507	With the Daddy's Boy perk, a male character gains an additional 5 points to both the Science and Medicine skills.
1DE0000508	With the Daddy's Girl perk, a female character gains an additional 5 points to both the Science and Medicine skills.
1DE0000509	The Little Leaguer perk improves your melee weapons and explosives skills, making you that much more efficient with a melee weapon or grenades.
1DE0000511	With the Mister Sandman perk, you can perform a special move that instantly kills any sleeping character, and will gain bonus XP for doing so.
1DE0000512	With the Finesse perk, you gain an additional +5% chance to score a critical hit on an opponent in combat.
1DE0000513	With the Mysterious Stranger perk, your own personal guardian angel will appear occasionally in V.A.T.S. mode to lend a hand... with deadly efficiency.
1DE0000514	You've been pushed around long enough! With the Nerd Rage perk, your Strength is raised to 10 and you gain 50% to Damage Resistance whenever your Health drops to 20% or below.
1DE0000515	The Ninja perk grants you the power of the fabled shadow warriors, and increases your chance to do critical hits, and the damage of each.
1DE0000516	With the Paralyzing Palm perk, you will sometimes perform a special V.A.T.S. palm strike that paralyzes your opponent for 30 seconds.
1DE0000519	With the Robotics Expert perk, you do an additional 25% damage to any robot in combat.
1DE0000520	Each rank of the Scoundrel perk raises your Speech and Barter skills by 5 points.
1DE0000522	With the Silent Running perk, you gain 10 points to your Sneak skill, and running no longer factors into a successful sneak attempt.
1DE0000527	The Tag! perk allows you to select a fourth Skill to be a Tag Skill, meaning it immediately raises by 15 points.
1DE0000529	With the Toughness perk, you gain +10% to overall Damage Resistance.
1DE0000531	Reign of Grelok (beta v.632)
1DE0000532	Weapon Information Research Database[CRLF][CRLF]Choose Weapon
1DE0000536	Museum of Technology Maintenance Dept.[CRLF]
1DE0000537	Museum of Technology Employee Terminal[CRLF]
1DE0000538	Far Out Space Facts![CRLF]
1DE0000539	Delta IX Rocket
1DE0000540	Hello, Daring! May the twilight of your life be filled with the same wonder and adventure as your youth.
1DE0000544	Fort Independence Lower Access Door Terminal
1DE0000546	Your Brain Softworks[CRLF]Version: ME
1DE0000547	Vault-Tec Security System[CRLF]Software Version 1.02.f
1DE0000552	Citadel System Link 39L[CRLF][CRLF]Welcome, Scribe Rothchild
1DE0000556	It is a lovely day for science! What shall we test today, MOIRA?
1DE0000557	Washington Monument Access Terminal[CRLF]Brotherhood of Steel and Galaxy News Radio Access Only
1DE0000559	How many North American Colonies rebelled against Great Britain in 1776?
1DE0000560	Who was the first person to sign the Declaration of Independence?
1DE0000561	How many delegates signed the Declaration of Independence?
1DE0000562	Which one of the following is NOT a written section of the Declaration of Independence?
1DE0000563	Who was the ruler of Great Britain when the Declaration was enacted in 1776?
1DE0000564	Complete this famous phrase from the Declaration: "Life, Liberty and the pursuit of..."
1DE0000565	Who was the principal author of the Declaration of Independence?
1DE0000566	Congratulations! Please press the selection below to dispense your prize voucher and take it to Redemption Terminal!
1DE0000567	-=LOB Enterprises=-[CRLF]Welcome, EMP_ID_MISSING.[CRLF][CRLF][CRLF]
1DE0000569	Yao Guai are fast, powerful predators, and are descended from the area's black bears.
1DE0000570	Disabling the antennae of insects, like the Giant Ants, will make them frenzy and attack anything nearby.
1DE0000572	National Archives Prize Redemption System[CRLF]Congratulations! You're a true American Patriot!
1DE0000573	**New Fruit Mentats Prizes**[CRLF]Brought to you by Med-Tek Laboratories
1DE0000578	--Personal Logs--
1DE1000001	Virtual Strategic Solutions, Inc.[CRLF][CRLF]SIM-U-TEC Chamber 003
1DE1000003	VSS, INC. SECURE STORAGE[CRLF]Proper Authorization Required
1DE1000004	USAF auto-transcriber[CRLF]USER MODE: Colloquial American/Mid-western [CRLF]SOURCE LANG: Chinese/Guanhua Formal[CRLF]WARNING: Decryption errors found: 13%
1DE1000005	You've recovered all the hidden intel from Operation:Anchorage. Good work, soldier!
1DE1000006	USAF Protocols for Artillery Stations[CRLF]Chugach Overlook AFS - Anchorage, AK[CRLF]Section AFS-12.1[CRLF]Supervisory Installation: [CRLF]Elemndorf AFB - Anchorage, AK[CRLF]
1DE1000007	Loading Anchorage, Alaska simulation. Mission: The Liberation of Anchorage Alaska from Communist Chinese forces. Safeties: Disengaged.
1DE1000008	Loading Anchorage, Alaska simulation. Motion sickness is normal, and will subside momentarily.
1DE1000009	U.S. Army Historical Archives: Anchorage, Alaska was invaded by Communist Chinese forces in the winter of 2066.
1DE1000010	The VSS Facility, like those operated by many civilian contractors before the nuclear war, was eventually acquired by the U.S. Army and adapted for practical military applications.
1DE1000011	The Brotherhood Outcasts now control the VSS Facility, and hope to gain access to the advanced technology contained within.
1DE1000012	Welcome to Anchorage, soldier! Fight like you mean it, and we'll have you home by Christmas!
1DE1000013	USAF auto-transcriber[CRLF]USER MODE: Colloquial American/Mid-western [CRLF]SOURCE LANG: Chinese/Mandarin Formal[CRLF]WARNING: Decryption errors found: 27%
1DE1000014	USAF auto-transcriber[CRLF]USER MODE: Colloquial American/Mid-western [CRLF]SOURCE LANG: Chinese/Guanhua Formal[CRLF]WARNING: Decryption errors found: 16%
1DE1000015	USAF auto-transcriber[CRLF]USER MODE: Colloquial American/Mid-western [CRLF]SOURCE LANG: Chinese/Mandarin Formal[CRLF]WARNING: Decryption errors found: 15%
1DE1000016	Anchorage Telegraph Co.[CRLF]Open Broadcast Terminal AF-12e[CRLF]Special Contract US_DoD_Auth[CRLF][CRLF]ERROR: Archival Corruption Detected[CRLF]ERROR: Auth Code Invalid
1DE1000017	H:>  \.[CRLF]H:> Welcome USER_ADMIN[CRLF]H:> ...|[CRLF][CRLF]
1DE1000018	Welcome to VSS, a Limited Liability Company
1DE1000019	Welcome Lieutenant Patterson[CRLF]Please Select Your Strike Team
1DE1000020	Please select your requested gear package.
1DE1000021	Strike Team Unit One with Requisition Marker Cost
1DE1000022	Strike Team Unit Descriptions
1DE1000023	Strike Team Unit Two with Requisition Marker Cost
1DE1000024	Strike Team Unit Three with Requisition Marker Cost
1DE1000025	WARNING: This will deploy your Strike Team selection.
1DE2000002	Uptown Substation Power Supply:
1DE2000003	Medical research from the Pitt has improved your life. Just try not to think of what it may have cost others. Your radiation resistance is improved by 10%.
1DE2000004	Select new ammunition type for reprocessing.
1DE2000005	10 millimeter round ammunition selected.[CRLF][CRLF]Ready to convert material to new ammo type.
1DE2000006	5 millimeter round ammunition selected.[CRLF][CRLF]Ready to convert material to new ammo type.
1DE2000007	.32 caliber round ammunition selected.[CRLF][CRLF]Ready to convert material to new ammo type.
1DE2000008	.44 magnum round ammunition selected.[CRLF][CRLF]Ready to convert material to new ammo type.
1DE2000009	5.56 millimeter round ammunition selected.[CRLF][CRLF]Ready to convert material to new ammo type.
1DE2000010	.308 caliber round ammunition selected.[CRLF][CRLF]Ready to convert material to new ammo type.
1DE2000011	Shotgun shell ammunition selected.[CRLF][CRLF]Ready to convert material to new ammo type.
1DE2000012	You've become an expert with the Auto Axe. You do +25% damage whenever you use it. Vroom.
1DE2000013	The vicious fights in the Hole have left you stronger. Both your damage and radiation resistance have been increased by +3%.
1DE2000014	-->Pittsburgh Department Of Public Works[CRLF]-->Interoffice Mail Terminal[CRLF][CRLF]-->Logged in as: Director Hadley James
1DE2000015	Doctor Borman's Office Log [CRLF]JournalSoft v2.3[CRLF][CRLF]-->Logged in as: Nurse Hicks
1DE2000016	***********************************************[CRLF]* PRESDY BIORESEARCH STATION *[CRLF]* KRAG-JENSEN PROTOCOLS LOADED *[CRLF]***********************************************
1DE2000017	**********************************[CRLF]*    PITT BIORESEARCH STATION    *[CRLF]*  KRAG-JENSEN PROTOCOLS LOADED  *[CRLF]**********************************
1DE2000018	                                          [CRLF]
1DE2000022	-RobCo Trespasser Manag---?#i!a(*bos&@![CRLF]======SYSTEM REPROGRAM START======[CRLF]ROOT USER "I.ASHUR"
1DE2000023	----Steel Press Status Screen----[CRLF]---------------------------------[CRLF][CRLF]-Rotary Press 01 Status: Active[CRLF][CRLF]-Rotary Press 02 Status: Active
1DE2000024	----Ammo Press Status Screen----[CRLF]---------------------------------[CRLF]-Ammo Press 01 Status: Active[CRLF]-Ammo Press 02 Status: Active
1DE3000001	Old Olney Powerworks[CRLF]          A Division Of PPE[CRLF]>\ Welcome, USER[CRLF]
1DE3000004	Take the Almost Perfect perk, and all S.P.E.C.I.A.L. stats are instantly raised to 9.
1DE3000005	With the Nuclear Anomaly perk, whenever your Health is reduced to 20 or less, you will erupt into a devastating nuclear explosion. Note that any allies in the vicinity will also suffer the effects of the blast!
1DE3000006	When you choose the Devil's Highway perk, your Karma is instantly set to Very Evil.
1DE3000007	When you choose the Karmic Rebalance perk, your Karma is instantly set to Neutral.
1DE3000008	When you choose the Escalator to Heaven perk, your Karma is instantly set to Very Good.
1DE3000009	You have unlocked the secret to creating Nuka-Cola Quantum. With this perk, every ten Nuka-Colas in your inventory is immediately converted into a Nuka-Cola Quantum.
1DE3000011	*************************[CRLF]*Mobile Platform Control*[CRLF]*************************
1DE3000017	Logging on to Comms Relay...[CRLF]...[CRLF]Comms Active.
1DE3000018	Satellite Uplink Terminal[CRLF]No Unauthorized Personnel
1DE3000019	Satellite Fire Control System[CRLF]+WARNING: Safety Off/System Unlocked+
1DE3000020	Satellite Fire Control System[CRLF]+TARGET ACQUIRED: Citadel+[CRLF]++WARNING: This will commit all warheads to target and lock this station.++
1DE3000021	Satellite Fire Control System[CRLF]+TARGET ACQUIRED: Adams AFB Mobile Platform+[CRLF]++WARNING: This will commit all warheads to target and lock this station.++
1DE3000022	Satellite Fire Control System[CRLF]+TARGET ACQUIRED: Adams AFB Mobile Platform+[CRLF]++FINAL WARNING: This target is for self-destruct purposes only! Final Approval required!++
1DE3000023	Old Olney Powerworks[CRLF]-A Division Of PPE-[CRLF][CRLF]>\ Welcome, USER[CRLF]
1DE3000025	Long Live the Enclave![CRLF]Robot Control Mainframe v2.7
1DE3000028	Long Live the Enclave![CRLF]Security System Online
1DE3000029	Armory Security Access Terminal[CRLF]=Please list all equipment checked in or out!=
1DE3000030	United States Military Police[CRLF]Pentagon Substation 3A
1DE3000031	Museum Authority Workstation 7[CRLF]Dallas Bryce
1DE3000032	Water Distribution Mission and Personal Logs.
1DE3000033	Mission Logs
1DE3000034	Logs, Scribe Bigsley
1DE3000038	Presidential Metro System[CRLF]Maintenance Logs
1DE3000039	Logging on to Security Network...[CRLF]...[CRLF]
1DE3000041	ENCLAVE RELAY 0X9-B
1DE3000042	When you take the No Weakness perk, all S.P.E.C.I.A.L. stats that are less than 5 are instantly increased to 5.
1DE3000044	You've figured out on your own how to build all the custom weapons! With the Warmonger perk, all custom weapon types become available to you without the schematics.
1DE3000045	You are such a Party Boy that you no longer suffer the withdrawal effect from alcohol addiction.
1DE3000046	You are such a Party Girl that you no longer suffer the withdrawal effect from alcohol addiction.
1DE3000047	Although you are still notified when you get Minor Radiation Poisoning, you do not suffer any ill effects from it.
1DE3000053	Deathclaw Research Terminal
1DE3000054	Deathclaw Protection Station Terminal[CRLF][CRLF]In the event of instability in deathclaw neural manipulation, please make use of the nearby flame-inducing device.
1DE3000055	With the Puppies! perk, if Dogmeat dies, you'll be able to get a new canine companion from his litter of puppies. Just wait a bit, and you'll find your new furry friend waiting outside Vault 101.
1DE3000056	You sleep deeply no matter where you are. You get the Well Rested benefit of +10% XP for eight hours no matter what bed you sleep in.
1DE3000057	Deathclaw Pen Door Terminal
1DE4000001	USN Field Ops MD-PL-01a (dom.)[CRLF]Lt Krumfolz, DIA officer/Liason
1DE4000002	encrypt k.v1910-mkIV[CRLF]clearance level GAMMA[CRLF]... SECURE TO TRANSMIT
1DE4000003	ERROR: NO OPERATING SYSTEM
1DE4000005	Covert Submarine SSN-37-1A[CRLF]==================[CRLF]Shi shang wu nan shi, [CRLF]zhi pa you xin ren
1DE4000006	With the Superior Defender Perk, the player gains +5 to their damage and +10 to their armor rating while standing still.
1DE4000007	With Swing For The Fences you'll do an additional 10 points of damage while any one or two handed melee weapon is equipped.
1DE4000008	Protect what's important.  With the Gray Matters perk you'll receive 25% less damage when hit in the head.
1DE4000009	You have learned to exploit the specific weaknesses of ghouls, and gain a +5 damage bonus when attacking one.
1DE4000010	St. Aubin Medical Facility[CRLF]Division Of Records
1DE4000011	St. Aubin Medical Facility[CRLF]Security Terminal Options
1DE4000012	People's Bank of Point Lookout[CRLF]Subsidiary of Isla Negra Holdings
1DE4000014	Collective Benevolence[CRLF]Volunteer Unit #MD18-02[CRLF]Non-profit Charter REGMD982.90.2012[CRLF]St Mary's County, Point Lookout Area
1DE4000015	Relief Unit Lead[CRLF]Private .log File
1DE4000016	The New Plague and YOU[CRLF]Copyright and Distributed by[CRLF]Presidential Fitness Program (2059)
1DE4000017	ERROR: Security Database Corrupt[CRLF](exception at 01XC91DDDF)[CRLF]...11XC91EEHH[CRLF]...00XC00DDDF[CRLF]\>_secure_shell_layer <corruption>[CRLF]
1DE4000018	DoD Networked OS v78.2[CRLF]---[CRLF]Electronic Message Transfer System[CRLF]Logged in as: Dr. Laura Stewart
1DE4000019	DoD Networked OS v78.2[CRLF]---[CRLF]Electronic Message Transfer System[CRLF]Logged in as: Adam Tomco
1DE4000020	DoD Networked OS v78.2[CRLF]---[CRLF]Lab Note System[CRLF][CRLF]Select note to view...
1DE4000021	Private Field Journal[CRLF]S. Marcella J, Abbey of the Road[CRLF]Point Lookout Expedition[CRLF]...[CRLF]"I am the light of the world: he that followeth me, walketh not in darkness, but shall have the light of life."  John 8:12[CRLF]
1DE4000022	After hours of studying, you've finally learned to exploit a mirelurk's weaknesses and gain a +5 damage bonus while attacking one.
1DE4000023	Thousands of Confederate prisoners of war died near Point Lookout in the later years of the American Civil War.
1DE4000024	Point Lookout's swamps are rich in natural gases, which sometimes manifest on the surface as explosive methane bubbles.
1DE4000025	The Turtledove Detention camp was built near Point Lookout because of its isolated location.
1DE4000026	The Ark & Dove Cathedral is named for two English settler ships which landed near Point Lookout in 1634, leading to Maryland's founding.
1DE4000027	Point Lookout is said to be one of the most haunted locations in Maryland.
1DE4000028	Blackhall Manor was the ancestral home of a wealthy family before the Great War.
1DE4000029	The Calvert Family had a long history in Point Lookout, but Calvert Mansion is all that remains of their legacy.
1DE4000030	Point Lookout remained very rural and isolated until the Isla Negra real estate company purchased land and began developing new homes and attractions.
1DE4000031	Smugglers roam Point Lookout, hoping to find their fortune scavenging this relatively undisturbed desolation.
1DE4000032	Swampfolk have no organized society or creed, but seem to mark their territory with totems of wood and bone.
1DE4000033	Point Lookout's rural location shielded it from direct impact during the Great War, but the resulting fallout has irradiated the area in the intervening years.
1DE4000034	The Swampfolk denizens of Point Lookout are the product of exposure to heavy radiation and generations of poor breeding.
1DE4000035	The unchecked forces of erosion have carved sinkholes and grottoes throughout Point Lookout.
1DE4000036	Mirelurks thrive in the humidity of Point Lookout's coastal shores and viciously defend their territory.
1DE4000037	Coastal shipwrecks and buoys are good places to seek sunken riches.
1DE4000038	Camp Turtledove[CRLF]Clearance Level Alpha[CRLF]C.O. Private Operations Terminal
1DE4000039	Intelligence Records[CRLF]Person of Interest[CRLF]Yang, Wan (deceased)
1DE4000040	Camp Turtledove[CRLF]Daily Operations Logs
1DE4000041	Interrogation Reports[CRLF]* Personnel must report ALL intelligence up chain of command via Commanding Officer.
1DE4000042	This is to make add the feral ghoul reaver visual effects.
1DE4000043	Behold the power of the Punga! The restorative effects of Punga fruit now have a greater effect on you.
1DE4000044	Behold the power of the Punga! When harvesting Punga plants, you will receive more fruit.
1DE4000045	Bysshe Energy Partners[CRLF]Natural Gas Survey Vessel[CRLF]USS Ozymandias[CRLF]
1DE5000001	Reid Underwood's Private Terminal[CRLF]++We Are Not Alone!++[CRLF]
