1TE0000004	볼트 문 작동
1TE0001616	무덤 조사
1TE0001619	서쪽으로 가기
1TE0001622	(늪지)둘러 보기
1TE0001623	마법사와 대화
1TE0001627	동쪽으로 가기
1TE0001630	보호막 작동
1TE0001631	보호막 해제
1TE0001639	거주민 ID: 906 -- 포스터, W.
1TE0001646	거주민 ID: 642 -- 비어 있음
1TE0001647	경고 : 기술적 오작동 탐지됨. 관리 일정을 작성 해 주세요.
1TE0001654	첫번째 질문 - 맞았습니다!
1TE0001656	두번째 질문 - 맞았습니다!
1TE0001658	세번째 질문 - 맞았습니다!
1TE0001660	네번째 질문 - 맞았습니다!
1TE0001662	다섯번째 질문 - 맞았습니다!
1TE0001664	여섯번째 질문 - 맞았습니다!
1TE0001666	일곱번째 질문 - 맞았습니다!
1TE0001667	여덟번째 질문
1TE0001668	여덟번째 질문 - 맞았습니다!
1TE0001669	축하합니다. 상품을 받아가세요!
1TE0001672	제 2 의회 재판소
1TE0001673	제 2 합동 의회
1TE0001674	제 1차 대륙 의회
1TE0001675	제 2차 대륙 의회
1TE0001677	기입 영역 : 개 (야생)
1TE0001678	기입 영역: 거대 전갈
1TE0001679	기입 영역: 두더지쥐
1TE0001682	자료 목록
1TE0001685	박물관 봉쇄
1TE0001686	!!! 로비 포탑 작동
1TE0001687	!!! 로비 포탑 동작 중지
1TE0001692	!!! 중앙홀 포탑 작동
1TE0001693	!!! 중앙홀 포탑 동작 중지
1TE0001706	인쇄기 끄기
1TE0001713	접속 코드를 입력하세요
1TE0001715	DC 도시 지하철 계획 사무소
1TE0001716	계획 관리 시스템
1TE0001717	벨트웨이 수도 재건축 계획
1TE0001718	계획 관리자로 접속 되셨습니다
1TE0001719	항목을 선택해 주십시오:
1TE0001721	계획 개요
1TE0001722	계획 보고서
1TE0001723	계획 상황
1TE0001724	시스템에 대해
1TE0001725	시스템 재부팅
1TE0001727	인적 자원 관리 시스템
1TE0001728	에밀리 웨이스로 접속 되셨습니다
1TE0001731	근무 시간표 제출.
1TE0001732	세금 정보 요청. 
1TE0001733	인적 정보 열람.
1TE0001734	기술적 지원 요청.
1TE0001735	시스템에 대해.
1TE0001736	지금 무슨일이 일어나는지 모르겠다. 20분전에 사이렌이 울렸고, 먼곳에서 천둥 소리 같은게 들린다. 이 건물에서 나갈수가 없기 때문에 거리에서 무슨일이 일어나는지 알수가 없지만, 무섭다... 이대로 세계가 멸망 해 버리는게 아닐까. 인류가 일궈낸 모든 것들이... 이게 내가 마지막으로 쓰는것일지도 모르니, 누구든지 이걸 찾은 사람은, 내가 전하지 못한, 내 가족들에게 사랑한다고 전해 주길 바란다.
1TE0001738	Elise Walton
1TE0001739	CPA
1TE0001740	GAO, Dept. of Research Subsidies
1TE0001744	맥슨 가족 서류
1TE0001745	맥슨의 진술
1TE0001746	로저 맥슨의 일기 - 1편 
1TE0001747	로저 맥슨의 일기 - 2편
1TE0001750	64933
1TE0001751	64935
1TE0001752	64936
1TE0001753	64938
1TE0001754	64941
1TE0001755	64943
1TE0001758	로져 맥슨
1TE0001759	맥슨 2세
1TE0001760	존 맥슨
1TE0001761	새로운 등록자: 서기 아더 맥슨
1TE0001764	코드네임 "팰러다인" U.F.O 보고서
1TE0001769	64945
1TE0001770	64946
1TE0001771	64948
1TE0001772	64949
1TE0001773	64950
1TE0001776	전원 부대 문제
1TE0001777	경고!: 새기쉬운 수리학 
1TE0001778	엔클레이브의 전략적 평가
1TE0001779	G.N.R. 전후 보고서
1TE0001780	일반적인 로봇 검사 -- 갱신
1TE0001781	공지: 레딘 장례식 취소됨
1TE0001784	G.N.R. 근무 순서
1TE0001785	중요!: 스콰이어 맥슨 베일리
1TE0001786	프라이드 소대 보충 전입
1TE0001790	실험실 상태 점검
1TE0001791	FEV 잔량
1TE0001810	공지: 레딘 장례식 취소됨
1TE0001829	방사능실 폐쇄
1TE0001830	비상 방사능 정화
1TE0001831	볼트 87 내과장의 단말기
1TE0001834	기재사항 87-34190
1TE0001835	기재사항 87-34224
1TE0001836	기재사항 87-34233
1TE0001837	기재사항 87-34265
1TE0001838	기재사항 87-34335
1TE0001845	야전 보고: M.스캇 일병
1TE0001846	임무들 (운송담당경찰 관람전용)
1TE0001847	서류정리 데스크탑
1TE0001848	모델 986
1TE0001849	환영합니다, 모이라. 오늘은 무얼 하시겠습니까?
1TE0001851	상점 물품 목록
1TE0001853	현재 실험 행적
1TE0001855	서바이벌 가이드 진행
1TE0001858	롭코 보안 시스템 v7.3
1TE0001859	명령 입력:
1TE0001861	스틸 부관 비활성화
1TE0001862	웰드 부관 비활성화
1TE0001863	이 출입구는 당신을 보호하기 위한 것입니다. 매우 위험한 보안 시스템이 설치되어있습니다. 허가되지 않은 접근을 시도하지 마십시오.
1TE0001864	분명 경고 했습니다
1TE0001866	보안 출입구 개방
1TE0001869	119(911) 통화기록 <가장 최근>
1TE0001870	경보 울림
1TE0001880	1. Ikkm00:Mvkz6x1ml:Nqtm
1TE0001881	1. 잠긴 해치 열기
1TE0001884	스콰이어 맥슨의 진척 보고서
1TE0001885	사라의 생일
1TE0001886	금고 잠금 해제
1TE0001889	일기 목록 1
1TE0001890	일기 목록 2
1TE0001891	이야기: 길리프론드의 수호자들
1TE0001892	시: 등대지기의 노래
1TE0001896	사상자 보고서
1TE0001897	펜들턴 맹장 수술 기록
1TE0001898	떠오르는 명상, 시
1TE0001899	의약품 창고 잠금 해제
1TE0001902	첫번째 강령
1TE0001904	두번째 강령
1TE0001906	세번째 강령
1TE0001908	네번째 강령
1TE0001910	다섯번째 강령
1TE0001914	패밀리의 5대 강령
1TE0001917	스텐-오-풀 3500 단어 가공 시스템
1TE0001918	현재 사용자: 튤립
1TE0001919	현재 문서: 실낙원 사본
1TE0001921	실낙원: 제 1권
1TE0001922	실낙원: 제 2권
1TE0001923	실낙원: 제 3권
1TE0001924	실낙원: 제 4권
1TE0001927	전기 시스템에 대한 기록
1TE0001929	서류 정리 자료 관리 7000x
1TE0001930	환영합니다, 아즈루칼 
1TE0001932	캐롤에 대한 기록
1TE0001933	패치워크에 대한 기록
1TE0001934	스노플레이크에 대한 기록
1TE0001935	배로우즈 박사에 대한 기록
1TE0001938	괴사성 변종 인류에 대한 조사
1TE0001939	발광성, 괴사성 변종 인류에 대한 신경학적 고찰
1TE0001940	흉포성, 괴사성 변종 인류에 대한 고찰
1TE0001950	미 전역에 걸친 사업
1TE0001951	== 공장 가동 일람표 ==
1TE0001953	1. 원료 수치
1TE0001954	2. 분기별 정기분석
1TE0001955	3. 인적 자원 기록
1TE0001956	4. 긴급한 진단 경보
1TE0001957	5. Ikkm00:Mvkz6x1ml:Nqtm
1TE0001958	5. 암호화 접속 파일
1TE0001959	어서오십시오, 황 요원님.
1TE0001960	인민 공화국 만세!
1TE0001976	인증된 공문서
1TE0001977	공문 보관소 문열기
1TE0001990	인증된 공문서
1TE0001991	공문 보관소 문열기
1TE0001994	<안보실>
1TE0001995	<문 열기>
1TE0001996	연구와 개발
1TE0001997	< ! ! ! ! ! >
1TE0001998	L.O.B. 그룹에 단독 소유권 있음
1TE0001999	위반자는 #P47에 의해 처벌 함
1TE0002001	연구 보고서
1TE0002005	다용도실 문 잠금 해제
1TE0002006	알림 #009
1TE0002007	알림 #012
1TE0002008	알림 #018
1TE0002011	금고 잠금 해제
1TE0002012	전 사원 공지!
1TE0002013	사망자 카탈로그
1TE0002014	사망 원인 정리
1TE0002017	수리 내역 기재 V87-002
1TE0002018	수리 내역 기재 V87-003
1TE0002019	수리 내역 기재 V87-004
1TE0002020	수리 내역 기재 V87-005
1TE0002021	수리 내역 기재 V87-006
1TE0002022	수리 내역 기재 V87-007
1TE0002025	일지 기록 06A01
1TE0002026	일지 기록 06A02
1TE0002027	일지 기록 06A03
1TE0002028	일지 기록 06A04
1TE0002029	일지 기록 06A05
1TE0002030	일지 기록 06A06
1TE0002031	일지 기록 06A07
1TE0002032	모리아티의 관계자만 사용 가능!
1TE0002034	이달의 명언: "일하지 않은자 먹지도 말라."
1TE0002036	주민
1TE0002037	방문객
1TE0002038	외상장부
1TE0002039	누카-콜라 운송부
1TE0002041	테스트용 퀀텀 출하
1TE0002043	발신자: 영업부
1TE0002045	보안 시스템 접속
1TE0002046	저장된 쪽지 - 주목: 보안부장
1TE0002061	(평원) 주위를 둘러보다
1TE0002067	게임 종료
1TE0002068	무기 정보 조사 기초 자료
1TE0002069	무기를 선택하세요
1TE0002071	N99 10mm 권총
1TE0002072	R91 5.56mm 돌격소총
1TE0002091	공학 관리 자료실.
1TE0002093	공고 MT20761211
1TE0002094	공고 MT20761130
1TE0002095	공고 MT20761117
1TE0002096	공고 MT20761020
1TE0002097	공학관 직원 단말기
1TE0002099	일지 기록 20770103
1TE0002100	일지 기록 20761010
1TE0002101	일지 기록 20760307
1TE0002102	일지 기록 20760211
1TE0002103	일지 기록 20760202
1TE0002106	우주의 진실 #1
1TE0002107	우주의 진실 #2
1TE0002108	우주의 진실 #3
1TE0002109	우주의 진실 #4
1TE0002110	우주의 진실 #5
1TE0002111	우주의 진실 #6
1TE0002112	우주의 진실 #7
1TE0002113	우주의 진실 #8
1TE0002116	델타 IX 로켓 정보
1TE0002117	기계 구역 보기
1TE0002118	기계 구역 조명 끄기
1TE0002119	승무원 구역 보기
1TE0002120	승무원 구역 조명 끄기
1TE0002121	추진기 구역 보기
1TE0002122	추진기 구역 조명 끄기
1TE0002124	<문 열기>
1TE0002125	<무기 보안 시스템 연결>
1TE0002126	<무기 보안 시스템 끄기>
1TE0002129	사람들
1TE0002130	장소들
1TE0002131	골칫거리
1TE0002134	크래기 왕
1TE0002135	페넬로페 체이스
1TE0002136	데스티니 차오 (블루 데스티니 매음굴의 책임자)
1TE0002138	하몬 절리
1TE0002143	블루 데스티니 매음굴
1TE0002149	빛나는 구울
1TE0002150	방사능 전갈
1TE0002152	로보브레인
1TE0002155	신원 조회
1TE0002157	정화 개시
1TE0002163	당신의 두뇌 소프트웍스
1TE0002164	버전: 당신
1TE0002166	당신은 당신이 원하는 걸 알지
1TE0002167	볼트-텍 경비 시스템
1TE0002168	소프트웨어 버전 1.02.f
1TE0002170	긴급 : 보안공지
1TE0002174	나에게 주어진 기록
1TE0002175	나에게 주어진 또다른 기록
1TE0002176	날 읽어 주세요
1TE0002180	긴급 : 표본 보고서
1TE0002187	연구 #004-C
1TE0002188	시타델 시스템 연결 39L
1TE0002189	어서오세요, 서기 로스차일드님.
1TE0002191	역사 기록
1TE0002192	진단 보고서
1TE0002193	서기장 일지
1TE0002194	음성 발성기 테스트
1TE0002195	동작 과정 초기화
1TE0002199	계획 요약
1TE0002200	캐피탈 포스트지 기사 : 2072년 6월 3일
1TE0002201	편지 : 블룸펠드 박사가 체이스 장군님께
1TE0002205	137826
1TE0002206	137892
1TE0002207	현재
1TE0002211	137827
1TE0002213	137911
1TE0002216	브라민들에게 학습 능력이 있을까?
1TE0002217	폭발물을 마을확장에 이용할 수 있을까?
1TE0002218	두더지쥐를 사육할 수 있을까?
1TE0002219	레이더의 공격을 어떻게 막을 수 있을까?
1TE0002220	슈퍼 뮤턴트들은 무엇을 먹을까?
1TE0002221	중국에 무슨 일이 있어났을까?
1TE0002222	센타우로스는 말 할 수 있을까?
1TE0002223	삶의 목적은 뭘까?
1TE0002224	워싱턴 기념관 제어 단말기
1TE0002225	브라더후드와 갤럭시 뉴스 라디오만이 제어 가능.
1TE0002227	외부 보안 출입구 개방
1TE0002228	외부 보안 출입구 폐쇄
1TE0002235	7
1TE0002236	50
1TE0002237	13
1TE0002238	20
1TE0002241	존 핸콕
1TE0002242	조지 워싱턴
1TE0002243	벤자민 프랭클린
1TE0002244	존 아담스
1TE0002248	56
1TE0002249	80
1TE0002250	50
1TE0002253	기소절차
1TE0002254	서문
1TE0002255	도입부
1TE0002256	비준
1TE0002259	빅토리아 여왕
1TE0002260	아더왕
1TE0002261	조지왕 3세
1TE0002262	윌리엄왕 4세
1TE0002265	독립
1TE0002266	행복
1TE0002267	평등
1TE0002268	권리
1TE0002271	아브라함 링컨
1TE0002272	제임스 먼로
1TE0002273	제임스 매디슨
1TE0002277	상품권을 받는다
1TE0002278	시스템 오류
1TE0002279	-=LOB 그룹=-
1TE0002280	환영합니다, EMP_ID_MISSING.
1TE0002291	국립 기록 보관소 상품 교환 시스템
1TE0002292	축하합니다! 당신은 미국의 진정한 애국자 입니다!
1TE0002294	상품권 교환
1TE0002295	상품권 필요함
1TE0002296	**상품 : 새로운 과일맛 맨토스**
1TE0002297	메드-텍 연구소가 제공합니다
1TE0002299	매혹적인 포도맛 맨토스
1TE0002300	상콤한 딸기맛 맨토스
1TE0002301	진한 오렌지맛 맨토스
1TE0002302	죄송합니다, 상품권이 필요 합니다.
1TE0002305	프로텍트론 작동됨.
1TE0002308	경고 : 시스템 작동 실패. 지하철 관리실에 수리를 요청해 주십시오.
1TE0002312	기술 로봇 작동
1TE0002313	기술 로봇 제어 명령 입력
1TE0002323	인조인간 개조 수술
1TE0002324	인조인간 개조설?
1TE0002325	성형 수술
1TE0002326	인조인간의 감사
1TE0002327	황무지의 인조인간에 관한 소문
1TE0002329	인조인간의 비밀 계획
1TE0002331	커먼웰쓰의 VIP 노예
1TE0002332	차단된 인조인간의 메시지
1TE0002333	인조인간을 찾아. 당장!
1TE0002335	새로운 VIP 고객. 모두 탑승 완료!
1TE0002336	승객으로부터의 메시지
1TE0002337	위험에 빠진 레일로드.
1TE0002338	성공! 무사히 도착한 승객.
1TE0002339	*K!9Bfh6sK#J44H$f
1TE0002340	다니엘 파야
1TE0002341	제니퍼 윌킨스
1TE0002342	$fJfk0h834lk%hHDS
1TE0002343	금고 잠금해제됨
1TE0002344	유닛 정비로 오프라인 상태입니다
1TE0002345	유닛이 있습니다
1TE0002346	유닛이 오프라인 상태입니다
1TE0002347	유닛이 없습니다
1TE0002348	호출명령 전송이 불가능합니다
1TE0002359	유닛이 프로그램되어있지 않습니다
1TE0002360	유닛이 작동되었습니다
1TE0002363	업링크 기능상실
1TE0002364	호출명령 전송이 불가능합니다
1TE0002366	원격 차단 명령 전송
1TE0002375	전송 완료
1TE0002376	전송 중지됨
1TE0002379	잠금 해제
1TE0002380	문 개방됨
1TE0002381	오류 - 시스템 오프라인
1TE0002383	지하철 지도가 다운로드 되었습니다...
1TE0002385	보관실 문 잠금해제됨
1TE0002386	유지보수용 문 잠금해제됨
1TE0002387	자기장 시스템 고장 - 정비를 부르세요
1TE0002394	DCTA 보안 연결에 실패하였습니다.
1TE0002395	여는중... DCTA 보안 중계에 실패하였습니다.
1TE0002396	실패... DCTA 보수 직원과 이야기하세요.
1TE0002397	프로텍트론 작동됨....
1TE0002398	프로텍트론 작동 중지...
1TE0002399	실패: 관리실에 문의 하십시오.
1TE0002402	휴대 장치에 저장 되었습니다
1TE0002404	프로그램 실행 중. 신중히 진행 하십시오
1TE0002405	진행하기 전 서류를 필독 해 주십시오
1TE0002407	가격 리셋.
1TE0002408	휴일 가격할인 계획 불러옴
1TE0002409	VIP 할인 활성화.
1TE0002410	접근 허가됨, 잠금 해제 중...
1TE0002411	...불러오는 중
1TE0002412	<오류> 진행 오류
1TE0002413	잠금 해제
1TE0002414	잠금 가동
1TE0002415	!!!B 구역 방어 시스템 해제 중!!!
1TE0002416	!!!B 방어 시스템 준비 완료!!!
1TE0002417	!!! 승강기를 찾을 수 없습니다 !!!
1TE0002419	!!!A 구역 포탑 시스템 해제 중!!!
1TE0002420	!!!A 구역 포탑 시스템 준비 완료!!!
1TE0002423	!!! 폭발 시스템 충전 중 !!!
1TE0002424	!!! 오류 - 활용 가능한 에너지 부족 !!!
1TE0002425	!!! 보안 코드가 맞지 않음 !!!
1TE0002426	수경시스템이 완벽히 기능합니다.
1TE0002427	정화시스템이 완벽히 기능합니다.
1TE0002428	서비스 불능 - 매각인을 만나보십시오 
1TE0002429	녹음 준비 완료
1TE0002430	녹음 대기 모드
1TE0002431	대상 데이터 제거됨. 신중을 기하십시오.
1TE0002432	<!>신중을 기하십시오<!>
1TE0002433	부팅 중...
1TE0002434	시스템 종료 중...
1TE0002435	기록 정보 기다리는 중...
1TE0002522	Central Error - System Nonfunctional
1TE0002523	Storage Door Activated
1TE0002524	Local Error - Purge System Nonfunctional
1TE0002525	다운로드중... 완료.
1TE0002529	핍보이에 다운로드중... 완료.
1TE0002530	핍보이에 다운로드중... 완료.
1TE0002531	모든 시스템 기능함.
1TE0002532	서비스를 위해 시스템 해제됨.
1TE0002533	워터 칩을 찾을 수 없음. 판매자에게 문의하세요.
1TE0002534	시스템 해제됨 - 정화명령을 실행하지 마세요!
1TE0002535	시스템 재-연동됨. 당신의 물을 향유하세요!
1TE0002536	오류: 시스템을 재-연동 할 수 없습니다.
1TE0002537	불순물 정화됨. 청결하게 복원됨.
1TE0002538	정화 오류. 추가적인 물질이 정화됨.
1TE0002539	정화 제어기가 위치해 있지 않습니다.
1TE0002540	분화구 조사 캠프에 오신것을 환영합니다.
1TE0002541	기능 상실 [메시지 0]
1TE0002544	문 열리는중
1TE0002545	대책 강구중
1TE0002546	사운드 시스템 초기화
1TE0002547	물러서십시오, 인화성 가스...
1TE0002548	오류: 최근 정화 작업을 실시 했습니다.
1TE0002549	구획 문 잠금해제...
1TE0002550	구획 잠그기 오류...
1TE0002551	3번의 확인이 더 필요합니다
1TE0002552	회로 연결 잠김
1TE0002553	회로 연결 완료
1TE0002560	단말기의 정보를 찾으시오
1TE0002562	출구 잠금 해제 되었습니다
1TE0002563	오류: 출구를 찾을 수 없습니다
1TE0002564	중지되었습니다
1TE0002565	시작되었습니다
1TE0002566	황무지에서 우린 모두 영웅이 될 수 있다!
1TE0002567	동무들, 위원장님께서 지켜 보고 계신다!
1TE0002568	침략자들을 몰아 내자!
1TE0002569	영광스러운 노동, 행복한 삶!
1TE0002570	우리의 모국에 승리의 영광을!
1TE0002571	붉은 깃발을 드높여라!
1TE0002572	행복은 혁명으로!
1TE0002575	기록 불러오는중...
1TE0002578	프로그램 구동중. 기다려주세요...
1TE0002579	거주지 폐쇄중. 기다려주세요...
1TE0002580	거주지 개방중. 기다려주세요...
1TE0002581	보안 검사를 재활성화 해주세요.
1TE0002582	비활성화합니다. 물러서 주세요...
1TE0002583	비활성화합니다. 보안 프로그램을 작동해 주세요...
1TE0002584	활성화합니다. 준비하세요...
1TE0002585	실패 - 전체 시스템 불량
1TE0002586	오류 - 지원 장치 오류 - 코드34
1TE0002587	잠금 해제
1TE0002588	잠금 해제 되었습니다.
1TE0002589	여는중...
1TE0002590	닫는중...
1TE0002593	잠금 해제 되었습니다
1TE0002594	문이 열렸습니다
1TE0002595	문이 닫혔습니다
1TE0002596	문 여는중...
1TE0002597	문 닫는중...
1TE0002598	자료 손상
1TE0002601	불러오는 중...
1TE0002604	기입 영역: "거대 파리"
1TE0002605	기입 영역: "브라민"
1TE0002608	기입 영역: "방사능바퀴"
1TE0002609	접속 해제중: 이사벨라 프라우드
1TE0002623	사용자 연결 해제 중: 진입 금지
1TE0002624	오류: 안테나 기동장치 꺼짐
1TE0002625	사용자 위치로 좌표를 다운로드합니다.
1TE0002627	접속확인중 USDOD-21TXH....
1TE0002636	사용자 연결을 해제합니다: N 크로이던
1TE0002646	대상 D624
1TE0002647	잠금 해제
1TE0002648	위험: 방에 들어가지 마시오
1TE0002649	예약 서버 이용 불가
1TE0002652	잠금 해제됨
1TE0002658	Overflow door disengaging...
1TE0002659	돌아가는중...
1TE0002661	다른 장치로 정보가 옮겨졌습니다.
1TE0002663	오류: 카드 인쇄기 손상
1TE0002665	중앙 컴퓨터 접속 장애.
1TE0002666	경고: 201년간 미반납!
1TE0002667	벙커 문 동작 완료...
1TE0002673	접속 해제중: 라이언 브릭
1TE0002674	EAM/인증: 강제 진행
1TE0002675	유도 장치 손상
1TE0002676	문 열림 ...
1TE0002677	!!! 오류 - 서버에 접속할 수 없습니다. !!!
1TE0002679	오류: 전력 공급 부족
1TE0002680	시퀀스 알파-투-바퀴 가동중
1TE0002681	시퀀스 알파-투-바퀴 중지중
1TE0002682	시퀀스 침입자-제거 가동중
1TE0002683	시퀀스 침입자-제거 중지중
1TE0002684	시퀀스 오메가-4-파손 가동중
1TE0002685	시퀀스 오메가-4-파손 중지중
1TE0002686	현재 좌석은 100% 남아 있습니다.
1TE0002687	오류 - 공간 부족
1TE0002688	준비
1TE0002689	즉시 해당 기술자를 부르십시오!
1TE0002690	경고! 시스템 오류!
1TE0002692	오류 - 공간이 선택 되지 않음
1TE0002693	균열 감지 - 자동 잠금 장치 가동
1TE0002694	자동 잠금 장치가 이미 가동 중 입니다.
1TE0002695	잠금 해제 됨.
1TE0002696	보안 구역 잠김.
1TE0002697	파일 없음
1TE0002698	로봇 적군 다겟 설정됨.
1TE0002699	인간형 타겟 제외됨
1TE0002700	오류: 측정 유닛을 찾을수 없음
1TE0002705	쿼리 보냄//유닛#이름:딘_듀이.rbco
1TE0002706	접속 오류//유닛#이름:딘_듀이.rbco
1TE0002707	우리 #364 열림...
1TE0002708	시스템 제어 불가
1TE0002710	출판 계획 표시중
1TE0002711	수신함 여는중
1TE0002712	파일 불러오는중...
1TE0002713	!!실패 - 전원이 부족함!!
1TE0002714	!!가동 실패!! 인쇄기가 켜져 있지 않음.
1TE0002715	!!! 경고 - 기계 고장 !!!
1TE0002716	야만전사 그로그낙, #361
1TE0002717	붉은색 잉크 잔량 부족
1TE0002718	하급 펄프지 사용 가능
1TE0002719	잠금 나사 폭발 -- 문 개방 됨
1TE0002724	주요 창고 비상구 여는중...
1TE0002725	문을 열고 있습니다, 브라운 박사님...
1TE0002726	RHO 캠프에 오신 것을 환영합니다.
1TE0002729	자료 불러오는중... 
1TE0002743	반응억제 파동 송신중
1TE0002744	중화요소 추가된 돌연변이 유도물질 파괴됨
1TE0002745	오류 - 마스터 사이퍼 절차 필요함
1TE0002746	새로운 연결을 찾을 수 없습니다.
1TE0002747	새로운 단말기 발견. 네트워크 갱신됨.
1TE0002748	잠금 해제...
1TE0002749	접근 거부됨
1TE0002750	출입구 해제 수행됨.
1TE0002752	접속 해제 중.
1TE0002753	스테이시스 필드 정지중
1TE0002754	스테이시스 필드 가동 오류
1TE0002755	홈 스테이션으로 돌아가기...
1TE0002756	머피 찾는 중... 
1TE0002757	맥거티의 식료품점 가는 중...
1TE0002758	시 읽어 주는 중...
1TE0002759	주택 안전 모드 초기화 중...
1TE0002761	명령 무시됨
1TE0002762	접근 봉쇄됨
1TE0002763	내부 페이징 시스템 오프라인
1TE0002764	급료에서 비용 공제됨... 즐겨요!
1TE0002770	관리직 단계의 사원에게만 해당됨
1TE0002771	접근 인가됨
1TE0002772	명령어 막힘
1TE0002773	스테이션 1 마스터브레인 셧다운 승인됨
1TE0002783	메시지 1J - 담당 기술자 부재중
1TE0002784	오류 862 - 담당 기술자에게 문의 하십시오
1TE0002796	오류 // 자료가 없음...
1TE0002797	포탑 감시 활성화...
1TE0002798	이미지 불러오는 중...
1TE0002805	부분 기록 불러오는중...
1TE0002806	이용 해 주셔서 감사합니다!
1TE0002807	당신은 주변을 살펴 봅니다...
1TE0002809	당신의 보잘것 없는 무기로는 상처 하나 입히지 못 합니다.
1TE0002810	당신은 바위에서 원석을 얻었습니다.
1TE0002811	남쪽으로 걸어 갑니다...
1TE0002812	비록 녹슬었지만, 믿음직한 무기..
1TE0002813	물을 담을 수 있는 매우 작은 병.
1TE0002814	당신의 수통이 성수로 꽉 찼으면.
1TE0002815	이것에서 나는 냄새는 당신을 외롭게 만들 것이다...
1TE0002816	반짝이고, 다면체로 된 원석
1TE0002817	그 보석 조각은 매혹적인 빛을 내뿜으며 숨을 쉬는듯 하다...
1TE0002818	그렐록을 무찌르기 위해 마법이 부여된 검.
1TE0002819	사제에게 받은 열쇠..
1TE0002820	이 원석은 아마도 가치있을 것이다...
1TE0002822	당신은 대장간으로 갑니다...
1TE0002824	당신은 사제에게 갑니다...
1TE0002827	북쪽으로 걸어 갑니다...
1TE0002831	당신의 강타는 좀비를 무덤속으로 내쳤습니다.
1TE0002832	당신은 텅 빈 성당으로 들어 갑니다...
1TE0002833	당신은 파헤쳐진 무덤 속을 응시합니다...
1TE0002836	서쪽으로 걸어 갑니다...
1TE0002838	당신은 마법사에게 사례합니다...
1TE0002842	동쪽으로 걸어 갑니다...
1TE0002843	!!! 보안 보호막 작동됨 !!!
1TE0002844	!!! 보안 보호막 해제됨 !!!
1TE0002849	현재 라운지가 비어었습니다
1TE0002851	이미 맞춘 문제입니다.
1TE0002859	틀렸습니다! 다시 해 주세요.
1TE0002862	맞았습니다!
1TE0002863	기입 영역: "들개"
1TE0002864	기입 영역: "거대 전갈"
1TE0002866	오류: 박물관 문을 찾을 수 없습니다
1TE0002867	!!! 로비 포탑 작동됨 !!!
1TE0002868	!!! 로비 포탑 동작 중지됨 !!!
1TE0002870	!!! 중앙홀 포탑 작동됨 !!!
1TE0002871	!!! 중앙홀 포탑 동작 중지됨 !!!
1TE0002875	기록 표시중
1TE0002876	파일 불러오는중...
1TE0002878	인쇄기 작동 중지...
1TE0002882	*** 접속 승인 ***
1TE0002883	*** 잘못된 코드 - 접속 거부 ***
1TE0002884	오류 - 실험실 오프라인 코드 0987YU
1TE0002885	FEV 탱크 잔량 없음
1TE0002892	대상 B164
1TE0002895	대상 B440
1TE0002898	대상 A541
1TE0002901	대상 C376
1TE0002904	오류 - 잠금 시스템 오프라인
1TE0002905	오류 - 통풍 시스템 오프라인
1TE0002906	데이터 손상! 하드카피 백업을 보세요.
1TE0002907	상점 정리 후 이윤이 20% 증가함.
1TE0002908	표시중...
1TE0002909	실험 삭제됨.
1TE0002910	파일이 삭제됨.
1TE0002911	파일이 인쇄 및 배포됨
1TE0002912	현재 편집중
1TE0002913	비활성화 신호 전송됨...
1TE0002915	물러서 주세요. 출입구 개방중.
1TE0002922	[오류 HX40-399: 잘못된 decry.key]
1TE0002923	[decry.key 유효]: 해치 열림
1TE0002925	의약품 창고 잠금 풀림
1TE0002930	[유효 한 decry.key]
1TE0002941	물러나 주십시오.
1TE0002954	문에서 한발짝 물러나 주십시오
1TE0002955	문에서 한발짝 물러나 주십시오
1TE0002957	부분 기록 불러오는중...
1TE0002964	어서오십시오, 험버트씨....
1TE0002968	북쪽으로 모험 합니다....
1TE0002969	남쪽으로 걸어 갑니다...
1TE0002972	보조메뉴 기다리는중
1TE0002973	다시 시작해 주세요!
1TE0002974	진입 허가됨
1TE0002975	감시 연결중
1TE0002976	감시 연결 끊는중
1TE0002977	스캐너 없음 - 보안 취소
1TE0002978	출입구 가동됨
1TE0002979	항박테리아 스프레이 부족
1TE0002983	그리고 당신은 그렇게 했고.
1TE0002985	해독중...
1TE0002988	음성 발성기 테스트 초기화...
1TE0002989	실패 : *전력 부족*
1TE0002990	브라민 언어에 대한 좀 더 많은 연구가 필요해.
1TE0002991	루카스 심즈가 모든 실험을 중지하라고 요청할걸.
1TE0002992	엄니랑 발톱을 뽑고 척수 절단 수술을 한다면 가능하지.
1TE0002993	레이더들은 인터뷰를 거절 할거야.
1TE0002994	조수들에게 알아 보게 할것.
1TE0002995	보고들이 확실하지 않아. 중국은 아마 꾸며낸 나라일 거야.
1TE0002996	혀가 많아서 말할수 있을 거야.
1TE0002997	실험을 행하는 것.
1TE0002998	출입구 개방함.
1TE0002999	출입구 폐쇄함.
1TE0003011	틀렸습니다! 다시 해 주세요.
1TE0003029	발행중.
1TE0003030	상품권이 모두 떨어졌습니다.
1TE0003035	오류 - 포드 비어있음
1TE0003036	오류 - 제어 구역 벗어남
1TE1000001	(주)가상 전략 솔루션
1TE1000002	시-뮬-텍 구역 003
1TE1000004	최근 보고서
1TE1000005	프로그램 업데이트
1TE1000009	9/06/77
1TE1000010	8/15/77
1TE1000011	(주)VSS. 안전 창고
