1NO0000001	-----Case# 45602-----
1NO0000450	-- Management
1NO0000451	"Whatever shall we do, Mister Wollingsworth?" Molly asked. "Mother will be home shortly, and I've yet to clean my room!"
1NO0000452	"Heavens my, heavens me. Don't fret, Molly-Golly. We'll enlist a little help, that's all." Mister Wollingsworth then waddled his little teddy bear body into the center of the room, and called out - in a voice both sweet and strong - to those lying dormant on shelves, in the toybox, under the bed.
1NO0000453	"Come now, you lot! Molly-Golly needs our help, and as we're her Guardians, that means we all get cracking! Come on now, shake off those dust bunnies and hop too!"
1NO0000454	There then rose a rustle and rumble from all corners of the room, as rocking horse and railway car, bookend and baby doll, toy and game alike all blossomed into impossible life.
1NO0000455	"Mister Wollingsworth! But I  I never knew  I thought it was just you! Oh, this is just wonderful!" Molly exclaimed.
1NO0000456	"Wonderful? Bah! I was having a nice nap and a nice dream, and now you've gone and woken me up. And for what? Manual labor! That wasn't in the job description, Wollingsworth!" This small, squeaky voice of dissent belonged to one Mousy Maguire, Molly's favorite stuffed animal, and one of the few companions granted the right to sleep on her bed.
1NO0000457	"Oh, Mousy! You're alive!" Molly ran to her bed and embraced the nonplussed plushy, squishing his body in a nearly stuffing-bursting bear hug.
1NO0000458	"Aggh! Ohh! All right  Enough! Enough! You're... crushing  me!" Molly released her hold and dropped Mousy back on the bed, feeling at once excited and immensely disappointed that her favorite stuffed toy had just come to life  and seemed to be a complete cretin.
1NO0000459	"Now you listen here, Maguire!" Wollingsworth said. "Being Guardians of dear Miss Molly-Golly means we protect her in any way we can, even if that means unclogging the potty, or taking out the trash, or, yes, tidying up her room! And when the Crawly Creeps come - oh, and they will come - you'll get to do what was in your 'job description,' you mark my words "
1NO0000460	Tweedle dumpling, tweedle dare,
1NO0000461	Curse the younglings, if you care.
1NO0000462	For theirs is youth, and joy and power,
1NO0000463	Five made one in the Lightman's tower.
1NO0000464	And when they come, these five of sun,
1NO0000465	The Lightman's progeny have won.
1NO0000466	So sound the trumpets, clear and loud!
1NO0000467	And think beyond the Eastern shroud.
1NO0000468	I can't take it anymore, Bob.  I don't trust those turrets in Sector A.  I swear I saw one track me the other day when I left work a little late.  If that thing opens up on me, I'm screwed, since the bastard Feds suspended workman's comp as part of the "war effort."  Hell.
1NO0000469	Snake helped me smuggle in some pulse grenades that I locked away in the box under my desk.  I tried one out on our Handy at the house and the missus nearly killed me!  Knocks 'em out like a light.  If you ever need one just grab the key from behind my terminal and use it to unlock the box. You can't say I never did anything for you!  See you around buddy.
1NO0000470	Oh, and stop throwing those staples over at me, they get on the floor and you know how I like to take my shoes off during the day.
1NO0000471	Trading Caravan Log
1NO0000472	By tomorrow I should reach the green mountain. The people there may be weirdos, but hey, they trade great stuff for the weapons and ammunition, so who am I to complain?
1NO0000473	Last time I was there, they told me that someone named the Great One wanted to speak to me, and that I should drink some of their homemade hooch and join them in some kind of ceremony. I'll probably take them up on it this time -- I haven't had a good drink in a while and I'm a day ahead of schedule.
1NO0000474	If you're reading this, I'm dead.
1NO0000475	I was running low on water, so I figured I'd go out and get some instead of waiting for fate to deliver it to me. Hell, I can't remember the last time it rained.
1NO0000476	Looks like my plan backfired. I got slashed in the arm by some goddamn psychopath, barely escaped a Super Mutant, and then got shot in the hip by a crazy old woman.
1NO0000477	I haven't been able to feel my legs for a full day, so there's not much I can do but sit here and write.
1NO0000478	Here's hoping you have better luck out here than me.
1NO0000479	The others left me! They fucking left me behind!
1NO0000480	Okay, I can understand them getting angry because I wandered off. But I thought I saw someone trailing us, so I went to check it out.
1NO0000481	Turns out I was wrong. But I was only gone for like ten minutes! They didn't have to leave me behind. I have no idea where they went, but I guess I'd better get off my ass and try to catch up.
1NO0000482	I'm so glad I did this.
1NO0000483	I've been telling Joshua for years that if you really want to live, you've got to get out there and LIVE! Wander, explore, interact with this crazy Capital Wasteland.
1NO0000484	I've met so many great people, done so many amazing things. I can't wait to get home and tell Joshua all about it. I may even combine my journals into a book!
1NO0000485	It seems like I've been out here scavving forever. I'm ready to head home soon, though. I've got just enough to keep Paulina, Kress and me going for another week.
1NO0000486	Fine. If the world doesn't care about me, I'm not going to care about the world.
1NO0000487	I just took 23 hits of Psycho. Let the Wasteland gobble me up.
1NO0000488	If you're reading this, free free to take any of my shit that gets left behind.
1NO0000489	Hello, my sweet sister.
1NO0000490	I know it's been a long time since I've written, and for that I sincerely apologize.
1NO0000491	It's been three years since I left home to make my mark on the world. I've been places, Grace. I've seen things your eyes could scarce imagine.
1NO0000492	But my odyssey is now complete. I'm ready to return home, and will begin the journey in just a few days.
1NO0000493	Here's hoping we can pick up right where we left off. You're the only person I have left in this world, Grace. I love you, and I want us to be a family again.
1NO0000494	It's been a week, and I still haven't picked up Marko's trail.
1NO0000495	Sitting here now, alone, I can be completely honest. With myself and anyone who might read this. I've never felt like such a failure in my life.
1NO0000496	To let a man enter your home, and then watch helplessly as he murders your family in cold blood, is more than any person should have to bear.
1NO0000497	Now I can't even find the son-of-a-bitch to give him what he has coming. He kills my children in front of my eyes, and he gets to just walk away? No punishment, no justice? How is that fair?
1NO0000498	I'd kill myself, but I'm sure I'd just screw that up too. I just wish I knew what to do. I just wish God, or someone, would give me some kind of sign.
1NO0000499	Sweetie,
1NO0000500	Listen, I just can't wait any longer. I'm sending this letter, via courier, and I'm begging you to respond as soon as possible.
1NO0000501	Why should we wait any longer? Forget our parents! Every day I sit here and watch my brother Kevin whither away from Radiation Sickness. Am I next?
1NO0000502	I don't want to waste another second of my life. Let's just get married, and make a future for ourselves. Megaton, Rivet City, maybe even Tenpenny Tower. Who knows?
1NO0000503	When I'm with you, I feel like I can do anything!
1NO0000504	So marry me, you fool!
1NO0000505	The Vault 101 maintenance password is "Old Faithful".
1NO0000506	The Vault 101 entrance password is "Amata".
1NO0000507	Hah! I've done it. I've built a Circuit Neuralizer from spare parts using the diagrams rescued from that vault last year. I'm brilliant! I'll show those hacks from the Commonwealth now!
1NO0000508	I stole the mem chip from that jerk Braun. Where does he get off robbing people of their souls like that. Anyway, he's so involved in that simulation of his, that breaking in and taking it was like stealing from a little girl. Of course, I won't know whose memories are on this thing until I integrate it into it's new host. But they never specified, so it shouldn't really matter. I can't wait until the subject arrives.
1NO0000509	I got those memories into that Android like I was God sending down messages from Heaven. Calls himself "Harkness" now. Thinks he's an old combat veteran. Did a little extra tinkering with his reflex system. He's certainly not someone I'd want to meet in a fight. When he "woke up" he was all confused. We told him he was in a coma for a long time. Between the new memories and the new face I gave him, there isn't anyone that would recognize him. Not even himself!
1NO0000510	Username:pinkerton  Password: misanthropy
1NO0000512	By Dorothy Proud
1NO0000513	Capital Post Staff Writer
1NO0000514	In the late evening hours of January 10th, brave American Army forces launched an all-out offensive against the entrenched Chinese Communist invaders in the beleaguered seaport of Anchorage, Alaska, destroying all opposition and finally liberating the city after more than ten years of Chinese occupation.
1NO0000515	No red-blooded American can ever forget that terrible winter of 2066, when Chairman Cheng's commie cutthroats mercilessly invaded the icy extension of the United States, in an unprecedented act of foreign aggression that sent shockwaves all the way back to our nation's Capital.
1NO0000516	But the nightmare is finally over, and America, always the home of the brave, is once again the land of the free.
1NO0000519	In a move that is being widely viewed as both necessary and overdue, the United States military today declared that they will begin the immediate annexation of the country of Canada.
1NO0000520	The decision comes after a long and contentious relationship with the Canadian government that began shortly after the Chinese invasion of Anchorage, Alaska in the winter of 2066. The Canadian leadership at that time expressed its opposition to American troops passing through their country or traversing their airspace, but ultimately capitulated.
1NO0000521	Tensions with our neighbor to the north have only escalated since then as the United States has found itself relying heavily on Canada's natural resources - including wood cultivated from the country's great Timberland forests - to maintain the war effort against China.
1NO0000522	But it was a recent near-sabotage of the Alaskan pipeline that finally tipped the American military's hand.
1NO0000523	"That was the last straw," said Buzz Babcock, commander of U.S. forces in Canada. "You know what's been stopping the Reds from pouring into downtown Juneau? American soldiers, that's what. And now we've got to worry about someone - Chinese, Alaskan, or otherwise - taking out the pipeline? I don't think so. Effectively immediately, United States troops are beginning a complete takeover of all Canadian assets and resources. Little America is ours. But let's face it - it always has been."
1NO0000524	By Walter "Street Beat" Munroe
1NO0000526	It would appear that Washington's tolerance for American social disorder has finally reached its breaking point.
1NO0000527	In a recent public statement, White House spokesman Warren Eccleston said:
1NO0000528	"Okay, Americans are hungry. We get it. Well I've got news for you - things are tough all over, people. The President himself has been forced to substitute cube steak for his nightly prime rib, and the only wine available is a detestable Chateau Montrose 2043. But does he whine? Does he take to the streets like a rabid Red? So please, good people, please. Wait in line. Get your food. And then go home. We're Americans! We do not solve our problems with violence."
1NO0000531	In a startling turnaround from their previous policy of complete covert development, the United States Army has confirmed that they are indeed working on a new super weapon, one designed specifically to crush the Red Chinese invasion force and liberate occupied Anchorage, Alaska once and for all.
1NO0000532	Speaking at an Army press conference at the Pentagon, General Constantine Chase stated: "No more secrets. The time has come to lay all our cards on the table, so the Chinese can see with their own eyes that we've got the winning hand. The United States Army is proud to announce that for the first time in history, General Atomics International and RobCo have joined forces to create for this great country a super weapon that will leave every single yellow-bellied Red shaking in their Commie booties."
1NO0000533	Unfortunately for our readers, that's as specific as Chase is willing to get. While he and the Army are ready for China to know the U.S. is developing a new weapon, they're not quite ready to divulge just what it is, or when it will be ready for deployment.
1NO0000534	"All in due time, all in due time. Rest assured, when this weapon is complete, liberty will come to Anchorage  and Hell will follow."
1NO0000537	In a crushing blow to foreign relations and world peace, the United Nations yesterday was completely disbanded, leaving its member nations to fend for themselves in these trying times.
1NO0000538	Many had considered the United Nations the best hope for brokering a ceasefire between the European Commonwealth and the nations of the Middle East, but such an intervention is now impossible.
1NO0000539	In a somber press conference at the United Nations building in New York City, United Nations president Sakugama Okiri had this to say: "It is a sad day for the United States. Sadder still for the world. An era of relative peace and prosperity has come to a tragic end. The Resources Wars are upon us, and in my humble opinion the United Nations is needed now more than ever. Sadly, the world disagrees."
1NO0000540	Those nations that have not already moved out of the immense headquarters will have completely vacated the premises by the end of the week. Several organizations have already begun bidding on the prime real estate, but children's toy retailer Bumbalo's seems determined to transform the building into their new East Coast superstore.
1NO0000541	I don't know how much longer I can hold on. I'm pretty sure I broke my leg about two miles back, and now I can barely limp forward. So here I sit, writing this stupid journal.
1NO0000542	Oh, and someone's been tracking me. They've been watching me for about an hour now. I'm hoping they're friendly. Guess I'll find out soon enough.
1NO0000543	                           DEPARTMENT OF THE ARMY
1NO0000544	                         RESEARCH AND DEVELOPMENT
1NO0000545	                     FIELD OPERATIONS SECTOR, 76Z
1NO0000546	RRD-HA23-P                                                                                                              R27-954-88
1NO0000547	WELCOME:
1NO0000548	1.  You have been chosen by our great President to explore and collect samples at the crator located in sector 76Z.
1NO0000549	2.  The provided armaments stationed with you have proven reliable during early testing, however, should any problems arise, you are recommended to power down the defense grid using this terminal.
1NO0000550	3.  Thank you for your participation.
1NO0000551	Thanks for all your help. Stop on by any time and sell me whatever Scrap Metal you can find. We can always use it.
1NO0000553	Hey,
1NO0000554	Stop by the Water Treatment Plant at night and I'll hook you up with some Chems. Let's just keep this between us.
1NO0000555	Leo
1NO0000557	when are u comin back 2 bigtown?? i miss u soooo much!!! i have sum presents 4 u and i hope u come back soon 2 get them!!! ill save whutever i find that u can use 2 give 2 u when u come back!!
1NO0000558	miss u!!!
1NO0000559	xoxoxoxoxoxoxo
1NO0000561	Bryan Wilks gave me a key to a special cache of items. It's located in a dumpster behind the old diner in Grayditch.
1NO0000562	I've finally come to the realization that the Toucan Lagoon simulation has run its course.
1NO0000563	I'm tired of the beating sun and ceaseless pounding of the lagoon's waves upon the shore. I no longer take pleasure in watching Simpson wither away from scurvy, or hearing Neusbaum's screams as he's devoured by the mako shark.
1NO0000564	I am, quite simply, bored. It is time to reset the simulation once again.
1NO0000565	I haven't been skiing in ages.
1NO0000566	Yesterday, Dithers slipped on the chalet's icy stairs, went airborne, and managed to impale herself on the the wrought-iron fence. It was spectacular! And completely and utterly random!
1NO0000567	Is there anything more sublime than that bold crimson on fresh-fallen snow?
1NO0000568	It was almost enough to make me reconsider a change of scenery. But not quite. 23 years is a long enough vacation in the Swiss Alps.
1NO0000569	I long for something more... domestic.
1NO0000570	I have surprised myself. I find Tranquility Lane... comforting. Although distinctly American, it somehow reminds me of Kronach, the town of my childhood.
1NO0000571	There's a beautiful irony with this particular simulation as well. The residents here are naturally at home, naturally safe. When I toy with them, when their suburban illusion is suddenly broken, it's that much more satisfying.
1NO0000572	I do believe we shall all remain here in Tranquility Lane for a very long time. A very long time, indeed.
1NO0000573	There are days I consider finally "pulling the plug," as it were, and putting a permanent end to both this simulation, and my life.
1NO0000574	That is the reason I requested installation of General Chase's Chinese invasion program, after all. By disabling the safety protocols, I have ensured that each subject in Vault 112 will physically die if their in-simulation avatars are killed.
1NO0000575	Real-world death. End of simulation. The perfect Failsafe.
1NO0000576	At least it would have been, if not for my own misjudgment. I knew, when the simulation first went online, that the secondary safeties  those established for all Vault-Tec and military personnel  would prevent my own real-world demise in the event of a Failsafe execution. In the end, I would kill the subjects, and save myself.
1NO0000577	I wouldn't want it any other way. Or so I thought.
1NO0000578	It's true the Failsafe would scare the living hell out of every resident in Tranquility Lane, and lead to their brutal deaths. But then  what about me?
1NO0000579	I have no ability to disable my own safety from within the simulation. And any other avatars I could create would be driven by the simulation's A.I. routines  not actual living, thinking, human subjects.
1NO0000580	Where's the fun in tormenting a machine?
1NO0000581	And so, the release of the real-world subjects is more than they deserve, more that I could bear. They'd be dead, and I'd be left here in Tranquility Lane, alone and tragically bored for all eternity.
1NO0000582	I can think of nothing more unacceptable.
1NO0000583	Attempt #172
1NO0000584	- Quite close now.  I'm fairly certain the key ingredient is some form of ThermoStarch.  My next attempt will be using Wonder Glue, the adhesive component contains a great deal of the stuff.  Luckily we have a small store of the stuff available here, and I'm offering a handful of caps to the raiders for every bottle they can bring me.  Those greasy villains are handy when you've got the money.
1NO0000585	Attempt #171
1NO0000586	- I've noticed positive reactions with base dextrin substances.  I'll continue testing different forms to see where it leads me.  If there was ever a time for a breakthrough it would be right now.  Masquerading as one of these foul murderers grows tiring, once the theatrics of it wear off.  One thing is true, though - we can all be rich if the experiment succeeds.  Molerat is one of the easiest meats to get hold of, yet the most disgusting.  If I can turn it into a viable food source...
1NO0000587	Attempt #86
1NO0000588	-I introduced a small component of isoprene, didn't seem to make a difference in taste or composition.  I'm not hopeful, but in the next round I'll increase the concentration, if only because the damn stuff is so plentiful.
1NO0000589	Bannon has asked me to search Seagrave Holmes' room to see if I can find anything incriminating about him. Then Bannon can stop him from taking over his council seat.
1NO0000590	You've turned us down twice now, Holmes. This is my last appeal. We used to be friends. We used to do business together. All I want is to sell our product in Rivet City. I'm sure the city could use slaves to help with the rebuilding. Paradise Falls has slaves to sell, at a good price. You used to sell me wastelanders you captured, before you got all full of yourself. You aren't as pure as you pretend. Help me and we can both make a nice profit.
1NO0000592	Artillery Order #447
1NO0000593	Talon Company Support Team Bravo
1NO0000594	Location: Takoma Park
1NO0000595	Establish position near the parking lot west of the factory and monitor enemy movement.  Three squads will be dispatched once you are in position.  Their objective is re-take our old positions in Takoma Park.  Your directive is to provide artillery support when they arrive.  The coordinates have been encoded on the switch provided.  Call in the strikes once alpha squad established a base of fire outside of the blast range.
1NO0000596	Boys and Girls, we've got ourselves another holier-than-thou white knight needs putting down. Here are the details: Name: [%] Race: [%] Sex: [%] The bounty is 1000 caps this time around. And, for a change of pace, they want the head this time. Good hunting!
1NO0000602	Notice to all Regulators seeking Lawful Bounties in the Capital Wastes: Let it be known that the following individual is offered for bounty in the sum of 1,000 caps or similar compensation of expended equipment and/or medical expense, for crimes against the good people of the Capital Wasteland and environs: Name: [%] Race: [%] Sex: [%] Target is considered armed and extremely dangerous. Capture is NOT recommended -- Bounty will be paid upon proof of death (head). Let's put this devil in the ground and be done with it.
1NO0000610	Hey there Jiggs,
1NO0000611	I finally found a good place to ditch your share of the loot. It was hell getting here, but I made it. I left the usual breadcrumbs all over some of the info terminals in this place; their computer security was a joke. Complete the sequence and you're home free, but make any mistakes and the system will lock you out. We'll meet up in the usual spot later.
1NO0000612	Good luck,
1NO0000614	Nice job, Jiggs!
1NO0000615	I knew you'd remember the good old days! The loot is in the Security Office Safe in the upper part of the West Wing. Use the terminal up there to get in. Enjoy your share, pal... you earned it! Meet me in the old diner outside the Jury Street Metro Station. See you there.
1NO0000618	Some of the scabs got tired of digging the tunnel and started using mines to get into the caves.  Not a half bad idea, the explosions damn near knocked the building apart.  We got a new window or two on the side of the building. haha.  I'm going to have some of the boys knock over a caravan for more explosives, but we'll have to use fewer in the blasts, or some assholes from Megaton will come looking.
1NO0000619	Boppo died like a bitch.  He didn't have half a bad idea, setting up here.  We had a good thing going, picking off caravans and traders on their way into Megaton.  He was stupid to try and raid the town.  Dumbass deserved the bullet Simms put in his head.
1NO0000620	Anyway, there's sweeter water to be had here.  That damn Vault's what we should be trying to get into, not that rag-ass town.  If we can get in there, ain't none of us going to want again for the rest of our lives.
1NO0000621	He threw me in here!  I cant believe he did it but that boltbrain foreman psychopath locked me in a closet!
1NO0000622	A goddamn 17 minute break!? That's why it threw me in here!?
1NO0000623	Its been a day, and that stupid robot hasn't even checked on me!  I cant wait until the next time he opens that door, I'm going to brain him with this auto-stapler and then escape.  This story will be front page news so fast that he'll have been reassigned with toaster duty by the time he sees it!
1NO0000624	Day 3 and I'm running out of what little edible supplies there are, they dragged another guy in here as well, says his name is Seth from R&D.  Apparently its now against company policy to leave the toilet seat up in the unisex bathrooms.
1NO0000625	We've come up with a plan that wont fail! We'll be out of here in no time... but for now we play the waiting game.
1NO0000626	Mei Wong is afraid of a man named Sister in Rivet City who she thinks is a slaver.
1NO0000627	Attention: All Museum Security Personnel
1NO0000628	The International Ordnance Museum has graciously loaned us some of their prized antique weapons for the Firearms Exhibition being displayed in the Atrium. The exhibit will be in place from August 14, 2077 until December 31, 2077. Please adjust your rounds accordingly and have an extra security presence in this area at all times.
1NO0000629	Donald Cohen
1NO0000630	Lead Museum Curator
1NO0000632	I'd like to request that all riot gear and security firearms be moved to the new gun locker in the planetarium research office. The cabinet should remain locked at all times. The key to the cabinet must be carried by the duty shift supervisor and left in the security office safe when shift changes occur and at closing time.
1NO0000636	The Museum of Technology Annual Gala Dinner will be held in the Atrium on November 1, 2077. We expect over 100 attendees including several local dignitaries and heads of state. Please set up security checkpoints and provide visible coverage for this event as per Security Mandate 99078b in your handbook.
1NO0000639	I'd like to lodge a formal complaint regarding the Firearms Exhibition that's planned for temporary display in the Atrium. With the world tensions the way they are right now, I feel it's highly inappropriate to glorify these killing devices by promoting them as a tourist attraction. If this is some sort of patriotic gesture, then it is entirely lost upon me and I urge you to rethink this decision.
1NO0000640	B. Bell
1NO0000641	Research Lead
1NO0000642	Can someone PLEASE fix the planetarium projection system? The automated system that was just installed is prone to malfunctions at least once a week. We've had to interrupt the programming more times than I care to remember and end up taking over manually. I suggest we remove the system and bring back the human element so the audience will feel more engaged.
1NO0000645	Hello, Larry. On behalf of the Nuka-Cola Corporation, I'd like to welcome you to the Shipping Department at our Bottling Facility in Washington D.C. Your official job posting is Shipping Clerk and your employee ID number is NCSD-701G. Please keep this information handy at all times. Thanks again, and welcome aboard!
1NO0000646	The stash is hidden downstairs in one of the freezers.  Rocky set it up. You know his style.  Don't forget the key -- you'll need it to unlock the compartment.
1NO0000647	Ted,
1NO0000648	The Mirelurks busted out of the storage area and have been raisin' hell through the whole facility. Price says the bastards get smarter every day. He says I'm paranoid, but I think somebody might be sabotaging things around here.  We've taken on so much extra help, I don't know who I can trust around here anymore.  Things don't look too good.
1NO0000649	I don't think I'll be walking out of here, and I figure you should be the one to get our stash. I managed to get it hidden pretty well in case something like this happened.
1NO0000650	I don't want any of these damn fools tripping over it, so I threw a couple of curves in, but it's nothing you can't handle.  Start with my terminal -- just log in and follow the instructions. And if for some reason you've forgotten the password, you might want to sit down and have a think with a Nuka-Cola, if you catch my drift.
1NO0000651	If this damn meat weren't in such high demand, I'd have pulled out of this racket before the word go.  I got too greedy, Ted.
1NO0000652	0x4341454B
1NO0000653	0x0000003E
1NO0000654	0x00504945
1NO0000656	Remember, I hid this stash for you to find.  Don't trust anybody, especially anybody who works for me.  Do this alone.
1NO0000657	I busted the storage door, down near the service entrance.
1NO0000658	There's a floor safe in the Clinic that contains the parts to fix the broken door.  I also left you a repair manual, just in case you've gotten rusty, but you were always a wizard with a wrench, so I'm sure you'll be fine.  Now get going.
1NO0000659	I've learned from Knight Sergeant Wilks that the password to get to the broadcast booth of GNR is "Shambala".
1NO0000660	Sierra Petrovita of Girdershade told me the ingredients for the pie: Flour, Vodka and a Nuka- Cola Quantum.
1NO0000661	The latest subjects in the Evolutionary Experimentation Program (EEP) are showing some promise after only a single exposure to the modified FEV. We are currently testing five subjects, two males and three females. Each one of them is under 24 hour observation as usual. We hope to have a breakthrough in this strain as the continual pressure from Vault-Tec and the military at Mariposa is becoming most bothersome.
1NO0000662	Incredible results! After only three days, subjects B440, B164 and D624 (all our female specimens) are all exhibiting a unique change. Their bodies are undergoing severe physical changes, losing most of their visible female indicators and transforming to an almost asexual state. They are also seeing increased upper body strength and muscle formation in line with males.
1NO0000663	Similarly, subjects C376 and A541 (our male specimens) are losing most of their visible male indicators and taking on the same asexual state as the females. It seems that the FEV wishes to "level the playing field" and start with a clean slate as it works.
1NO0000664	We've had a minor setback. Subject B440, Mary Kilpatrik, is now deceased. According to my autopsy, she died of a massive loss of brain function and was unable to sustain her basic bodily needs. This is the usual pattern we see in all the FEV Strains we test... the brains of the subjects becoming too damaged to support even the most basic human needs (eating, sleeping, etc.). So far, all other subjects are nominal and continue to exhibit physical changes.
1NO0000665	At ten days, we are now noticing that the skin of all our remaining test subjects is actually thickening and becoming more resilient. This seems to be the FEV bringing about some new adaptive change. This is the kind of result we were looking for... adaptations that could prove useful in combat situations. I need to remember to congratulate Dr. Filo on his skin engineering; his coded instructions in this strain seem to be exactly what he expected.
1NO0000666	Once again, I've hit that damn wall. At fourteen days, all of the test subjects began to exhibit severe bouts of rage and anxiety. So much so that they were a danger to my team and to this facility. I had no choice once again but to order them to be destroyed. It pains me every time we do this. The same cycle has been repeated in every strain we test.  We always see superior physical adaptations, but the mental changes are their downfall.
1NO0000667	Attention ALL Lab Technicians
1NO0000668	The A Level Storage Room has been restocked with rad suits and other radiation dampeners.  We were able to bring these up from deep storage for immediate use. Please only take what is needed (there is no need to hoard the items, there is plenty to go around) and to lock the door after you are finished.
1NO0000670	The radiation expulsion ducts from the G.E.C.K. chamber are once again venting radiation directly into the area due to faulty seals. These seals MUST be properly maintained and checked on a DAILY basis. There is a clipboard with the maintenance checklist that you must initial when the check is complete in the main laboratory. Any lab technician skipping their check will be held accountable for their inaction.
1NO0000672	Doctor Merrick has ordered the latest test subjects in the EEP to be terminated and then disposed of. Please make sure that: bodily remains are placed in the incinerator as soon as the subjects vitals are flat, the entire isolation room is disinfected and any relevant data on the subjects are given to Doctor Merrick. FEV is very unpredictable, and we do not want any contamination to remain when the next strain is introduced to new subjects.
1NO0000673	Hit a goddamned hive of ants in the tunnel.  Bastards ate seven of our best diggers before we could lock off the way in.  Need to find some way to poison them so we can keep digging and blast into that Vault.  If we don't get there soon, I think I'm going to end up like Boppo, except it won't be the Sheriff popping me, it's gonna be my own men.
1NO0000674	USMC Private Contract PRVMIL-3482b
1NO0000675	Official orders from Department of Defense
1NO0000676	Contractor's Eyes Only Under Penalty of Treason
1NO0000677	In accordance with Executive Order 99066, transport specified civilians to WRA site PA-32.  Use of non-lethal force is authorized only when required to enforce this contract.  Transport Arrival is required by October 29th, 2077.  Present these orders to Chief MP at WRA site perimeter for admission and unloading.
1NO0000678	Y.Guo
1NO0000679	A.He
1NO0000680	H.X.Ming
1NO0000681	M.Pang
1NO0000682	M.Pang Jr.
1NO0000683	R. Chong
1NO0000684	H.K. Tsen
1NO0000685	///Encrypt: Bailain///
1NO0000686	LONG: 8347*&$
1NO0000687	LATI: 324897.347
1NO0000688	My dearest Susan,
1NO0000689	I can't believe I'm writing this... but I can't help it. I can't hold it in any longer. I can't stop thinking about you! Even when I'm with Millicent, all I see is your face! God, can a man be in love with two women at the same time?
1NO0000690	How can something so wrong feel so right? There must be some way to make this work! To make this right...
1NO0000691	I can't wait to see you. But I don't want it to be like before. It's different now. Because I've finally told you... I love you. This is real. This is so real I can't take it any more. I need you right now!
1NO0000692	Yours truly and forever,
1NO0000693	EW
1NO0000694	For Immediate Release:
1NO0000695	HUBRIS COMICS AND VAULT-TEC INCORPORATED UNVEIL "VAULT BOY MEETS HELL'S CHAIN GANG" LIMITED FIVE-PART MINISERIES
1NO0000696	The very best in Invincible Entertainment and Inpenetrable Vaults team up to bring comic fans a gripping grimoire of greatness!
1NO0000697	From their headquarters in Washington, DC, Hubris Comics announced today plans to bring a beloved American Icon into the Hubris Comics Universe - none other than the beloved Vault Boy Character.
1NO0000698	"Vault Boy was the perfect choice for our new Hell's Chain gang series", says Hubris Comics Chief of Publishing Peter Shiner, "In which those Valiant Vigilantes take on Chairman Cheng's Commie Cyborg Corps - after all, Vault Boy knows a thing or two about going up against that Red Menace!"
1NO0000699	The five-part miniseries will feature an alternate future in which Chinese Communists have invaded America.  Vault Boy and Hell's Chain Gang are the last, best hope for America to break free from the shackles of Communism in this cautionary tale of vigilance.
1NO0000700	"It has always been Vault-Tec's mission to educate and protect our Countrymen from the Communist threat", commented Vault-Tec Public Relations Executive Joanne Strausser, "This exciting project is a perfect opportunity to thrill young Americans while sending home an important message for us all: Every good American must help shoulder the burden of freedom, and always be wary of the Communist Threat".
1NO0000701	The first issue of this miniseries will be available on newsstands everywhere this Holiday Season.
1NO0000702	About Hubris Comics
1NO0000703	Hubris Comics, a branch of Hubris Publishing, headquartered in Washington, DC, has been producing printed entertainment since 2021.  Hubris Comics are known for such popular properties as Grognak the Barbarian, Hell's Chain Gang, and The Inspector.
1NO0000704	The password is Amata.
1NO0000705	Remember, I need genuine Sugar Bombs and they have to be still sealed in the box. Bring them back here to me at Northwest Seneca Metro Station and I'll pay you for each one you bring.
1NO0000707	O Prince, O Chief of many Throned Powers,
1NO0000708	That led th' imbattelld Seraphim to Warr
1NO0000709	Under thy conduct, and in dreadful deeds
1NO0000710	Fearless, endanger'd Heav'ns perpetual King;
1NO0000711	And put to proof his high Supremacy,
1NO0000712	Whether upheld by strength, or Chance, or Fate,
1NO0000713	Too well I see and rue the dire event,
1NO0000714	That with sad overthrow and foul defeat
1NO0000715	Hath lost us Heav'n, and all this mighty Host
1NO0000716	In horrible destruction laid thus low,
1NO0000717	As far as Gods and Heav'nly Essences
1NO0000718	Can Perish: for the mind and spirit remains
1NO0000719	Invincible, and vigour soon returns,
1NO0000720	Though all our Glory extinct, and happy state
1NO0000721	Here swallow'd up in endless misery.
1NO0000722	But what if he our Conquerour, (whom I now
1NO0000723	Of force believe Almighty, since no less
1NO0000724	Then such could hav orepow'rd such force as ours)
1NO0000725	Have left us this our spirit and strength intire
1NO0000726	Strongly to suffer and support our pains,
1NO0000727	That we may so suffice his vengeful ire,
1NO0000728	Or do him mightier service as his thralls
1NO0000729	By right of Warr, what e're his business be
1NO0000730	Here in the heart of Hell to work in Fire,
1NO0000731	Or do his Errands in the gloomy Deep;
1NO0000732	What can it then avail though yet we feel
1NO0000733	Strength undiminisht, or eternal being
1NO0000734	To undergo eternal punishment?
1NO0000735	First MOLOCH, horrid King besmear'd with blood
1NO0000736	Of human sacrifice, and parents tears,
1NO0000737	Though for the noyse of Drums and Timbrels loud
1NO0000738	Their childrens cries unheard, that past through fire
1NO0000739	To his grim Idol.  Him the AMMONITE
1NO0000740	Worshipt in RABBA and her watry Plain,
1NO0000741	In ARGOB and in BASAN, to the stream
1NO0000742	Of utmost ARNON.  Nor content with such
1NO0000743	Audacious neighbourhood, the wisest heart
