1TE0000004	Vault Door Activated
1TE0001725	Reboot system
1TE0001727	Human Resources Management System
1TE0001728	You are logged in as Emily Weise
1TE0001731	Submit time sheet.
1TE0001732	Request tax information.
1TE0001733	Review personal information.
1TE0001734	Contact technical support.
1TE0001735	About the system.
1TE0001736	I don't know what's happening. The sirens went off twenty minutes ago and I hear something like thunder in the distance. We're not allowed to leave the building and I can't see what's happening in the street. I'm scared... I think this might be it. Everything that we've been building up for. This might be the last thing I ever write, so to whoever finds it, if I don't make it tell my family that I love them.
1TE0001738	Elise Walton
1TE0001739	CPA
1TE0001740	GAO, Dept. of Research Subsidies
1TE0001744	Maxson Family Dossiers
1TE0001745	State of Maxson
1TE0001746	Diary of Roger Maxson -- Vol. 1
1TE0001747	Diary of Roger Maxson -- Vol. 2
1TE0001750	Oct. 10, 2077
1TE0001751	Oct. 12, 2077
1TE0001752	Oct. 13, 2077
1TE0001753	Oct. 15, 2077
1TE0001754	Oct. 18, 2077
1TE0001755	Oct. 20, 2077
1TE0001758	Roger Maxson
1TE0001759	Maxson II
1TE0001760	John Maxson
1TE0001761	New Entry: Scribe Arthur Maxson
1TE0001764	Report on U.F.O. codenamed "Palandine"
1TE0001769	Oct. 22, 2077
1TE0001770	Oct. 23, 2077
1TE0001771	Oct. 25, 2077
1TE0001772	Oct. 26, 2077
1TE0001773	Oct. 27, 2077
1TE0001776	AVF Problem
1TE0001777	Warning!: Leaky Hydraulics
1TE0001778	Enclave Tactical Assessment
1TE0001779	G.N.R. Battle After-Action Report
1TE0001780	General Robot Diagnostics -- Updated
1TE0001781	Notice: Reddin Funeral Canceled
1TE0001784	G.N.R. Soldier Rotation
1TE0001785	Important!: Squire Maxson Bailey Access
1TE0001786	Lyons' Pride Recruiting
1TE0001790	Chamber Status Check
1TE0001791	FEV Reserves
1TE0001810	Notice: Reddin Funeral Cancelled
1TE0001829	Seal Radiation Chamber
1TE0001830	Emergency Radiation Purge
1TE0001831	Vault 87 Chief Physician's Terminal
1TE0001834	Entry 87-34190
1TE0001835	Entry 87-34224
1TE0001836	Entry 87-34233
1TE0001837	Entry 87-34265
1TE0001838	Entry 87-34335
1TE0001845	Field Report: PFC M.Scott
1TE0001846	Orders (CO eyes only)
1TE0001847	Doc-u-tron Desktop
1TE0001848	model 986
1TE0001849	Welcome, MOIRA. What would you like to do today?
1TE0001851	Store Inventory
1TE0001853	Track Current Experiments
1TE0001855	Survival Guide Progress
1TE0001858	RobCo Security System v7.3
1TE0001859	Enter command:
1TE0001861	Deactivate Unit "Deputy Steel"
1TE0001862	Deactivate Unit "Deputy Weld"
1TE0001863	This door is for your own protection. Automated and highly deadly security systems are in place. DO NOT attempt to gain unauthorized entry.
1TE0001864	You have been warned.
1TE0001866	Open Security Door
1TE0001869	911 Call Log <Most Recent>
1TE0001870	Sound Station Alarm
1TE0001880	1. Ikkm00:Mvkz6x1ml:Nqtm
1TE0001881	1. Open Secure Hatch
1TE0001884	Squire Maxson Progress Report
1TE0001885	Sarah's Birthday
1TE0001886	Safe Lock Override
1TE0001889	Diary Entry 1
1TE0001890	Diary Entry 2
1TE0001891	Story: The Guardians of Gillyfrond
1TE0001892	Poem: Song of the Lightman
1TE0001896	Casualty Report
1TE0001897	Notes on Pendleton Appendectomy
1TE0001898	Hovering Contemplatively, a Poem
1TE0001899	Medical Storage Lock Override
1TE0001902	The First Law
1TE0001904	The Second Law
1TE0001906	The Third Law
1TE0001908	The Fourth Law
1TE0001910	The Fifth Law
1TE0001914	The Five Laws of The Family
1TE0001917	Sten-o-pool 3500 Word Processing System
1TE0001918	Current User: Tulip
1TE0001919	Current Document: Paradise Lost Transcript
1TE0001921	Paradise Lost: Book I
1TE0001922	Paradise Lost: Book II
1TE0001923	Paradise Lost: Book IV
1TE0001924	Paradise Lost: Book VIII
1TE0001927	Notes on the electrical system.
1TE0001929	Docutron Database 7000x
1TE0001930	Welcome, Ahzrukhal
1TE0001932	Notes on Carol
1TE0001933	Notes on Patchwork
1TE0001934	Notes on Snowflake
1TE0001935	Notes on Dr. Barrow
1TE0001938	Examination of the Post-Necrotic Human
1TE0001939	Neurology of Luminous Necrotic Post-Humans
1TE0001940	Study Of Ferocious Post-Necrotic Dystrophy
1TE0001950	An All-American Business
1TE0001951	== Plant Operations Menu ==
1TE0001953	1. Resource Levels
1TE0001954	2. Quarterly Analysis
1TE0001955	3. Human Resources Memo
1TE0001956	4. Urgent Diagnostic Alert
1TE0001957	5. Ikkm00:Mvkz6x1ml:Nqtm
1TE0001958	5. Access Encrypted File
1TE0001959	Welcome, Agent Huang.
1TE0001960	Hail the People's Republic!
1TE0001976	Secure Archives
1TE0001977	Open Archive Doors
1TE0001990	Secure Exhibit
1TE0001991	Open Exhibit Door
1TE0001994	<Secure Room>
1TE0001995	<Open Cell Door>
1TE0001996	Reasearch & Development
1TE0001997	< !  !  !  !  !  >
1TE0001998	SOLE OWNERSHIP L.O.B. ENTERPRISES
1TE0001999	VIOLATORS PUNISHED UNDER #P47
1TE0002001	Lab Reports
1TE0002005	Unlock Storage Room Door
1TE0002006	Notice #009
1TE0002007	Notice #012
1TE0002008	Notice #018
1TE0002011	Unlock Medical Safe
1TE0002012	All Employees Must Read!
1TE0002013	Deceased Listing
1TE0002014	Death Code Definitions
1TE0002017	Service Issue Entry V87-002
1TE0002018	Service Issue Entry V87-003
1TE0002019	Service Issue Entry V87-004
1TE0002020	Service Issue Entry V87-005
1TE0002021	Service Issue Entry V87-006
1TE0002022	Service Issue Entry V87-007
1TE0002025	Journal Entry 06A01
1TE0002026	Journal Entry 06A02
1TE0002027	Journal Entry 06A03
1TE0002028	Journal Entry 06A04
1TE0002029	Journal Entry 06A05
1TE0002030	Journal Entry 06A06
1TE0002031	Journal Entry 06A07
1TE0002032	Moriarty's Property Only!
1TE0002034	Motivational Phrase of the Month: "When the chips are down, it means the Brahmin is empty."
1TE0002036	Residents
1TE0002037	Visitors
1TE0002038	Tabs
1TE0002039	Nuka-Cola Shipping Department
1TE0002041	Quantum Test Shipments
1TE0002043	From: Marketing
1TE0002045	Security System Login
1TE0002046	Saved Memo - Attn: Security Captain
1TE0002061	(Plains) Look Around
1TE0002067	Game Over
1TE0002068	Weapon Information Research Database
1TE0002069	Choose Weapon
1TE0002071	N99 10mm Pistol
1TE0002072	R91 5.56mm Assault Rifle
1TE0002091	Museum of Technology Maintenance Dept.
1TE0002093	Bulletin MT20761211
1TE0002094	Bulletin MT20761130
1TE0002095	Bulletin MT20761117
1TE0002096	Bulletin MT20761020
1TE0002097	Museum of Technology Employee Terminal
1TE0002099	Log Entry 20770103
1TE0002100	Log Entry 20761010
1TE0002101	Log Entry 20760307
1TE0002102	Log Entry 20760211
1TE0002103	Log Entry 20760202
1TE0002106	Space Fact #1
1TE0002107	Space Fact #2
1TE0002108	Space Fact #3
1TE0002109	Space Fact #4
1TE0002110	Space Fact #5
1TE0002111	Space Fact #6
1TE0002112	Space Fact #7
1TE0002113	Space Fact #8
1TE0002116	Delta IX Rocket Information
1TE0002117	Show Instruments Section
1TE0002118	Instruments Section Light Off
1TE0002119	Show Crew Section
1TE0002120	Crew Section Light Off
1TE0002121	Show Propulsion Section
1TE0002122	Propulsion Section Light Off
1TE0002124	<Unlock Doors>
1TE0002125	<Arm Security Systems>
1TE0002126	<Disarm Security System>
1TE0002129	People
1TE0002130	Places
1TE0002131	Pests
1TE0002134	King Crag
1TE0002135	Miss Penelope Chase
1TE0002136	Destiny Chao
1TE0002138	Harmon Jurley
1TE0002143	Blue Destiny Brothel
1TE0002149	Feral Ghouls
1TE0002150	Radscorpions
1TE0002152	Robobrains
1TE0002155	Identity Verification
1TE0002157	Begin Decontamination
1TE0002163	Your Brain Softworks
1TE0002164	Version: ME
1TE0002166	You Know You Want To...
1TE0002167	Vault-Tec Security System
1TE0002168	Software Version 1.02.f
1TE0002170	Urgent: Security Notice
1TE0002174	A Note To Me
1TE0002175	Another Note To Me
1TE0002176	Please Read Me
1TE0002180	Urgent: Preparations Report
1TE0002187	Study #004-C
1TE0002188	Citadel System Link 39L
1TE0002189	Welcome, Scribe Rothchild
1TE0002191	Historical Records
1TE0002192	Diagnostic Reports
1TE0002193	Lead Scribe's Journal
1TE0002194	Voice Emitter Test
1TE0002195	Initiate Activation Sequence
1TE0002199	Project Summary
1TE0002200	Capital Post Article -- June 3, 2072
1TE0002201	Letter: Dr. Bloomfeld to Gen. Chase
1TE0002205	28253
1TE0002206	28320
1TE0002207	Current
1TE0002211	28254
1TE0002213	28338
1TE0002216	Do brahmin heads learn independently?
1TE0002217	Can explosives be used to expand town?
1TE0002218	Can Mole-Rats be domesticated?
1TE0002219	How to prevent raider attacks?
1TE0002220	What do Super-Mutants eat?
1TE0002221	What happened to China?
1TE0002222	Can centaurs talk?
1TE0002223	What is the purpose of being?
1TE0002224	Washington Monument Access Terminal
1TE0002225	Brotherhood of Steel and Galaxy News Radio Access Only
1TE0002227	Open Outer Security Gate
1TE0002228	Close Outer Security Gate
1TE0002235	Seven
1TE0002236	Fifty
1TE0002237	Thirteen
1TE0002238	Twenty
1TE0002241	John Hancock
1TE0002242	George Washington
1TE0002243	Benjamin Franklin
1TE0002244	John Adams
1TE0002248	56
1TE0002249	80
1TE0002250	50
1TE0002253	Indictment
1TE0002254	Preamble
1TE0002255	Introduction
1TE0002256	Ratification
1TE0002259	Queen Victoria
1TE0002260	King Arthur
1TE0002261	King George III
1TE0002262	King William IV
1TE0002265	Freedom
1TE0002266	Happiness
1TE0002267	Equality
1TE0002268	Unalienable Rights
1TE0002271	Abraham Lincoln
1TE0002272	James Monroe
1TE0002273	James Madison
1TE0002277	Press for Voucher
1TE0002278	System Error
1TE0002279	-=LOB Enterprises=-
1TE0002280	Welcome, EMP_ID_MISSING.
1TE0002291	National Archives Prize Redemption System
1TE0002292	Congratulations! You're a true American Patriot!
1TE0002294	Redeem Voucher
1TE0002295	Voucher Required
1TE0002296	**New Fruit Mentats Prizes**
1TE0002297	Brought to you by Med-Tek Laboratories
1TE0002299	Glamorously Grape Mentats
1TE0002300	Brilliantly Berry Mentats
1TE0002301	Observantly Orange Mentats
1TE0002302	Sorry, Need a Prize Voucher
1TE0002305	Protectron activated.
1TE0002308	WARNING: System reports failure state. Please call Metro Maintenance for service.
1TE0002312	Activate Science Robot
1TE0002313	Science Robot Command Input
1TE0002323	Synthman Surgery
1TE0002324	Android Hoax?
1TE0002325	Facial Surgery
1TE0002326	Android Gratitude
1TE0002327	Rumors of Android in Wasteland
1TE0002329	Secret Android Project
1TE0002331	VIP Slave from Commonwealth
1TE0002332	Intercepted Android Message
1TE0002333	Find that Android. Now!
1TE0002335	New VIP Passenger. All Aboard!
1TE0002336	Message from Railroad Passenger
1TE0002337	Railroad in danger.
1TE0002338	Success! Railroad Passenger Arrives Safely
1TE0002339	*K!9Bfh6sK#J44H$f
1TE0002340	Miss Danielle Faye
1TE0002341	Ms. Jennifer Wilkins
1TE0002342	$fJfk0h834lk%hHDS
1TE0002343	Safe Unlocked
1TE0002344	Unit Offline for Maintenance
1TE0002345	Unit Present
1TE0002346	Unit Offline
1TE0002347	Unit not Present
1TE0002348	Recall Uplink Not Available
1TE0002359	Unit Not Programmed
1TE0002360	Unit Activated
1TE0002363	Uplink Malfunction
1TE0002364	Recall Uplink Not Present
1TE0002366	Remote Shutdown Sent
1TE0002375	Transfer Complete
1TE0002376	Transfer Canceled
1TE0002379	Door Unlocked
1TE0002380	Door Released
1TE0002381	Error - Systems Offline
1TE0002383	Metro Map Downloaded...
1TE0002385	Strongroom Doors Unlocked
1TE0002386	Maintenance Doors Unlocked
1TE0002387	Mag System Down - Call Maintenance
1TE0002394	FAILED to connect to DCTA Security.
1TE0002395	Opening... FAILED relay to DCTA Sec.
1TE0002396	Failure... contact DCTA maintenance office
1TE0002397	Protectron Activated...
1TE0002398	Protectron Deactivating...
1TE0002399	FAILURE: Call Maintenance for service.
1TE0002402	Audio stored on portable Device
1TE0002404	Program Running. Proceed with Caution.
1TE0002405	Review Documentation Before Proceeding
1TE0002407	Prices reset.
1TE0002408	Holiday price schedule loaded.
1TE0002409	VIP discount enabled.
1TE0002410	Clearance granted, Unlocking...
1TE0002411	...Loading Sequence
1TE0002412	<ERROR> Maintenance In Progress
1TE0002413	Lock Disengaged
1TE0002414	Lock Engaged
1TE0002415	!!!Sector B Shutting Down Defenses!!!
1TE0002416	!!!Security in Sector B Armed and Ready!!!
1TE0002417	!!! Unable to Locate Platform !!!
1TE0002419	!!!Sector A Turrets Shutting Down!!!
1TE0002420	!!!Security Turrets Armed and Ready!!!
1TE0002423	!!! Emergency Pulse Explosion Charging !!!
1TE0002424	!!! ERROR - No Energy Source Available !!!
1TE0002425	!!! Invalid Decryption Key !!!
1TE0002426	Hydroponics fully functional.
1TE0002427	Filtration systems fully functional.
1TE0002428	Service Disabled - See Vendor
1TE0002429	Studio Ready for Recording
1TE0002430	Studio in Standby Mode
1TE0002431	Target Data cleared.  Exercise Caution.
1TE0002432	<!>Please Exercise Caution<!>
1TE0002433	Booting...
1TE0002434	Powering Down...
1TE0002435	Loading LOG file...
1TE0002522	Central Error - System Nonfunctional
1TE0002523	Storage Door Activated
1TE0002524	Local Error - Purge System Nonfunctional
1TE0002525	Downloading... complete.
1TE0002529	Downloading file to Pipboy... complete.
1TE0002530	Downloading to Pipboy... complete.
1TE0002531	All systems functional.
1TE0002532	Systems disengaged for service.
1TE0002533	No water chip found. Contact distributor.
1TE0002534	System disengaged - do not run purge!
1TE0002535	System re-engaged. Enjoy your water!
1TE0002536	Error: System cannot be re-engaged.
1TE0002537	Impurities purged. Cleanliness restored.
1TE0002538	Purge error. Additional materials purged.
1TE0002539	No purge controller located.
1TE0002540	Welcome To Crater Camp
1TE0002541	Function Disabled [MESSAGE 0]
1TE0002544	Doors Opening
1TE0002545	Deploying Countermeasures
1TE0002546	Initiating Sound Sequence
1TE0002547	Stand back, Flammable Gas...
1TE0002548	ERROR: Exhaust has been recently vented
1TE0002549	Cell Door Unlocked...
1TE0002550	Error Locking Cell Door...
1TE0002551	Need 3 Confirmations
1TE0002552	Sequence Locked
1TE0002553	Sequence Complete
1TE0002560	Find Info Terminals
1TE0002562	Planetarium Exits Now Unlocked
1TE0002563	ERROR: Could Not Locate Door to Unlock
1TE0002564	Show Stopped
1TE0002565	Show Started
1TE0002566	In the Wasteland, we can all be heroes!
1TE0002567	Chairman Cheng is watching you, Comrade!
1TE0002568	The invaded have been wiped out!
1TE0002569	Glorious work, happy life!
1TE0002570	Win glory for our motherland!
1TE0002571	Hold aloft the red lantern!
1TE0002572	Revolution brings happiness!
1TE0002575	Loading Entry...
1TE0002578	Progam running. Please wait...
1TE0002579	Locking down residence. Please wait...
1TE0002580	Unlocking residence. Please wait...
1TE0002581	Please Re-Enable Security Screening
1TE0002582	Disabling. Please stand clear...
1TE0002583	Please Engage Security Program
1TE0002584	Enabling Parameters. Please stand by...
1TE0002585	Failure - Total System Malfunction
1TE0002586	Error - Backup Generator Failure - Code 34
1TE0002587	Medical Safe Unlocked
1TE0002588	Door Has Been Unlocked
1TE0002589	Opening...
1TE0002590	Closing...
1TE0002593	Control Pod Unlocked
1TE0002594	Door opened
1TE0002595	Door closed
1TE0002596	Door opening...
1TE0002597	Door closing...
1TE0002598	Data Corrupted
1TE0002601	Loading...
1TE0002604	Field Entry:  "Bloat Fly"
1TE0002605	Field Entry: "Brahmin"
1TE0002608	Field Entry: "Radroach"
1TE0002609	disconnecting user: ISABELLA PROUD
1TE0002623	disconnecting user: NO ENTRY
1TE0002624	ERROR: Dish Motivators Offline
1TE0002625	Downloading Coordinates to User Device
1TE0002627	Pinging USDOD-21TXH....
1TE0002636	disconnecting user: N Kroydon
1TE0002646	Subject D624
1TE0002647	Lock Error - Call for Service
1TE0002648	Danger: Do Not Enter Room
1TE0002649	Reservation Server Unavailable
1TE0002652	Unlocked
1TE0002658	Overflow door disengaging...
1TE0002659	Returning...
1TE0002661	Information Transferred to Local Device
1TE0002663	ERROR: Card Printer Jammed
1TE0002665	Connection to central computer disrupted.
1TE0002666	Warning: 201 years overdue!
1TE0002667	Bunker Door Activated...
1TE0002673	disconneting user: RYAN BRIGGS
1TE0002674	EAM/Authentication: VERIFIED THREAT
1TE0002675	Targeting Navigation Corrupted
1TE0002676	Door Unlocked ...
1TE0002677	!!! Error - Cannot locate Server !!!
1TE0002679	ERROR: Factory Power Supply Insufficient
1TE0002680	Initiating Sequence Alpha-Two-Roach
1TE0002681	Ceasing Sequence Alpha-Two-Roach
1TE0002682	Initiating Sequence Commie-Attack
1TE0002683	Ceasing Sequence Commie-Attack
1TE0002684	Initiating Sequence Omega-4-Breakdown
1TE0002685	Ceasing Sequence Omega-4-Breakdown
1TE0002686	Currently 100% of Seating Available
1TE0002687	Error - Inventory Depleted
1TE0002688	Ready
1TE0002689	Call Technician Immediately!
1TE0002690	WARNING! System Error!
1TE0002692	Error - No Inventory Selected
1TE0002693	Leak Detected - Auto-shutoff engaged
1TE0002694	Auto-shutoff system already engaged.
1TE0002695	Security safe unlocked.
1TE0002696	Security safe locked.
1TE0002697	File Unavailable
1TE0002698	Robotic Hostiles Targeted.
1TE0002699	Humanoid Targets Excluded
1TE0002700	ERROR: Missing Telemetry Unit
1TE0002705	Sending query//Unit#name:Dean_Dewey.rbco
1TE0002706	ERROR COMM LINK//Unit#name:Dean_Dewey.rbco
1TE0002707	Cage #364 Unlocked...
1TE0002708	System Inoperative
1TE0002710	Displaying Release Schedule
1TE0002711	Displaying Inbox
1TE0002712	Loading file....
1TE0002713	!!Action Failed - No Power Supply!!
1TE0002714	!!Action Failed!! Press Not Turned On.
1TE0002715	!!! Warning - Machine Malfunctioning !!!
1TE0002716	Grognak the Barbarian, #361 - LOADED
1TE0002717	Red Ink Low
1TE0002718	Low-Grade Pulp Available
1TE0002719	Explosive Bolts Deployed -- Door Released
1TE0002724	Opening hatch in main garage area...
1TE0002725	Opening the door for you, Dr. Braun...
1TE0002726	Welcome To Rho Camp
1TE0002729	Loading Database...
1TE0002743	Pulse Sending
1TE0002744	Neutralizing Agent Added-Mutagen Destroyed
1TE0002745	Error - Requires Master Cypher Sequence
1TE0002746	No new connections found.
1TE0002747	New Terminal Found. Network Updated.
1TE0002748	Safe unlocked...
1TE0002749	Access Denied
1TE0002750	Door Release Engaged
1TE0002752	Shutting Down.
1TE0002753	Disabling Stasis Field
1TE0002754	Error Enabling Stasis Field
1TE0002755	Returning to Home Station...
1TE0002756	Searching for Muffy...
1TE0002757	Travelling to McGurty's Grocery...
1TE0002758	Reporting to Children's Room...
1TE0002759	Initiating Home Security Patrol...
1TE0002761	Override Enabled
1TE0002762	Access Blocked
1TE0002763	Internal Paging System Offline
1TE0002764	Cost Deducted from Paycheck... Enjoy!
1TE0002770	Only Available to Executive Level Employee
1TE0002771	Access Approved
1TE0002772	Command Locked
1TE0002773	Station 1 Masterbrain Shutdown Approved
1TE0002783	MESSAGE 1J - Operator Unavailable
1TE0002784	ERROR 862 - Please Speak With Operator
1TE0002796	ERROR // No Source detected...
1TE0002797	Turret Sentries active...
1TE0002798	Loading Image...
1TE0002805	Loading partial archive...
1TE0002806	Thanks for playing!
1TE0002807	You examine your surroundings...
1TE0002809	Your puny weapons are useless on Grelok.
1TE0002810	You take a rough gemstone from the rocks.
1TE0002811	You retreat to the south....
1TE0002812	Your weapon.  Rusty, but trusty.
1TE0002813	A very small flask to carry water.
1TE0002814	Your flask if full of blessed water.
1TE0002815	The smell may make you unpopular...
1TE0002816	A brilliant, faceted gemstone
1TE0002817	The gem shard pulses with magical light...
1TE0002818	An enchanted weapon to defeat Grelok
1TE0002819	Key given to you by the priest
1TE0002820	This gemstone may be valuable...
1TE0002822	You approach the smithy...
1TE0002824	You approach the clergyman...
1TE0002827	You walk to the north...
1TE0002831	Your blow knocks the zombie into a grave.
1TE0002832	You step into the empty chapel...
1TE0002833	You peer into the open grave...
1TE0002836	You walk to the west...
1TE0002838	You acknowledge the wizard...
1TE0002842	You walk to the east...
1TE0002843	!!! Security Barrier Activated !!!
1TE0002844	!!! Security Barrier Disabled !!!
1TE0002849	Lounger is not currently occupied
1TE0002851	Question Already Answered
1TE0002859	Incorrect! Please Play Again
1TE0002862	CORRECT!
1TE0002863	Field Entry: "Wild Dog"
1TE0002864	Field Entry: "Large Scorpion"
1TE0002866	ERROR:  Unable to Locate Museum Doors
1TE0002867	!!! Lobby Turrets Activated !!!
1TE0002868	!!! Lobby Turrets Shutting Down !!!
1TE0002870	!!!! Atrium Turrets Activated !!!!
1TE0002871	!!! Atrium Turrets Shutting Down !!!
1TE0002875	Displaying Notice
1TE0002876	Loading file...
1TE0002878	Printing Press Shutting Down...
1TE0002882	*** Access Granted ***
1TE0002883	*** Incorrect Code - Access Denied ***
1TE0002884	Error - Chamber Offline Code 0987YU
1TE0002885	FEV Tanks Depleted
1TE0002892	Subject B164
1TE0002895	Subject B440
1TE0002898	Subject A541
1TE0002901	Subject C376
1TE0002904	Error - Magnetic Locking System Offline
1TE0002905	Error - Venting System Offline
1TE0002906	Data corrupted! Use hardcopy backups.
1TE0002907	Store profits up 20% since repurposing.
1TE0002908	Displaying...
1TE0002909	Experiments deleted.
1TE0002910	File has been deleted.
1TE0002911	File printed and distributed
1TE0002912	Editing in progress
1TE0002913	Deactivation signal sent...
1TE0002915	Stand back. Door opening.
1TE0002922	[ERROR HX40-399: invalid decry.key]
1TE0002923	[decry.key valid]: Opening Hatch
1TE0002925	Medical Storage Unlocked
1TE0002930	[decry.key valid]
1TE0002941	Please stand back.
1TE0002954	Please Stand Back From Gate
1TE0002955	Please Stand Back From The Gate
1TE0002957	Loading Partial Archive
1TE0002964	Welcome,  Mr. Humbert....
1TE0002968	You venture to the north...
1TE0002969	You walk to the south...
1TE0002972	Load Submenu
1TE0002973	Please play again!
1TE0002974	Access Granted
1TE0002975	Turrets Coming Online
1TE0002976	Turrets Going Offline
1TE0002977	Scanner Missing - Security Overridden
1TE0002978	Door Activated
1TE0002979	Anti-Bacterial Spray Depleted
1TE0002983	And So You Did
1TE0002985	Decoding...
1TE0002988	Voice Emitter Test Initialized...
1TE0002989	FAILURE: *Insufficient Power*
1TE0002990	More study of brahmin language required.
1TE0002991	Lucas Simms requests all testing cease.
1TE0002992	Yes, if defanged, declawed, & lobotomized.
1TE0002993	Raiders refuse to sit for interviews.
1TE0002994	Research assistants.
1TE0002995	Reports uncertain. China may be fictional.
1TE0002996	Abundance of tongues suggests so.
1TE0002997	To perform science.
1TE0002998	Gate Opening
1TE0002999	Gate Closing
1TE0003011	Incorrect!
1TE0003029	Dispensing
1TE0003030	Voucher Dispenser is Empty
1TE0003035	Error - Pod Empty
1TE0003036	Error - Robot Out of Range
1TE1000001	Virtual Strategic Solutions, Inc.
1TE1000002	SIM-U-TEC Chamber 003
1TE1000004	Latest Reports
1TE1000005	Program Updates
1TE1000009	9/06/77
1TE1000010	8/15/77
1TE1000011	VSS, INC. SECURE STORAGE
1TE1000012	Proper Authorization Required
1TE1000014	Unlock Secure Access Area
1TE1000016	USAF auto-transcriber
1TE1000017	USER MODE: Colloquial American/Mid-western
1TE1000018	SOURCE LANG: Chinese/Guanhua Formal
1TE1000019	WARNING: Decryption errors found: 13%
1TE1000021	Decrypted/Transcribed Volume 99x87x010
1TE1000022	USAF Protocols for Artillery Stations
1TE1000023	Chugach Overlook AFS - Anchorage, AK
1TE1000024	Section AFS-12.1
1TE1000025	Supervisory Installation:
1TE1000026	Elemndorf AFB - Anchorage, AK
1TE1000028	1.1a: Co-op w/regional NORAD
1TE1000029	1.1b: Diversionary Evacuations
1TE1000030	1.1c: Atmospheric Counter-Espionage
1TE1000033	SOURCE LANG: Chinese/Mandarin Formal
1TE1000034	WARNING: Decryption errors found: 27%
1TE1000036	Decrypted/Transcribed Volume 99x46x013
1TE1000040	WARNING: Decryption errors found: 16%
1TE1000042	Decrypted/Transcribed Volume 99x17x320
1TE1000046	WARNING: Decryption errors found: 15%
1TE1000048	Decrypted/Transcribed Volume 99x51x140
1TE1000049	Anchorage Telegraph Co.
1TE1000050	Open Broadcast Terminal AF-12e
1TE1000051	Special Contract US_DoD_Auth
1TE1000052	ERROR: Archival Corruption Detected
1TE1000053	ERROR: Auth Code Invalid
1TE1000055	Diagnose Archive?
1TE1000056	Broadcast Message?
1TE1000057	Recall Last Transmission?
1TE1000058	H:>  \.
1TE1000059	H:> Welcome USER_ADMIN
1TE1000060	H:> ...
1TE1000062	User Access Log
1TE1000063	Access Mainframe Address
1TE1000064	PowerRoutine.Actions
1TE1000067	G - Ground Level
1TE1000068	S1 - Sublevel One
1TE1000069	S2 - Sublevel Two
1TE1000070	Welcome Lieutenant Patterson
1TE1000071	Please Select Your Strike Team
1TE1000073	Recruitment Markers Required
1TE1000074	Unit One Empty
1TE1000075	Unit One: Infantryman
1TE1000076	Unit One: Grenadier
1TE1000077	Unit One: Missile Unit
1TE1000078	Unit One: Sniper
1TE1000079	Unit One: Mister Gutsy
1TE1000080	Unit One: Sentry Bot
1TE1000081	Unit Two Empty
1TE1000082	Unit Two: Infantryman
1TE1000083	Unit Two: Grenadier
1TE1000084	Unit Two: Missile Unit
1TE1000085	Unit Two: Sniper
1TE1000086	Unit Two: Mister Gutsy
1TE1000087	Unit Two: Sentry Bot
1TE1000088	Unit Three Empty
1TE1000089	Unit Three: Infantryman
1TE1000090	Unit Three: Grenadier
1TE1000091	Unit Three: Missile Unit
1TE1000092	Unit Three: Sniper
1TE1000093	Unit Three: Mister Gutsy
1TE1000094	Unit Three: Sentry Bot
1TE1000095	Requisition Full - Commit Team
1TE1000096	Unit Descriptions
1TE1000099	Change Gear Package
1TE1000103	Fire Team Package Description
1TE1000106	Close Assault Package Description
1TE1000109	Sniper Package Description
1TE1000112	Heavy Weapons Package Description
1TE1000115	Infantryman - 1 Marker
1TE1000116	Grenadier - 1 Marker
1TE1000117	Missile Unit - 2 Markers
1TE1000118	Sniper - 2 Markers
1TE1000119	Mister Gutsy - 3 Markers
1TE1000120	Sentry Bot - 4 Markers
1TE1000121	Dismiss Unit
1TE1000150	Deploy Team
1TE1000151	Cancel
1TE1000154	Access Granted. Proceed.
1TE1000155	Loading Transcription...
1TE1000162	ERROR: Archive Corruption 98xHHa
1TE1000163	ERROR: Hard Line Unavailable
1TE1000164	Loading Transmission Record...
1TE1000165	Loading UserAccess.log
1TE1000166	ERROR: Authorization Revoked
1TE1000168	Allotment Reached
1TE1000169	See Quartermaster
1TE1000170	Requisition Dispensed
1TE1000171	You are currently using that package.
1TE2000007	Terminate Floodlight Power
1TE2000008	Resume Floodlight Power
1TE2000009	Check Power Levels
1TE2000013	5 mm
1TE2000014	5.56 mm
1TE2000015	10 mm
1TE2000016	.308 caliber
1TE2000017	.32 caliber
1TE2000020	10 millimeter round ammunition selected.
1TE2000021	Ready to convert material to new ammo type.
1TE2000023	Calculate Production Run
1TE2000030	Press 10mm Rounds
1TE2000031	5 millimeter round ammunition selected.
1TE2000042	Press 5mm Rounds
1TE2000043	.32 caliber round ammunition selected.
1TE2000053	Press .32 caliber Rounds
1TE2000054	.44 magnum round ammunition selected.
1TE2000064	Press .44 Magnum Rounds
1TE2000065	5.56 millimeter round ammunition selected.
1TE2000076	Press 5.56mm Rounds
1TE2000077	.308 caliber round ammunition selected.
1TE2000087	Press .308 caliber Rounds
1TE2000088	Shotgun shell ammunition selected.
1TE2000099	Press Shotgun Shells
1TE2000100	-->Pittsburgh Department Of Public Works
1TE2000101	-->Interoffice Mail Terminal
1TE2000102	-->Logged in as: Director Hadley James
1TE2000104	Subject: New Smithfield Street Bridge
1TE2000105	Subject: New Seating Assignments
1TE2000106	Subject: Do You Hear That?
1TE2000107	Subject: Phone Messages
1TE2000108	Doctor Borman's Office Log
