0ME0000001	You quickly find a manilla folder with Pacer's name on it in the drawer marked "N-R".
0ME0000957	You have gained the Lord Death perk.
0ME0000959	You have gained the Melee Hacker perk (Rank [%])
0ME0000961	You have gained the Mutant Massacrer perk (Rank [%])
0ME0000963	You have gained the Free Radical perk.
0ME0000965	You have gained the Machine Head perk (Rank [%])
0ME0000967	You have gained the Tough Guy perk.
0ME0000969	You have gained the Fast Times perk.
0ME0000971	Veronica has died!
0ME0000973	Arcade has chosen to don the customized Tesla armor of his father for the upcoming battle against Caesar's Legion.
0ME0000975	Arcade has chosen to give you the customized Tesla armor of his father for the upcoming battle against Caesar's Legion.
0ME0000977	Since you've left Freeside, your bodyguard has stopped following you.
0ME0001018	You have gained the Camel of the Mojave perk.
0ME0001026	There appears to be an automated door hidden behind this wall. It looks like it could be jammed shut, with the proper skills. (Repair 65 or higher required)
0ME0001029	Jam Opening Mechanism
0ME0001040	You plug your remote detonator into the terminal and set the primary trigger mechanism to begin the diagnostics on the generators, activating the detonator should cause the generators to explode.
0ME0001042	You think if you had a remote detonator, you could set it up to cause the generators to explode.
0ME0001044	A thorough examination of the nearby machinery reveals that the radio is directly linked to another system somewhere in the area, but isn't connected to the overall broadcast hub. It would be relatively simple to patch it into the speakers that dot the area.
0ME0001046	Leave the radio alone.
0ME0001047	Press the button.
0ME0001048	Patch the radio into the broadcast system.
0ME0001053	The radio appears to be connected to a series of nearby machines. The microphone hooked into it has a blinking button on the side.
0ME0001057	A second after you press the button, a harsh voice comes over the radio's speaker.
0ME0001059	The radio remains patched to the broadcast system.
0ME0001062	Link the radio to its original connection.
0ME0001063	Broadcast along the paths leading up to the mountain.
0ME0001064	Broadcast inside the village.
0ME0001065	Broadcast on the summit.
0ME0001066	Your voice echoes somewhere below you. A moment later, the equipment around you loses power.
0ME0001068	You hear your voice clearly just outside the building. A moment later, the equipment around you loses power.
0ME0001070	You voice echoes from somewhere above, further along the road. A moment later, the equipment around you loses power.
0ME0001072	It looks like you can only connect it to one part of the system at a time. Judging from the wires leading from the system, you have a general idea of where your broadcast will be heard. You guess that wherever your voice is heard, an armed response will shortly follow.
0ME0001075	Broadcast along the paths leading up the mountain.
0ME0001098	You can't focus on that while you are in combat.
0ME0001100	The mother deathclaw goes berserk at the death of her baby!
0ME0001107	Mr. House Interface.
0ME0001109	Unplug Mr. House.
0ME0001110	Overload Mr. House.
0ME0001111	Leave Mr. House alone.
0ME0001171	Some sort of data corruption has made the user interface illegible. The damage doesn't seem to go any deeper than that since the pump station is still online.
0ME0001172	[Science of 50 or greater required to repair.]
0ME0001174	Leave the terminal alone.
0ME0001175	Repair the network connection.
0ME0001176	Activate the terminal.
0ME0001177	You restored the pump station's network connection.
0ME0001179	The Reactor is Active.
0ME0001181	Leave the access point alone.
0ME0001182	Reactor
0ME0001183	Power the Substation.
0ME0001187	The Reactor is inactive.
0ME0001190	An examination of the radio's internal components reveals that several parts and connections were popped loose when the radio hit the floor. It should be a fairly simple repair job to get it working again.
0ME0001191	[Repair of 20 or greater required.]
0ME0001194	Repair the radio.
0ME0001195	You fixed the Prospector Saloon's radio.
0ME0001203	You consider taking the jet, but realize it might be better if you could somehow pin the theft on someone else. Preferably someone Pacer hates.
0ME0001205	The box contains a large amount of Jet. If you knew more about pharmaceuticals, you might be able to taint the Jet to make it lethal to use.
0ME0001206	(Medicine 60 or higher required)
0ME0001214	You quickly ascertain that the robot's current AI state is set to hibernate, likely a self-defense mechanism after the unit suffered catastrophic damage. Whoever repaired it probably didn't know how to reset its AI. After flipping the right switch, the robot jumps to life.
0ME0001216	There's an intruder in the dish hut! Get him, you fools!
0ME0001218	The transceiver is now dead. The connection must have been cut from the other side.
0ME0001220	The robot lies inert on the table, giving no indication of having worked recently, or ever. A nameplate on part of the surface is scratched and mostly faded, but you can still make out the faint word "Rhonda". If you knew more about how robots function, you might be able to get it working again.
0ME0001221	(Science 60 required)
0ME0001224	The robot lies inert on the table, giving no indication of having worked recently, or ever. A nameplate on part of the surface is scratched and mostly faded, but you can still make out the faint word "Rhonda".
0ME0001227	[Science] Check the robot's circuitry.
0ME0001228	As you flip the switch, the radio station goes silent. Only static plays over the speakers.
0ME0001234	Veronica has returned to the 188 Trading Post.
0ME0001236	The note reads: "Not many patrols out here lately, which means not much loot.  Our crew is thinking we should make a move soon.  Follow the tracks up north; head towards the Strip. You in?  Ain't on the chain gang anymore, but we still gotta stick together."
0ME0001238	The note reads: "Some of the fellas farther north are trying to organize.  We're starting to think it's a good idea.  Got to pool resources if we're gonna survive out here.  Sure you've noticed the decline in travelers.  If they're getting wise, so should we."
0ME0001242	All of the broken solar arrays are repaired.
0ME0001245	That person is busy talking to someone else at the moment.
0ME0001363	You found a Limited Edition Mojave Landmark Snowglobe!
0ME0001364	These rare, pre-War artifacts are widely considered to be useless baubles, but rumor has it some collectors will pay dearly for them.
0ME0001368	V29-321G may look like a big, fat, red rocket, Rocketeers, but Ol' Fatty here ran circles around the Earth not so long ago, so let's see you keep up! Sure, V29-321G's re-entry gave it its more commonly-known nickname "Big Fat Fiery Fred," but here at REPCONN we chose to focus on the successes and apply what we learned about explosive-resistant shielding to future models and even our landing platforms!*
0ME0001369	* The newly-(re)constructed REPCONN Launch Facility was a direct beneficiary of this discovery.
0ME0001371	Officially called the "Z43-521P" by silly engineers, we prefer to call this little scrapper by its true nickname, the "Green Bean." After all, which would you prefer in your backyard garden - a smoldering Z43-521P, or a green bean?* One sounds like it belongs if mentioned on the news, and make news it did... featuring REPCONN's plasma engine, it was soooo newsworthy that we decided to take the Quantum Matter Modulation unit out and see if we could use it for non-explosive uses.
0ME0001372	* Rocket nickname chosen after results of first trial landing.
0ME0001374	We've all heard "stories" that radiation is dangerous - fact or fiction?* A common site in factories, military installations, and the basements of selected government-funded middle schools, these safety barrels* are just what the name implies - safe. While their attractive coloring can be interpreted as a warning, for REPCONN, it's an invitation to a future filled with nuclear power!
0ME0001375	* Rhetorical questions and nomenclature of exhibit items cannot be used as a basis for criminal prosecution.
0ME0001377	Whoa, watch your step! You don't want to be facing this fearsome fellow if you accidentally stumble into a restricted area. Whether sporting the latest in dual miniguns, rockets, or laser cannons, the Sentrybot not only takes it job seriously, it also takes no prisoners! It's proof of RobCo's commitment to defense that these deadly guards are concealed in chambers throughout this facility, so let this be a warning: Watch where you step, or out'll come RobCo, guns blazing!
0ME0001378	Exhibit Brought to You By Your Friends at RobCo
0ME0001380	RobCo's always had an eye for robotics, and this little fellow is no different! This robotic marvel can not only recognize your face and voice with advanced facial and auditory recognition technology, it can also broadcast video and audio as well! Think of it - all the sights and sounds of your radio and TV in your living room at home blasted directly at you on the street, subway, bathroom, or wherever you may be! Never fear, you'll never miss a news bulletin or presidential address again, no matter where you are!
0ME0001383	You never can have too many hands - three, why not four? That was RobCo's inspiration behind the popular (and cost-effective) Mr. Handy model, the first of the line shown here. Always a help around the household, whether with Mom in the kitchen using its titanium circular power saw or in the garage with Dad using its armor-piercing laser array, Mr. Handy is not just helpful... he's your friend, too.
0ME0001386	Some folks have asked - why not a Protectron with wheels? RobCo wasn't afraid to answer that question: The Protect-O-Bot is theanswer. While safety standards prevented this free-wheeling dynamo from entering mass market production despite RobCo's best intentions and teams of lawyers, we take consolation in letting you can see this extremely well-funded experiment as it was intended - a robot moving so fast it looks like it's standing still!
0ME0001389	Just like the rocket you see here, we're aimed at the sky, but we've got a ceiling in the way! See, Rocketeers, while REPCONN is (was) focused on non-radioactive* propulsion engines, we still need to sneak back and use some of our older "proven" techniques with nuclear-driven engines to make space travel a reality. Partnered with our new buddy RobCo, we've dug up older, cheaper technology for upcoming orbital projects. No worries, even if you can't always see what we're up to up there - we can see you!
0ME0001390	* Any implication of radioactive material as negative is unintentional and in no way reflects RobCo or its subsidiary REPCONN.
0ME0001392	What's this? A dull rod? Not so, Rocketeers! This "dull rod" once powered REPCONN's old nuclear-propelled rockets and still contains harmless* traces of radioactive material. As an exercise, stare closely* at the rod and try to spot the telltale glow!
0ME0001393	* While this case is lead-lined (standard in these cases, not specifically requested for this display), do not touch, look, or stand too close to this exhibit - keep your legs moving and see the rest of the museum!
0ME0001395	Why, look here! A pile of itty-bity safety barrels,* all nestled together like a family sitting down to dinner! Now, while it's claimed even the safest nuclear waste disposal procedures seep poison into the environment that never, ever goes away, in REPCONN's case, we say it all depends on where you put them - and Nevada's just the place!
0ME0001396	* Nomenclature for "hazardous waste barrels" as per REPCONN glossary specs.
0ME0001398	Hold up, Rocketeers, what's this? This trio of cylinders isn't a trio of cylinders at all!* They're containers holding what some* scientists call "plasma." Can you say "plasma?" REPCONN's always looking to the future, and in our future, we don't have to worry about radiation, health risks, or lawsuits when using this new and improved fuel source to blast our rockets into and out of the sky!
0ME0001399	* Clarification: "Cylinders" and "plasma" are factually correct designations of display items, both by definition and by the scientific community.
0ME0001401	A model of our solar system (not actual size). Beautiful, isn't it? RobCo, with its subsidiary REPCONN, has often gazed into the night sky, seeing the rich pageant of stars and planets above us. Our goal? To send unmanned rockets to these other systems, seeing their beauty firsthand while mining ever deeper into each planet's surface for precious resources needed here at home. This is our promise to mankind, extending our reach into a future where the number of RobCo and REPCONN rockets match the stars in the sky.
0ME0001402	This Exhibit Brought To You By Your Friends at RobCo
0ME0001404	This sleek and purple R77-293A "Needlenose" is what happens when you mix fossil and plasma in a rocket and shake it up! The fossil fuels punch this sharp-nosed terror through the sky, and the plasma is used to shoot it through space to planets where REPCONN can mine more fossil fuels,* continuing the whole cycle again!
0ME0001405	* Interplanetary mining and resource rights still in negotiation.
0ME0001407	Force your parents a short drive south, and you'll see the retractable dome of REPCONN's launch facility (not actual size!). You may have heard wild stories about rocket flights and their impact* on nearby towns and communities, but REPCONN feels you can't put a price of space exploration - after all, Rocketeers, you do want to go into space someday... don't you?
0ME0001408	* Statement is figurative and inadmissible as evidence in a court of law.
0ME0001410	This console regulates the pumps keeping Lake Meade from flooding the Securiton storage galleries.
0ME0001413	Plant the explosive charge.
0ME0001414	This is the Securitron operations console for the Securitron vault. Software updates can be installed from this console.
0ME0001417	Insert the Platinum Chip and install the Mk. II upgrade software.
0ME0001418	The door has been sealed shut until main power is back online.
0ME0001420	This door is permanently jammed, cutting off access to other sections of the vault.
0ME0001422	Much of the text on the screen is encoded in some sort of cipher. You won't be able to decode it without Veronica present.
0ME0001424	You are now dressed as a member of the NCR.
0ME0001431	Control Room
0ME0001432	General Radio Chatter heard over emergency channel, Message [%].
0ME0001472	Emergency Radio greeting.
0ME0001476	This pot contains ingredients for the Legionaries' stew.
0ME0001478	Leave the pot alone.
0ME0001479	Added the infected Brahmin meat to the mix.
0ME0001480	Meat intended for the Legion's mongrels is usually dropped onto this plate.
0ME0001482	Leave the plate alone.
0ME0001483	Drop the infected Brahmin meat on the plate.
0ME0001484	Karma is an overall indication of your sense of good, evil... or neutrality.  Your Karma starts at Neutral, and changes based on your actions. It can go up to Good or Very Good, or down to Evil or Very Evil. Kind or self-sacrificing acts will net you good Karma. Selfish and malicious acts will earn evil Karma. Sometimes, killing a particularly saintly or terrible enemy will modify your Karma as well.
0ME0001485	Though some people in the world react to Karma, most base their opinons off of Reputation. Karma is simply the universe's way of tracking your good and bad deeds in the world.
0ME0001487	Addictions Removed
0ME0001489	You are a little woozy.
0ME0001537	The radio immediately cuts to static.
0ME0001557	The current quest is time-sensitive - waiting will result in quest failure.
0ME0001580	Your companion is unable to wear that faction armor.
0ME0001584	The fallen will the gift of bloody reprisal.
0ME0001586	Wrap the dog tags around your fists.
0ME0001588	You slowly wrap the chains of the fallen around your hands.
0ME0001590	You are inspired by the sacrifice of the fallen.
0ME0001596	Stage moving from [%] to [%]
0ME0001598	This generator would provide power to Quarry Junction, if it were functional. Whoever assembled it had no idea what they were doing - many parts are connected incorrectly or hooked up backwards. Someone with the proper knowledge could easily get the generator operational.
0ME0001601	Leave the generator alone.
0ME0001602	Properly assemble the generator.
0ME0001603	Permanently disable the generator by stripping it for spare parts.
0ME0001604	You repaired the generator.
0ME0001606	Gather, all. Gather and hear my words. May the creator guide me and help me speak true...
0ME0001608	Our almighty creator has seen fit to answer our prayers. The time has come for us to board the rockets and begin the Great Journey. Soon shall we dwell in a promised land where hate and resentments are unknown.
0ME0001610	Though we believed that all humans despised us, the creator has seen fit to instruct us otherwise.
0ME0001612	The Journey ahead would have been impossible if not for the efforts of two human friends, one new, the other a long-abiding companion.
0ME0001614	The guards inside block the entrance of the tent. Apparently, the Legate does not wish to speak again until your mission is accomplished.
0ME0001618	To our new friend, we say thanks, and promise never to forget how he drove off the demons who sought to keep us from reaching the promised land.
0ME0001620	But to Chris, we owe more than thanks. To him, we owe our salvation. Chris, you have made the Great Journey a reality.
0ME0001622	From this moment forward, we shall each and every one of us revere you as the Saint of the Great Journey. We shall never forget you.
0ME0001624	We ask that you forgive us, Chris, and give us your blessing, as we bestow ours upon you. We are but humble servants of the creator's divine and mysterious will.
0ME0001626	It is your sacrifice that will bring us to the promised land. Seekers, board the rockets, take your seats. The Great Journey awaits! We go now to the Far Beyond!
0ME0001628	Current # of Kills: [%]
0ME0001630	The Vault-Tec Assisted Targeting System, or V.A.T.S., allows you to pause the game, assess any combat situation tactically, and target the specific body parts of any enemies onscreen.    Pressing and holding [%] will pause the game and scan the area of targets; arrows to the left and right indicate threats that are currently offscreen.    To zoom in on an enemy, simply select it and release [%]. You are now able to target the individual body parts of that enemy.    The percentage value next to a body part indicates the chance to hit that body part with each shot. The small bar next to the body part indicates its condition; when the condition of a body part is completely reduced, that body part is crippled, and the targeted enemy will suffer the obvious ill effects -- crippling the legs reduces movement speed and any lunging attacks; crippling the arms affects accuracy, etc.    When using a melee weapon or unarmed combat, you will need to be close to have a chance to hit. Both melee and grenades are "full body" attacks, and you cannot specify a specific body part. As you raise your Melee Weapons or Unarmed skill, you will gain the ability to perform special attacks with weapons using those skills.    Every attack on a body part uses up Action Points. Generally, the smaller a weapon, the fewer Action Points are required for every shot. Keep in mind that you're not limited to shooting at just one target -- at any time, you can switch available targets, and attack them as well, so long as you have remaining Action Points.    When you've used up all of your Action Points, and are ready to leave V.A.T.S., press [%].
0ME0001638	[%]: Move forward  [%]: Move backward  [%]: Strafe left  [%]: Strafe right  [%]: Look around  [%]: Attack  [%]: Aim/Block [%]: Activate Objects  [%]: Reload Weapon (Hold to holster)  [%]: Pip-Boy 3000  [%]: Jump    [%]: Run (Toggle)  [%]: Sneak (Toggle)  [%]: Grab  [%]: View Switch (Hold to adjust)  [%]: Vault-Tec Assisted Targeting System (Hold to scan)
0ME0001660	You have entered the boomer trigger. Good luck.
0ME0001662	What floor would you like to go to?
0ME0001665	Lower Brimstone
0ME0001666	Main Level
0ME0001667	3rd Floor
0ME0001668	Suites Level
0ME0001669	The rockets launch successfully!
0ME0001671	The rockets crash. You're a jerk.
0ME0001673	The terminal seems to be locked into its new settings.
0ME0001675	Oops! You're not sure what you just did, but it probably isn't good...
0ME0001677	Examining the trajectories a little further, it looks like the computer is set to take a non-optimal route to the specified destination.
0ME0001678	You surmise that with minor alterations, you can plot a course that will take them about 12.5% closer to their intended destination.
0ME0001679	Do you wish to alter the rockets' course?
0ME0001681	Make the change.
0ME0001682	Don't make the change.
0ME0001683	You modify the path of the rockets to land closer to their target.
0ME0001685	You alter the trajectory of the rockets so that they will crash into one another on launch.
0ME0001687	The console displays a wealth of information concerning the predicted trajectory of the rockets.
0ME0001688	What do you wish to do?
0ME0001690	Examine the navigation data further.
0ME0001691	Set the rockets to crash into one another.
0ME0001693	Arcade has returned to Freeside.
0ME0001695	You don't think you accomplished much, but you feel better.
0ME0001697	You see a bunch of numbers and words on the screen, but none of it really means anything to you.
0ME0001699	Mash on the keys.
0ME0001701	The console seems to have something to do with the course plotted for the rockets, but you can't make heads or tails out of how it works.
0ME0001702	(Science 55 required)
0ME0001707	The grease on the bottle cap press is fresh, indicating that someone used it recently.
0ME0001710	Strip all the important-looking bits out of the machine.
0ME0001725	You smash the radio violently, destroying it beyond the possibility of repair.
0ME0001730	Rig the radio to explode when used.
0ME0001731	Smash the radio.
0ME0001732	You cleverly rearrange the radio's inner workings to provide an explosive surprise for the next person who uses it.
0ME0001796	ED-E has returned to Primm.
0ME0001800	The elevator door opens without a hitch. Buttons corresponding to the different levels of the vault glow faintly along the wall. Which one do you press?
0ME0001802	Leave the elevator alone.
0ME0001803	First Level - Entrance
0ME0001804	Second Level - Oxygen Recycling
0ME0001805	Third Level - Food Production
0ME0001806	Fourth Level - Common Areas
0ME0001807	Fifth Level - Pest Control
0ME0001808	The elevator does not seem to be working. You could probably pop open the nearby panel and tinker with it to get the elevator working.
0ME0001811	Repair the elevator.
0ME0001812	The elevator does not seem to be working. If you had more experience with fixing machinery, you could probably get it working.
0ME0001813	(Repair 50 required)
0ME0001818	Private Ackerman looks battered and bruised. He's tied up to Private Gilbert - freeing one will free them both.
0ME0001820	Leave him tied up for now.
0ME0001821	Untie them.
0ME0001822	Despite her situation, Private Gilbert remains sullen and defiant. She's tied up to Private Ackerman - freeing one will free them both.
0ME0001824	Leave her tied up for now.
0ME0001826	It looks as though the damaged servos and gyroscopes could be replaced with the correct components (Requires 3 Pieces of Scrap Metal, 2 Sensor Modules, and some Scrap Electronics)
0ME0001829	Fix It With The Parts
0ME0001830	Try To Fix It Without Parts (Repair)
0ME0001831	Examine The Electronics (Science)
0ME0001832	Boone has returned to Novac.
0ME0001834	Boone has died!
0ME0001836	Cass has returned to the Mojave Outpost.
0ME0001838	Cass has gone... reluctantly... to the Lucky 38.
0ME0001840	Arcade has gone to the Lucky 38.
0ME0001842	Boone has gone to the Lucky 38.
0ME0001844	ED-E has gone to the Lucky 38.
0ME0001846	Raul has gone to the Lucky 38.
0ME0001848	Veronica has returned to the Lucky 38.
0ME0001850	Lily has returned to Jacobstown.
0ME0001852	Lily has gone to the Lucky 38.
0ME0001854	Raul has died.
0ME0001856	Arcade has died.
0ME0001858	Cass has died.
0ME0001860	ED-E has died.
0ME0001862	Lily has died.
0ME0001865	You are committing to fight with the NCR at the battle for Hoover Dam which will determine the fate of New Vegas for decades to come.
0ME0001870	You are committing to fight with Caesar's Legion at the battle for Hoover Dam which will determine the fate of New Vegas for decades to come.
0ME0001875	You are committing to fight for an Independent Vegas at the battle for Hoover Dam which will determine the fate of New Vegas for decades to come.
0ME0001880	You are committing to fight for Mr. House at the battle for Hoover Dam which will determine the fate of New Vegas for decades to come.
0ME0001885	Blackjack is a game played with one more standard decks of playing cards. In Fallout: New Vegas, it is played between the Courier and a casino dealer. The goal is to play a hand of two or more cards up to, but not exceeding, a combined value of 21 points. The value of each hand is determined by adding together the values of each individual card. Cards 2-10 are worth their listed value. Face cards (Jack, Queen, King) are worth 10 points. Aces are worth either 1 or 11 points, whichever is more advantageous. A hand that exceeds 21 in total value is considered a "bust" and immediately loses.
0ME0001886	After the initial bet is made, the player and dealer are both dealt two cards. Based on the Courier's current hand, the player has different options:
0ME0001887	* Hit - Add a new card to the Courier's hand. The player must accept the value of this card, though aces provide whatever value is most advantageous at any given time.
0ME0001888	* Stay - Courier's hand is effectively "locked" and the dealer will deal cards into his or her own hand until his or her hand is at least 17. Note: at some casinos, dealers will continue to hit on a "soft" 17 that contains an ace. In either case, the dealer has no decision-making process and will always follow the listed rule.
0ME0001889	* Double Down - The Courier's bet is doubled but the dealer will give the Courier's hand only a single additional card.
0ME0001890	* Split - If the Courier's initial hand is a pair, the player may double his or her bet and split the pair into two separate hands that are played individually.
0ME0001891	* Surrender - This option is only available immediately after the first cards are dealt. It offers the player the option to sacrifice half of his or her bet and immediately fold. It is typically only done when the player's hand is particularly bad and the dealer is showing a very strong hand (for example, an ace).
0ME0001892	Once the dealer has completed dealing into his or her own hand following the player's choice to stay, the values of the Courier's hand and the dealer's hand are compared. Assuming neither party has busted (gone over 21), the higher value wins. In the case of a tie, the hand is considered a push. If the dealer has "blackjack" (an ace and a ten-value card), he or she automatically wins unless the Courier also has blackjack. In that case, the hand is considered a push.
0ME0001893	Individual casinos use different numbers of card decks, pay out natural blackjack hands at different odds, and shuffle their decks with varying frequency. Pay close attention to these details to develop advanced playing strategies.
0ME0001895	Roulette is a game of chance in which a ball is spun on a spinning wheel marked with 38 colored and numbered pockets. As the ball loses momentum, it eventually drops into one of the pockets. Before the ball is spun, players place bets on individual numbers or groups of numbers, the colors red or black, or whether the number will be odd or even. If the ball lands in a pocket covered by one of the player's bets, he or she receives a reward proportional to the odds of his or her bet. Player bets fall into two categories: inside bets and outside bets.
0ME0001896	Inside Bets - Inside bets are placed on the numbered sections of the board or on the outside edges.
0ME0001897	* Straight-Up - A single number. The chip is entirely inside the square.
0ME0001898	* Split - Two adjoining numbers. The chip is placed on the line between the numbers.
0ME0001899	* Street - Three numbers in a horizontal line. The chip is placed at the edge of a line.
0ME0001900	* Six Line - Two adjoining streets. The chip is placed at the edge between two streets.
0ME0001901	* Corner - Four numbers in a square. The chip is placed at the intersection of the four numbers.
0ME0001902	* Basket - 0, 1, and 2; 0, 00, and 2; or 00, 2, and 3. The chip is placed at the intersection between the three numbers.
0ME0001903	* Top Line - 0, 00, 1, 2, and 3. The chip is placed at the corner of 0 and 1.
0ME0001904	Outside Bets - Outside bets are played off of the main numbered section of the board and never include 0 or 00.
0ME0001905	* 1-18, 19-36 - The first and second halves of the numbered board.
0ME0001906	* Red, Black - Red and black numbers.
0ME0001907	* Even, Odd - Even and odd numbers.
0ME0001908	* 1st, 2nd, 3rd Dozen - The first (1-12), second (13-24) or third (25-36) set of numbers.
0ME0001909	* 1st, 2nd, 3rd Column - A bet on an entire vertical column of numbers. The chip is placed at the base of the column.
0ME0001911	Slots are casino gambling machines that have three or more reels that spin when a button is pushed or lever is pulled. Each reel randomly stops on or between one of many symbols on the reel. Depending on the combination of symbols that comes up, the player will either lose his or her bet or receive a payout based on the odds of the combination coming up.
0ME0001912	Different slot machines have different numbers of symbols and correspondingly different payout odds. You can check the payout odds from within the game at any time.
0ME0001920	Turn off generator.
0ME0001923	The Tops Floor Manager is coming to speak with you.
0ME0001978	In Hardcore Mode, you may only healcrippled limbs by using Doctor's Bags or by visiting a doctor for medical care.Stimpaks can be used for general healing (which will also slightly healcrippling damage), or they can be applied directly to a limb to heal cripplingdamage.To heal a crippled limb directly using a Stimpak, navigate to the Stats screenin your Pip-Boy, then left-click on a limb to use a Stimpak on that limb.
0ME0001979	In order to heal a crippled limb, you have three choices: sleep in abed, find a doctor, or use a Stimpak to heal yourself. In HardcoreMode, you may only heal crippled limbs by using Doctor's Bags or byvisiting a doctor for medical care.Stimpaks can be used for general healing (which will also slightlyheal crippling damage), or they can be applied directly to a limb toheal crippling damage.To heal a crippled limb directly using a Stimpak, navigate to theStats screen in your Pip-Boy, then left-click on a limb to use aStimpak on that limb.
0ME0001985	In order to heal a crippled limb, you have three choices: sleep in a bed, find a doctor, or use a Stimpak to heal yourself. In Hardcore Mode, you may only heal crippled limbs by using Doctor's Bags or by visiting a doctor for medical care.
0ME0001989	To heal a crippled limb directly using a Stimpak, navigate to the Stats screen in your Pip-Boy, then press [%] to switch to Limb mode. Now you can use [%] to select a limb, and [%] to use aStimpak on the selected limb.
0ME0001991	In Hardcore Mode, you may only heal crippled limbs by using Doctor's Bags or by visiting a doctor for medical care.
0ME0002030	This is a military-issue ham radio, complete with a signal encoder/decoder interface for encrypting and deciphering transmissions.
0ME0002032	Leave the ham radio alone.
0ME0002033	Update the security codes for this radio.
0ME0002054	Using the Med-X to dull the patients pain, you use the surgical tubing to reduce some of the bleeding, and then sterilize the wound with the Whiskey. The patient will recover completely in time.
0ME0002056	Using the Med-X to dull the patients pain, you put the Medical Brace on him to stabilize his leg. You then carefully begin to amputate the limb with the Bonesaw. During surgery, you notice the man's hand is gangrenous. You amputate that as well, saving his life.
0ME0002058	You use the Med-X and dull the patients pain. Carefully, you use the tweezers to pick out pieces of shrapnel. Due to the extreme loss of blood, the patient goes into circulatory shock. You quickly use the Super Stimpak to stabilize the patient. The patient will make a complete recovery.
0ME0002060	The trail beyond the gate leads back down the barge which took you across the river.
0ME0002062	Stay here.
0ME0002063	Take the barge back to Cottonwood Cove.
0ME0002064	This is the control console for the AA gun on Hoover Dam.
0ME0002067	Examine the gun controls.
0ME0002068	Examine the gun circuit board.
0ME0002069	Examine the controls for tampering.
0ME0002070	You are crippled. Use a Doctor's Bag or find a doctor.
0ME0002100	You don't have the parts required to perform this repair.
0ME0002102	You are still dressed as a member of the Boomers.
0ME0002104	You are still dressed as a member of the Brotherhood of Steel.
0ME0002106	You are still dressed as a member of Caesar's Legion.
0ME0002108	You are still dressed as a member of the Followers of the Apocalypse.
0ME0002110	You are still dressed as a member of the Great Khans.
0ME0002112	You are still dressed as a member of the NCR.
0ME0002114	You are still dressed as a member of the Powder Gangers.
0ME0002116	You are still dressed as a member of the White Glove Society.
0ME0002119	To hotkey an item in your Pip-Boy, hold [%] and use the [%] to select a hotkey slot.
0ME0002120	Now when the Pip-Boy is closed, you can use or equip that item simply by pressing the corresponding [%]. Holding down the [%] will display all of your current hotkey assignments.
0ME0002122	Securitrons successfully upgraded to Mark II.
0ME0002124	This switch controls the power to the east side of the power plant.
0ME0002126	Leave the switch alone.
0ME0002127	Turn on the switch.
0ME0002128	You have reactivated the power to the east side of the power plant.
0ME0002130	This box controls the power to the west side of the power plant.
0ME0002132	Leave the control box alone.
0ME0002133	Overload and blow it up!
0ME0002134	The control box is damaged and no longer functioning.
0ME0002136	This junction box could be rewired to override the security door controls, disconnecting it from the automated security system and opening the door.
0ME0002137	Repair of 60 or greater required.
0ME0002139	Leave the junction box alone.
0ME0002140	Rewire the junction box.
0ME0002141	The control box is locked.
0ME0002145	You place the NCR bug inside a crack in the radio.
0ME0002147	This appears to be a radio used to communicate with The Fort.
0ME0002149	Plant the NCR bug.
0ME0002159	If the bunker's power regulators are destroyed, its reactor core will overload in a matter of seconds - with catastrophic results.
0ME0002161	Sabotage detected. Sentry Bot patrol mode activated.
0ME0002163	Warning: Multiple radiation leaks detected! Evacuation recommended.
0ME0002165	Warning: Power fluctuations detected. Situation reaching critical levels.
0ME0002167	This turret has sustained some minor damage and looks as though it could use some repairs. (Repair 45 or higher required)
0ME0002170	Repair Turret
0ME0002171	You quickly repair the damaged circuits.
0ME0002183	You are no longer dressed as a member of the NCR.
0ME0002185	You are no longer dressed as a member of Caesar's Legion.
0ME0002187	You are now dressed as a member of the Brotherhood Of Steel.
0ME0002189	You are no longer dressed as a member of the Brotherhood Of Steel.
0ME0002191	You are now dressed as a Powder Ganger.
0ME0002193	You are no longer dressed as a Powder Ganger.
0ME0002195	You are now dressed as a member of the Great Khans.
0ME0002197	You are no longer dressed as a member of the Great Khans.
0ME0002209	This control box is connected to the main computer banks at Hoover Dam.
0ME0002212	Install the override chip.
0ME0002213	You've installed the override chip.
0ME0002227	This is a temporary console to allow you activate the Kimball Assassination Scenarios. Please only select one.
0ME0002230	I'd like to assassinate Kimball.
0ME0002231	I'd like to protect Kimball.
0ME0002232	You are looking at the Presidential vertibird. The assassins could have done something to the vertibird. (Repair or Explosives 50 or higher Required)
0ME0002234	Leave the vertibird alone.
0ME0002235	Examine the vertibird.
0ME0002236	You are looking at the Presidential Vertibird. This is a perfect place to put a bomb to kill President Kimball. (Explosives 50 or higher Required)
0ME0002239	Plant the bomb.
0ME0002240	You look over the vertibird and see something strange. You take a closer look but you can't be sure that there is anything wrong, but you have a bad feeling about this.
0ME0002242	You attempt to search the vertibird for anything strange, but you can't tell the difference between a bomb and an actual part on the vertibird. Your search doesn't find anything.
0ME0002247	Try and search the vertibird.
0ME0002251	Attempt to plant the bomb.
0ME0002252	You search the vertibird and notice a strange item that doesn't belong. Upon examination you notice it's a bomb. You skillfully disable the bomb and remove it from the vertibird.
0ME0002254	You successfully plant the bomb on the vertibird.
