0NA0000002	세력 갑옷
0NA0006522	프리사이드
0NA0006529	엔클레이브
0NA0006531	치명타 기회 보너스
0NA0006535	푸줏간 칼
0NA0006539	심지 긴 다이너마이트
0NA0006540	점화된 심지 긴 다이너마이트
0NA0006541	점화된 다이너마이트
0NA0006542	점화된 화염병
0NA0006543	점화된 섬광탄
0NA0006544	점화된 세열 수류탄
0NA0006545	점화된 성스러운 세열 수류탄
0NA0006546	점화된 가스 폭탄
0NA0006547	점화된 소이 수류탄
0NA0006548	점화된 MFC 수류탄
0NA0006549	점화된 누카-수류탄
0NA0006550	점화된 플라즈마 수류탄
0NA0006551	점화된 펄스 수류탄
0NA0006552	점화된 깡통 수류탄
0NA0006553	점화된 병뚜껑 지뢰
0NA0006554	점화된 C-4 플라스틱 폭탄
0NA0006555	점화된 폭약
0NA0006556	점화된 팻 마인
0NA0006557	점화된 파편 지뢰
0NA0006558	점화된 MFC 클러스터
0NA0006559	점화된 플라즈마 지뢰
0NA0006560	점화된 깡통 폭탄
0NA0006561	점화된 펄스 지뢰
0NA0006562	점화된 주머니 폭탄
0NA0006563	점화된 시한 폭탄
0NA0006564	점화된 시한 폭탄 (고성능)
0NA0006568	남서쪽 하수도
0NA0006569	부머 복장
0NA0006570	부머 비행복
0NA0006574	미스터 핸디
0NA0006575	로이 고틀립
0NA0006576	볼트 11 생존자 (음성 일지)
0NA0006577	시스템 기록: 볼트 11 정문
0NA0006581	테오의 탄약 상자
0NA0006583	[식재료] 옥수수
0NA0006584	핀드 시체
0NA0006596	오버시어의 단말기 암호
0NA0006607	후면 패널
0NA0006612	카이사르에게 바쳐라
0NA0006613	감염된 브라민 고기
0NA0006615	동쪽 중앙 하수도
0NA0006620	블랙 마운틴 수사 일지
0NA0006621	제식 소총
0NA0006628	속옷
0NA0006631	볼트 34 - 1층
0NA0006633	[약물] 울트라 제트
0NA0006634	울트라제트 중독
0NA0006638	버티버드 총
0NA0006639	중독됨
0NA0006643	와일드 카드 : 무슨 군대?
0NA0006659	망가진 책
0NA0006660	그을린 책
0NA0006661	손상된 책
0NA0006662	타버린 책
0NA0006663	망가진 책
0NA0006664	그을린 책
0NA0006665	손상된 책
0NA0006666	타버린 책
0NA0006667	남 베가스 폐허
0NA0006668	캠프 맥캐런
0NA0006669	북부 베가스 광장
0NA0006673	책 II
0NA0006674	럭키 38 주 시스템
0NA0006675	예스맨
0NA0006678	베로니카의 후드
0NA0006679	용접모
0NA0006680	책 IV
0NA0006685	책 VIII
0NA0006697	크림슨 캐러밴 경비
0NA0006703	카사도르 독
0NA0006704	모든 탄약
0NA0006705	모든 방어구와 옷가지
0NA0006706	모든 책과 기록
0NA0006707	모든 잡동사니
0NA0006708	모든 식품과 약
0NA0006709	잭의 러브스토리
0NA0006710	넬리스 태양광 전지판
0NA0006712	고모라 매춘부
0NA0006713	자넷
0NA0006714	자율 신경계
0NA0006715	선셋 사르사파릴라 병
0NA0006719	재취업
0NA0006721	볼트 상태 단말기
0NA0006722	편파적인 CB 라디오 방송
0NA0006723	바쁨
0NA0006724	미스터 커들스
0NA0006730	래테인 카우보이 모자
0NA0006731	오래된 카우보이 모자
0NA0006732	넬리스 군수품 포탄
0NA0006733	볼트 문
0NA0006738	PA 시스템
0NA0006740	레인저 긴급 통신
0NA0006742	엔클레이브 보관소 상자
0NA0006746	개수대
0NA0006747	우리 문
0NA0006752	뉴 캘리포니아 공화국 테하티컵 광산
0NA0006755	신병 스탠튼
0NA0006756	기관단총
0NA0006757	유탄 발사기
0NA0006759	로보피스트
0NA0006763	라디오 신호 오스카 탱고
0NA0006767	생존 무기 아이디어
0NA0006768	베넌
0NA0006769	Re: 배넌
0NA0006770	오프닝
0NA0006771	경비 일지
0NA0006774	온실
0NA0006776	로이 고틀립의 단말기 암호
0NA0006779	시큐리트론 제어 콘솔
0NA0006782	용병의 명령서 - 세부내용
0NA0006795	재생
0NA0006796	[책] 엎드리고 숨어라!
0NA0006797	최면총 파워 셀
0NA0006799	빅터의 오두막
0NA0006804	군의관의 노트
0NA0006805	또 다른 불길
0NA0006806	필드 기록: "거대파리"
0NA0006807	필드 기록: "거대 미국 바퀴벌레"
0NA0006808	필드 기록: "거대 개미"
0NA0006809	필드 기록: "마이얼럭"
0NA0006810	필드 기록: "머리 둘 달린 브라민"
0NA0006811	엔클레이브 야전 보고서 단말기
0NA0006813	고슴도치 선인장
0NA0006814	백년초 선인장
0NA0006815	네바다 용설란
0NA0006816	어린 빅호너
0NA0006845	이사벨라 프라우드의 단말기
0NA0006846	길리스 대위
0NA0006847	마클랜드 중위
0NA0006848	오스카 벨라스코
0NA0006849	난민
0NA0006863	캠프 가디언 라디오
0NA0006867	펄스 패키지를 감정
0NA0006888	개미 진액
0NA0006889	치명타 기회 증가
0NA0006890	(★) 망자의 은혜
0NA0006891	[식재료] 허니 메스키트 열매
0NA0006892	[약물] 코요테 씹는 담배
0NA0006893	[식재료] 바나나 유카 열매
0NA0006894	"핵가족!"
0NA0006895	"준비하시고, 쏘세요!"
0NA0006896	"로켓 발사!"
0NA0006897	"빠꼼이"
0NA0006898	"불타는 뚱뚱보 프레드"
0NA0006899	"완두콩"
0NA0006900	"조심해!"
0NA0006901	"아이봇 안의 나'"
0NA0006902	"핸디 안의 손"
0NA0006903	"바퀴가 달렸네!"
0NA0006904	"풍요로운 우리의 태양계"
0NA0006908	아르키메데스 II 충전
0NA0006912	죽음의 광선포
0NA0006913	"아이봇 안의 나'"
0NA0006920	"풍요로운 우리의 태양계"
0NA0006923	수량 제어실
0NA0006934	그린하우스 문
0NA0006935	초능력 방어구
0NA0006938	컴퓨터실 문
0NA0006939	볼트 상태 기록
0NA0006943	포탑 관리 단말기
0NA0006955	연방주의자의 라운지 음료 상자
0NA0006956	신도시 옷집 보관함
0NA0006957	서기 입슨
0NA0006961	통신소 단말기
0NA0006962	통신소 암호
0NA0006964	라울의 작업복
0NA0006965	라울의 모자
0NA0006969	모하비 익스프레스 우편함
0NA0006970	포니 익스프레스 수신함
0NA0006975	급수탑 밸브
0NA0006976	부운의 방
0NA0006977	매니 바르가스의 방
0NA0006979	빈 히드라 주사기
0NA0006981	입구
0NA0006988	볼트 77 점프슈트
0NA0006989	속이 빈 바위
0NA0006990	요청한 물건
0NA0006996	[회복약] 의료 가방
0NA0006997	모든 신체부위 회복
0NA0006998	일지 페이지 12
0NA0006999	일지 페이지 18
0NA0007000	일지 페이지 13
0NA0007001	일지 페이지 20
0NA0007002	일지 페이지 7
0NA0007003	넬리스 열차 터널 열쇠
0NA0007004	일지 페이지 3
0NA0007005	캠프 경비병의 일지
0NA0007009	서치라이트 경찰서 열쇠
0NA0007010	서치라이트 소방서 열쇠
0NA0007014	메드-X 중독
0NA0007019	고모라 라운지 음악
0NA0007020	울트라 럭스 라디오
0NA0007021	모하비 음악 라디오
0NA0007054	미루나무 만
0NA0007071	부머 야구모자
0NA0007072	부머 모자
0NA0007073	부머 헬멧
0NA0007075	스튜 냄비
0NA0007076	개밥그릇
0NA0007080	피닉스의 아우렐리우스
0NA0007081	십인대장 세베루스
0NA0007082	캐니언 러너
0NA0007083	길잡이 루쿨루스
0NA0007086	위대한 칸 보급굴
0NA0007089	당신은 특별해요!
0NA0007090	바크 전갈 독
0NA0007091	사악한 난쟁이
0NA0007097	마비
0NA0007100	스탠리와 앤디는 친구야!
0NA0007105	필립 그레인저 대사의 최후 보고
0NA0007106	수잔나 에디뜨 대사의 최후 보고
0NA0007109	농장일 보고서
0NA0007112	핵융합 발전기
0NA0007121	위성 통신 기지 NW-07c 좌표
0NA0007122	위성 통신 기지 NN-03d 좌표
0NA0007150	현상 수배: 준더스 플렁켓
0NA0007153	볼트-텍의 편지
0NA0007161	이웃에서의 편지
0NA0007174	(★) 경찰 모자
0NA0007175	(★) 디펜더 갑옷
0NA0007176	특공대 갑옷
0NA0007177	황무지인의 옷
0NA0007178	(★) 탐험가의 옷
0NA0007179	(★) 행운의 선글라스
0NA0007182	정치가 콘시어지의 금고
0NA0007187	중독 치료
0NA0007188	[약물] 픽서
0NA0007190	임시적인 중독증세 제거
0NA0007196	너덜너덜한 전투 갑옷
0NA0007197	너덜너덜한 컴뱃 헬멧
0NA0007198	(★) 엔클레이브 타격대 아머
0NA0007199	(★) 엔클레이브 타격대 헬멧
0NA0007200	노상 강도 가죽갑옷
0NA0007201	(★) 종말의 검투사 갑옷
0NA0007203	(★) 종말의 검투사 헬멧
0NA0007205	강화된 리콘 아머
0NA0007206	강화된 리콘 헬멧
0NA0007207	각 잡힌 레이더 갑옷
0NA0007208	악마의 꼬리
0NA0007209	낡은 레이더 갑옷
0NA0007210	노상강도 갑옷
0NA0007211	(★) 방화 헬멧
0NA0007212	(★) 수석 과학자의 가운
0NA0007213	멋진 용병 복장
0NA0007214	망나니 용병 복장
0NA0007215	용병 탐험가 복장
0NA0007216	황무지 전설의 복장
0NA0007218	테슬라 아머
0NA0007220	테슬라 헬멧
0NA0007221	파워-슈트 아머
0NA0007222	전쟁 전 평상복
0NA0007223	의문의 사나이의 모자
0NA0007224	(★) 잠옷
0NA0007225	전쟁 전 외출복
0NA0007226	못박힌 막대기
0NA0007233	방랑 상인의 복장
0NA0007234	석고 채석장 사무실
0NA0007235	누카-콜라 간이의자
0NA0007236	(★) 멋진 도박사 모자
0NA0007237	굽있는 도박사 모자
0NA0007240	야구공
0NA0007241	농구공
0NA0007242	야구글러브
0NA0007243	당구공
0NA0007245	2번 공
0NA0007248	5번 공
0NA0007249	8번 공
0NA0007250	10번 공
0NA0007251	13번 공
0NA0007252	당구공
0NA0007271	식사용 의자
0NA0007278	대형 침대
0NA0007291	박살난 의자
0NA0007298	더스터
0NA0007328	볼트 34 점프슈트
0NA0007329	볼트 11 점프슈트
0NA0007331	리자 오말리 개인 파일
0NA0007333	파파스 대위의 보고서
0NA0007335	NCR 헌병대 본부 창고 열쇠
0NA0007337	스트립 경비 보고서
0NA0007338	제이크 어윈의 보고서
0NA0007339	근무 일지
0NA0007343	9mm 기관단총 - 경량 볼트
0NA0007344	개미 배설물 더미
0NA0007348	자동화 관리실
0NA0007350	하얀 장갑 접대원
0NA0007351	쇼울더미사일
0NA0007375	에실
0NA0007376	미트
0NA0007378	훈련용 더미
0NA0007379	용병의 노트
0NA0007381	중앙 하수도
0NA0007382	북서쪽 하수도
0NA0007385	북쪽 하수도
0NA0007386	보울더 시티 기차역
0NA0007387	튜토리얼 - 은신
0NA0007388	은신
0NA0007390	나이트스토커 정보
0NA0007391	스텔스 보이 프로토타입
0NA0007393	생존 퍽 추가
0NA0007395	[식재료] 이상한 두더지쥐 고기
0NA0007398	헌병 모자
0NA0007400	지뢰 상자
0NA0007404	로얄의 기폭 장치
0NA0007405	힘 상승 임플란트
0NA0007431	일지 페이지 5
0NA0007432	일지 페이지 14
0NA0007433	일지 페이지 19
0NA0007434	일지 페이지 15
0NA0007435	일지 페이지 8
0NA0007442	[회복약] 힐링 파우더
0NA0007445	블랙웰 대령의 열쇠
0NA0007446	장비 수송 명령서
0NA0007447	비대증 가속기
0NA0007448	민첩성 상승 임플란트
0NA0007449	반사신경 증폭기
0NA0007450	시력 향상기
0NA0007451	인지력 상승 임플란트
0NA0007452	지구력 상승 임플란트
0NA0007453	침해 수용 조절 장치
0NA0007454	카리스마 상승 임플란트
0NA0007455	공감 합성기
0NA0007456	지능 상승 임플란트
0NA0007457	논리 동시 프로세서
0NA0007458	행운 상승 임플란트
0NA0007459	확률 계산기
0NA0007478	볼트 문 제어 장치
0NA0007479	[식재료] 네바다 용설란 과일
0NA0007480	[식재료] 고슴도치 선인장 열매
0NA0007481	[식재료] 백년초 열매
0NA0007486	식품 보관함
0NA0007493	게임내 도움말
0NA0007495	무기 겨냥
0NA0007497	팻 맨 - 리틀 보이 킷
0NA0007503	죽은 구울
0NA0007507	LD 과학자 사고
0NA0007511	전갈 협곡
0NA0007513	볼트 3 - 휴게실
0NA0007515	해방 선언문
0NA0007516	게티스버그 연설문
0NA0007517	먼로 주의
0NA0007518	U.S. 독일 전쟁 포고문
0NA0007521	미드 호 동굴
0NA0007525	군단장 라니우스
0NA0007527	[잡지] 주간 세일즈맨
0NA0007528	[잡지] 미래의 무기 투데이
0NA0007529	[잡지] 애국자의 안내서
0NA0007530	[잡지] 자물쇠상의 판독법
0NA0007531	[잡지] 오늘의 내과의
0NA0007532	[잡지] 기사도 이야기
0NA0007534	[잡지] 고쳐 봅시다
0NA0007535	[잡지] 월간 총기 리뷰
0NA0007537	[잡지] 대도둑 판토마!
0NA0007538	[잡지] 사람들 만나기
0NA0007539	[잡지] 젊은이의 삶
0NA0007540	[잡지] 복싱 타임즈
0NA0007541	[잡지] 프로그래머 다이제스트
0NA0007543	조리법 - 마이얼럭 케잌
0NA0007544	중공군
0NA0007550	보울더 시티 폐허
0NA0007552	감옥의 락커
0NA0007553	글로리아 반 그라프
0NA0007554	제임스 가렛
0NA0007555	칼렙 맥캐퍼리
0NA0007556	프랜신 가렛
0NA0007557	장-밥티스트 커팅
0NA0007558	줄리 파르카스
0NA0007559	썩은면상
0NA0007560	파묻힌 지뢰
0NA0007562	늑대뿔 목장
0NA0007564	섀도우스 산 야영지
0NA0007565	버려진 오두막
0NA0007572	먼로 중위
0NA0007578	아이크
0NA0007579	보울더 시티 인부
0NA0007582	네로
0NA0007583	빅 살
0NA0007584	카치노
0NA0007585	조아나
0NA0007586	트로익
0NA0007587	오메르타
0NA0007588	클랜든
0NA0007589	리자 오말리
0NA0007590	엔젤
0NA0007644	스테판
0NA0007645	랄프
0NA0007646	믹
0NA0007647	킹
0NA0007648	엘리자베스 키런
0NA0007649	아케이드 개넌
0NA0007651	[식재료] 슈가밤
0NA0007652	[식재료] 크램
0NA0007653	[식재료] 댄디보이 애플
0NA0007654	[식재료] 블람코 맥 앤 치즈
0NA0007655	[식재료] 즉석 짓이긴 감자
0NA0007656	[식재료] 팬시 라즈 스낵케이크
0NA0007657	[식재료] 얌얌 악마알
0NA0007658	[식재료] 돈육 콩조림
0NA0007659	[식재료] 풍선 껌
0NA0007660	[식재료] 파삭한 감자칩
0NA0007661	[식재료] 드롭스 캔디
0NA0007662	제어 목줄
0NA0007663	앨리스 맥래퍼티
0NA0007664	우사나기 박사
0NA0007666	제식 소총 - 강화 용수철
0NA0007667	제식 소총 - 강화 리시버
0NA0007668	경기관총 - 확장 탄창
0NA0007669	레이저 RCW - 재생성기
0NA0007670	플라즈마 캐스터 - 고속 전극
0NA0007671	유탄 소총 - 연장 총열
0NA0007672	유탄 기관총 - 고속 사격 킷
0NA0007673	10mm 권총 - 확장 탄창
0NA0007674	10mm 권총 - 레이저 조준기
0NA0007675	44 매그넘 리볼버 - 조준경
0NA0007676	44 매그넘 리볼버 - 강화 프레임
0NA0007677	10mm 기관단총 - 확장 탄창
0NA0007678	10mm 기관단총 - 반동 제어기
0NA0007679	화염방사기 - 확장 연료통
0NA0007680	사냥용 소총 - 조준경
0NA0007681	사냥용 소총 - 개조 노리쇠 뭉치
0NA0007682	사냥용 소총 - 확장 탄창
0NA0007683	돌격용 카빈 - 확장 탄창
0NA0007684	저격 소총 - 소음기
0NA0007685	저격 소총 - 탄소 섬유 부품
0NA0007686	미니건 - 완충 프레임
0NA0007687	미니건 - 고속 모터
0NA0007688	레이저 소총 - 조준경
0NA0007689	레이저 소총 - 광학 초점기
0NA0007690	레이저 소총 - 분광기
0NA0007691	플라즈마 소총 - 자기장 가속기
0NA0007692	개틀링 레이저 - 광학 초점기
0NA0007693	개틀링 레이저 - 탄소 섬유 부품
0NA0007694	미사일 발사기 - 미사일 유도 장치
0NA0007695	22 무소음 기관단총 - 확장 탄창
0NA0007696	추종자 의사가운
0NA0007698	아웃캐스트 로보브레인
0NA0007699	아웃캐스트 프로텍트론
0NA0007700	나무 껍질 퍽 추가
0NA0007701	흡혈 퍽 추가
0NA0007702	아이템 상태
0NA0007703	방사능 재생 퍽 추가
0NA0007704	꿈의 파괴자 퍽 추가
0NA0007706	반사신경 퍽 추가
0NA0007709	납치 의뢰
0NA0007711	실패한 FEV 실험체
0NA0007712	삼각대
0NA0007716	베테랑 용병 복장
0NA0007722	바이퍼 귀환
0NA0007723	우사나기 박사 스토어
0NA0007724	피하 이식 갑옷
0NA0007726	단핵세포 배양기
0NA0007729	NCR 통신 단말기
0NA0007730	고장난 NCR 통신 단말기
0NA0007734	고모라 본관
0NA0007738	메드-X 세트
0NA0007740	(★) 아케이드의 가운
0NA0007741	울트라 럭스 목욕탕
0NA0007744	짐 실은 브라민
0NA0007747	콘스탄틴 요새 사령관 보안카드
0NA0007748	건 러너 본부
0NA0007754	롤러
0NA0007755	웨스트사이드 시민
0NA0007757	당신은 20개의 군번줄을 모았습니다
0NA0007758	새 아이템 제조!
0NA0007759	설계도 추가됨!
0NA0007760	십자가에 매달린 희생자
0NA0007765	(★) 브라더후드 엘더 로브
0NA0007766	돕슨
0NA0007769	단말기 잠김
0NA0007770	선글라스
0NA0007771	노-박(No-Bark) 누난
0NA0007773	클리프 브리스코
0NA0007775	콘스탄틴 요새 발사 코드
0NA0007776	발사 버튼
0NA0007779	NCR 제 1 저격대대 베레모
0NA0007780	제 1 저격대대 베레모
0NA0007785	렙콘 관리자 단말기
0NA0007786	창고 금고
0NA0007788	슈퍼 스팀팩 악영향
0NA0007789	스팀팩 중독증상
0NA0007792	직원 단말기
0NA0007800	십자가에 매달린 노예
0NA0007804	앨리스 맥브라이드
0NA0007805	레인저 주둔지 찰리를 확인할 것
0NA0007807	저격수의 정의
0NA0007809	한밤중 습격당한 목장
0NA0007812	소총 탄
0NA0007815	(★) 피가로
0NA0007816	실험맨
0NA0007819	투창
0NA0007820	저격수 킬존
0NA0007824	폭스트롯 주둔지
0NA0007825	반송
0NA0007826	뉴 베가스 진료소
0NA0007827	레예스 기술중사
0NA0007828	확성기
0NA0007829	발사 음악
0NA0007831	붉은 바위 협곡
0NA0007832	깁슨 할머니의 열쇠
0NA0007833	이주민
0NA0007835	공룡 장난감
0NA0007836	소고기를 넘어서
0NA0007837	고모라 침대
0NA0007838	NCR 보병 작업복
0NA0007839	탑스 카지노 메인 플로어
0NA0007842	캠프 서치라이트
0NA0007843	클리프 브리스코의 뱅갈로
0NA0007844	방문자 센터
0NA0007845	법과의 한판
0NA0007846	메이어스
0NA0007847	에디
0NA0007848	스크램블러
0NA0007850	구역 A
0NA0007853	스텔스 보이 선적물에 대해
0NA0007855	바스라
0NA0007856	콜밀로
0NA0007857	작업장 의자
0NA0007858	피엘
0NA0007859	오다즈
0NA0007860	레이
0NA0007861	레이나
0NA0007863	베레모
0NA0007868	빅 혼 살룬
0NA0007870	[식재료] 빅호너 고기
0NA0007875	핵 재료
0NA0007877	뉴 베가스 시민
0NA0007892	마조리
0NA0007893	모티머
0NA0007894	필립
0NA0007895	천시
0NA0007896	헥 건더슨
0NA0007897	테드 건더슨
0NA0007898	울트라 럭스 카지노
0NA0007899	맥크래디의 헬멧
0NA0007901	모텔 방
0NA0007905	럭키 38 카지노
0NA0007913	추종자 의료 인턴
0NA0007914	아이작
0NA0007915	이베트
0NA0007924	소파
0NA0007930	헥터
0NA0007932	볼트 3 - 거주 구역
0NA0007945	토키오
0NA0007946	이상한 황무지
0NA0007949	범퍼 소드
0NA0007950	철근 곤봉
0NA0007951	고모라 하부 로비
0NA0007959	트레일 카빈
0NA0007960	캐러밴 산탄총
0NA0007965	구역 B
0NA0007966	NCR 교도소 관리실
0NA0007967	생존의 신
0NA0007968	생존 전문가
0NA0007969	초보 생존가
0NA0007970	별들의 궁금한 비밀
0NA0007971	[책] 과학 대백과
0NA0007973	생존 비법 원고
0NA0007978	복싱 테이프
0NA0007981	파커 대위를 따라가서 키스를 체포하자
0NA0007984	구 몰몬 요새
0NA0007985	현상금 사냥꾼의 외투
0NA0007987	손상된 미스터 핸디
0NA0007996	지니 메이 크로포드
0NA0008007	고모라 호텔방
0NA0008008	고모라 3층
0NA0008009	부보안관 비글의 집
0NA0008013	시뮬레이션 선택 하위 메뉴
0NA0008015	시뮬레이션 노트
0NA0008027	실험
0NA0008032	Re: 사격 연습
0NA0008033	L.O.B 기업 - 샘 존슨의 단말기
0NA0008034	L.O.B 기업 - 지니 맥루이스의 단말기
0NA0008036	스콜피온 갱 멤버
0NA0008038	L.O.B 기업 - 경영자의 단말기
0NA0008042	공정 설계도
0NA0008043	건 러너 단말기
0NA0008044	날 믿어도 돼
0NA0008045	V.A.T.S. -- 향상
0NA0008046	움직임 및 전투
0NA0008048	황무지 생존 가이드북
0NA0008053	군대 지령들
0NA0008054	건 러너 문 열쇠
0NA0008055	판매로봇
0NA0008058	스턴
0NA0008059	소이 수류탄
0NA0008060	기절 수류탄
0NA0008066	볼트 3 - 기계실
0NA0008067	노예
0NA0008069	투척 도끼
0NA0008076	층 선택
0NA0008077	라디오 뉴 베가스
0NA0008082	H&H 툴즈 공장
0NA0008083	북부 베가스 거주자
0NA0008089	크랜든
0NA0008090	호스테틀러 부인
0NA0008094	개미즙 중독
0NA0008097	패트릭의 작별 인사
0NA0008100	알파 주둔지
0NA0008101	브라보 주둔지
0NA0008102	찰리 주둔지
0NA0008104	델타 주둔지
0NA0008105	에코 주둔지
0NA0008106	렙콘 본사
0NA0008107	넬리스 공군 기지
0NA0008109	볼트 34
0NA0008110	헬리오스 원
0NA0008112	라스베가스 호수
0NA0008114	석고 열차 정비장
0NA0008119	보울더 시티
0NA0008120	보울더 해변 야영지
0NA0008121	캠프 폴론 호프
0NA0008122	비터 스프링스
0NA0008123	캠프 가디언
0NA0008124	더 포트
0NA0008125	실버 러시
0NA0008126	믹 앤 랄프의 상점
0NA0008129	페이서
0NA0008132	킹의 성대모사 학원
0NA0008133	볼트 22
0NA0008134	볼트 3
0NA0008135	프림
0NA0008138	볼트 19
0NA0008140	스프링 산맥 목장 주립공원 
0NA0008142	망가진 파티모자
0NA0008147	보안관의 모자
0NA0008153	지 아이 블루스
0NA0008154	탑스 귀빈실 스위트룸
0NA0008156	약 빤 시간들
0NA0008157	왕 댕 아토믹 탱고
0NA0008158	수금원
0NA0008159	화려한 도박사 슈트
0NA0008160	굽있는 도박사 슈트
0NA0008161	말쑥한 도박사 슈트
0NA0008162	초라한 도박사 슈트
0NA0008163	애스터 순찰 정지
0NA0008166	군단 명령서
0NA0008171	로널드 로렌의 집
0NA0008172	시에라 페트로비타의 집
0NA0008179	라디오 신호 양키 브라보
0NA0008180	플라즈마 효과
0NA0008182	레인저 모자
0NA0008186	탑스 카지노 13층
0NA0008192	군단 정찰병 갑옷
0NA0008193	군단 신병 갑옷
0NA0008194	군단 정예병 갑옷
0NA0008195	군단 베테랑 갑옷
0NA0008196	군단 기수 갑옷
0NA0008197	군단 근위대 갑옷
0NA0008198	군단 백인대장 갑옷
0NA0008199	탐험가의 두건
0NA0008200	백인대장 투구
0NA0008201	기수 투구
0NA0008202	신병 헬멧
0NA0008203	신병 십인대장 투구
0NA0008204	정예병 헬멧
0NA0008205	정예 십인대장 투구
0NA0008206	베테랑 투구
0NA0008207	베테랑 십인대장 투구
0NA0008210	부운의 사냥용 소총
0NA0008211	(★) 우주복
0NA0008212	NCR 레인저 순찰복
0NA0008236	고용 대기중인 경호원
0NA0008240	실루스
0NA0008241	시저의 군단 백인대장
0NA0008243	워렌 제이콥스 병장
0NA0008244	남자
0NA0008245	브라더후드 T-51b 파워 아머
0NA0008246	(★) 부서진 목걸이
0NA0008247	고글 헬멧
0NA0008248	보병 전투모
0NA0008249	NCR 안면가리개 부착 갑옷
0NA0008250	NCR 탄띠 갑옷
0NA0008252	NCR 보병 갑옷
0NA0008253	NCR 덮개 부착 갑옷
0NA0008254	부랑자
0NA0008268	[식재료] 이상한 고기
0NA0008273	생존전문가
0NA0008275	레인저 모랄레스
0NA0008282	[재료] 사마귀 넓적다리
0NA0008285	포자 식물
0NA0008299	첫 조사팀 보고서
0NA0008345	소작인
0NA0008351	탑스 라디오
0NA0008356	렙콘 사보타주 단말기 노트
0NA0008357	네비게이션 컴퓨터
0NA0008358	미쳐버린 미스터 핸디
0NA0008362	노예 시체
0NA0008368	생일 케이크
0NA0008375	포격
0NA0008378	티라노 딩키 기념품
0NA0008379	로켓 기념품
0NA0008384	보울더 시티의 결전
0NA0008388	네비게이션 콘솔
0NA0008390	에이다 스트라우스 박사
0NA0008391	브라민의 비명
0NA0008392	야간 저격수
0NA0008394	아이봇 헬멧
0NA0008396	맥스
0NA0008397	스테이시
0NA0008398	(★) 유클리드의 좌표 추적기
0NA0008401	파워 아머 컴퓨터
0NA0008404	말쑥한 도박꾼 모자
0NA0008405	스타일 좋은 도박사 모자
0NA0008406	화려한 도박사 모자
0NA0008409	트레일 카빈 - 조준경
0NA0008410	트레일 카빈 - 합판 개머리판
0NA0008411	트레일 카빈 - 개조 노리쇠 뭉치
0NA0008413	브러시 건 - 강화 리시버
0NA0008415	애커맨 이병
0NA0008417	AP 회복
0NA0008418	[약물] 리바운드
0NA0008419	산성 침
0NA0008420	엔클레이브 상자
0NA0008421	고기 찜 요리법
0NA0008450	위대한 칸 무기 담당관
0NA0008452	크림슨 캐러밴 상회
0NA0008454	레이저 인계선 방사기
0NA0008455	유모차
0NA0008457	카우보이 리피터 - 개조 노리쇠 뭉치
0NA0008458	카우보이 리피터 - 연장 총열
0NA0008459	카우보이 리피터 - 단풍나무 몸체
0NA0008460	엔클레이브 센트리봇
0NA0008461	9mm 권총 - 조준경
0NA0008463	9mm 권총 - 확장 탄창
0NA0008464	마이클 안젤로의 작업실
0NA0008466	긴급한 문제
0NA0008467	병뚜껑 압착기
0NA0008469	미스터 홀드아웃
0NA0008471	안정제 약물
0NA0008474	사격시 반동 감소
0NA0008475	[약물] 안정제
0NA0008476	깁슨의 종이 조각
0NA0008477	카지노 경비
0NA0008478	맥브라이드 클랜
0NA0008484	12 게이지 탄
0NA0008486	50 MG 탄
0NA0008489	(★) 우주복 헬멧
0NA0008490	폭동 진압용 산탄총
0NA0008491	사냥용 산탄총
0NA0008492	레버 액션 산탄총
0NA0008493	버민트 소총 - 소음기
0NA0008494	버민트 소총 - 확장 탄창
0NA0008495	357 매그넘 리볼버 - HD 실린더
0NA0008496	357 매그넘 리볼버 - 연장 총열
0NA0008497	버민트 소총 - 야간 조준경
0NA0008502	엘 레이 모텔
0NA0008503	미스터 래디칼의 일지
0NA0008516	퀸사이즈 침대
0NA0008520	카터
0NA0008521	기억력
0NA0008523	시험용 버티버드
0NA0008527	썩은 브라민 시체
0NA0008528	앨리슨 발렌타인
0NA0008531	절단된 팔
0NA0008535	럭키 38 제어실
0NA0008536	럭키 38 22층 방
0NA0008537	대상의 옷
0NA0008538	황무지 외출복
0NA0008539	거주민 옷
0NA0008540	탐광자 옷
0NA0008541	레인저 주둔지 라디오 보안 코드
0NA0008543	레인저 잭슨
0NA0008544	레인저 모랄레스의 시신을 회수하시오
0NA0008545	레인저 모랄레스의 시신
0NA0008570	레인저 앤디
0NA0008571	할랜드의 열쇠
0NA0008573	탈론 컴퍼니 경비견
0NA0008576	방사능 토사물
0NA0008592	불쾌한 두더지쥐
0NA0008595	꽥
0NA0008596	음파 에너지
0NA0008604	파이어 겍코 브레쓰
0NA0008621	도스
0NA0008624	에어로테크 300실
0NA0008638	브라이스 앤더슨
0NA0008639	모터-러너
0NA0008640	308 탄
0NA0008641	22 LR 소총탄
0NA0008642	357 권총탄
0NA0008643	22 LR 권총탄
0NA0008644	9mm 탄
0NA0008645	357 소총탄
0NA0008646	12.7mm 권총
0NA0008647	사냥용 리볼버
0NA0008648	44 매그넘 리볼버
0NA0008649	357 매그넘 리볼버
0NA0008650	9mm 기관단총
0NA0008651	22 무소음 기관단총
0NA0008652	카우보이 리피터
0NA0008653	대물 저격총
0NA0008654	돌격용 카빈
