0NO0000001	이름 : 페이서 
0NO0000417	남성, 나이: 34세
0NO0000418	이 환자는 경찰이 데려왔다. 이번에 온 것만 9번째라서 우리 시설 내부에 그를 위한 추가 병실을 따로 만들어야 할 지경이다.
0NO0000419	남성, 나이: 27세
0NO0000420	이 환자는 경찰이 데려온 환자다. 환자는 어떤 목소리가 환자를 계속 비웃는다고 주장한다. 환자는 한 때 이 목소리가 그의 할아버지 라디오에서 나온다고 생각했었지만 지금은 자신의 내부에서 나온다고 믿고 있으며 이를 해결하기 위한 도움을 필요로 하고 있다.
0NO0000421	소방서장 보고서 No. F1-218
0NO0000422	[CRLF]아침에 지역 경찰들이 산 오노프레에서 서치라이트로 핵 폐기물을 운반 중이던 트럭 몇 대를 이리로 끌고 왔다. 자세한 설명은 듣지 못했지만, 무슨 폭탄이 근처에서 터지는 바람에 안전을 위해 이쪽으로 끌고 온 거라고 했다. 그중 두 대는 여기 소방서에 두고, 세 번째 트럭은 소방서에 둘 곳이 없어서 다른 곳으로 보내야 했다. 희한하게도 미루나무 만으로 가더군. 거기서 그걸 가지고 뭘 할 계획인지 모르겠다.
0NO0000423	내가 모르는 새 우리 중 최고의 실력을 가진 형제들이 동시에 정찰 임무로 파견됐다. 엘더께 여쭤봤지만, 그저 중요한 임무라고만 말씀하셨다. 안전 총괄 책임자인 나한테조차 말하지 못할 만큼 중요한 일이란 말인가? 뭔가가 있다...
0NO0000424	모두들 불안해하고 있다. 이번 주에만 3번의 싸움이 일어났다. 봉쇄 상태가 계속 이어지다간, 곧...
0NO0000425	[CRLF]잠깐, 낯선 자가 외부 출입구로 다가오고 있다. 환영 인사를 하러 나가야 할지도 모르겠군.
0NO0000427	[CRLF]잠깐, 베로니카가 외부인을 데리고 외부 출입구에 왔다. 아직 돌아올 시간이 아니지만, 언제는 그녀가 계획대로 움직였던가...
0NO0000429	[CRLF]잠깐, 정찰대로 나갔던 형제들 중 한 명이 돌아온 것 같다. 그런데 한 명 뿐이다. 뭔가 문제가 생긴 게 틀림없다.
0NO0000430	놀랍군! 내가 연구한 바에 따르면 이 포세이돈 에너지라는 회사는 우리 파워 아머나 무기들의 수준을 까마득히 뛰어넘는 연구를 했다. 어쩌면 엔클레이브가 쓰는 장비들도 그들의 발명품일지 모르겠다. 그렇다면 어째서 황무지 곳곳에서는 숨겨진 군용 수준의 장비를 찾을 수 있는데, 이 회사에서는 하나도 찾을 수가 없는 걸까?
0NO0000431	방금 끔찍한 사실을 알아냈다. 내 예측이 맞다면 우린 반드시... 아니, 성급한 판단은 금물이다. 어떻게 해야 할지는 엘더가 알고 있겠지. 그래야 한다.
0NO0000432	힘든 하루였다. 결국 죽어버린 사람들이 치료해서 살려낸 사람보다 배 이상 많은 것 같다. 겨우 가동 될까 말까한 그 고물 태양열 발전소 때문에 얼추 우리 인원의 반 이상은 잃어버린 것 같다. 엘더 엘라이자가 여기 남아있었다면 그를 치료해주지 않았을 것이다. 그래도 싼 인간이니까. 
0NO0000433	[CRLF]첨언: 세상에, 이걸 쓴 게 어제 같은데 그새 오랜 시간이 지났다. 이 글을 쓴 뒤 몇 년 동안을 지하에 처박혀서 살게 될 줄 누가 알았을까?
0NO0000434	이번 주는 별다른 일이 없었다. 가벼운 호흡기 질환 환자만 조금 있었을 뿐이다. 그러고 보니 저번 주에도 호흡기 질환으로 온 사람이 많았었는데. 로렌조에게 이야기해봐야겠다. 뭔가 고장이 난 게 아닐까.
0NO0000435	망할 태거트! 또 신참 서기들 실험 일정표나 짜게 만들었어! 저 호색한 덜렁이랑 이 지하에 갇혀있는 것만 해도 최악인데, 하필이면 저놈이 내 상사라니.
0NO0000436	[CRLF]하딘 말이 맞을지도 모르겠어. "정말로" 변화가 필요한 시기인 것 같다.
0NO0000437	엘더는 필요한 부품들이 있을만한 장소들의 목록을 달라고 했다. 그런데 불행히도 헬리오스에 모든 신경을 집중하라던 엘라이자의 지시 때문에 주변 지역의 정보가 부족하다. 입슨과 나는 데이터 저장소에서 쓸만한 정보를 캐봤지만, 대부분 군사나 산업 시설의 위치에 대한 정보였다. 만약 다른 벙커들의 위치를 알 수 있다면, 하다못해 그 낡은 롭코 볼트들의 위치라도 알 수 있다면 얼마나 좋을까!
0NO0000438	히든 밸리 프로젝트의 목적은 위기 상황이 닥쳤을 때 고위급 중요 인사들이 지휘를 할 수 있도록 자급자족 가능한 대피 시설을 준비하기 위함이다. 벙커는 지면으로부터 수백 피트 아래에 위치하게 된다. 강화 소재로 된 내벽은 내부의 거주자들을 모든 형태의 공격으로부터 보호할 수 있게 설계되어있다. 다만, 핵무기 급 이상의 대 벙커 무기는 예외인데, 이런 무기는 아직 미국의 잠재적 적국들이 개발하지 못한 것으로 보인다. 만약 적들이 이와 같은 대 벙커 무기를 손에 넣을 경우엔, 벙커의 DERVISH 위장 시스템이 작동되어 자동화된 조준 시스템을 무효화 시킨다. 즉 벙커를 찾으려면 순전히 감이나 운에만 의존하게 되는 것이다.
0NO0000439	히든 밸리 벙커는 다음 두 가지 주요 시스템들로 보호된다.
0NO0000440	[CRLF]먼저 CANDLE 핵융합전원공급시스템이 모든 벙커에 전원을 공급한다. 비록 현재 새로 나온 기기들에는 못 미치지만, 안정성과 지속성에 중점을 두고 설계된 이 전원 시스템은 벙커에 약 752년 동안 전원을 공급할 수 있다.
0NO0000441	[CRLF]또 하나, DERVISH 위장 시스템은 시각적, 전자기적 교란을 일으켜 공중 폭격기나 장거리 무기가 벙커를 조준하는 것을 방해한다. 알루미늄과 규산염의 혼합물이 첨가된 벙커 주변의 토양은 산업용 팬을 통해 광범위하게 확산되어 벙커 주변 지역을 뒤덮어 전파방해구역으로 만든다. 뿐만 아니라 인근의 블랙 마운틴 통신소의 전자대항장치의 효과도 받기에, 히든 밸리의 벙커는 조준이 거의 불가능한 것이나 마찬가지이다.
0NO0000442	여기 남은 물건들을 모아봤는데, 첫인상은 "별 거 없다"는 것이었다. 장비 상태가 말이 아니라서, 최소한의 전력을 생산해내려 해도 광범위한 수리가 필요하다. 한동안 일에 엄청 시달릴 것 같다, 제군들.
0NO0000443	존슨, 한 나무 상자에서 뭐로 만들어진 것인지도 모를 슈트를 몇 개 발견했다. 혹시 이게 뭔지 알겠나? 전쟁 전 기술 같은데. 여기 공돌이 샌님들은 다들 헛똑똑이들이라, 슈트를 보여주니 다들 머리만 긁적이더군.
0NO0000444	내가 전에 슈트에 대해 얘기했던 거 기억하나? 사라졌어. 웬 병신새끼가 우리 저장 시스템을 완전히 재편해버리는 바람에 어디 있는지도 모르겠군. 끝내주네. 언젠간 찾을 수 있겠지 뭐.
0NO0000445	여전히 실종된 정찰대로부터 아무 소식이 없다. 그들이 파견 나갈 때만 해도 엘더께서 곧 봉쇄 조치를 해제하시려나 보다고 기대했었지만, 지금은 뭐...
0NO0000446	이 설계도로 군번줄 피스트를 만들 수 있다.
0NO0000448	[CRLF]모든 게 다 뒤집어졌다. 상관들은 모두 죽고 오직 나와 병사 몇 명만이 남았을 뿐이다. 나는 그 이후로 엄격한 정찰 스케줄을 따르고 있고, 그 이후로 아무도 서치라이트에 못 들어가게 순찰을 돌고 있다. 아무것도 모르는 여행자들에게 마을 안으로 못 들어 가게 막는 건 보람 있는 일인 것 같다. 누군가 저 지옥 같은 곳으로 들어가게 된다면 내 자신을 용서할 수 없을 것 같으니까. 나는 지금까지 내 위치에서 오랫동안 벗어나지 않도록 힘을 비축해왔다. 내가 힘이 빠지기 전까지 얼마나 버틸 수 있을까?
0NO0000449	이 제조법으로 터보를 만들 수 있다.
0NO0000450	난 이곳 병사들의 사기를 고무시키기 위해 대회를 개최하고 있어. 네가 죽이는 모든 군단 병사들의 귀를 떼어 내게 가져와. 그러면 내가 식당에다가 그 수를 기록할 거야. 명심해, 한 명당 귀 하나씩만이야!
0NO0000451	[CRLF]-제임스 섹스턴
0NO0000461	노력이 좀 필요하긴 했지만, 친구들이 힘을 합쳐 진료소에 소동을 벌여준 덕에 의사의 방 안에 숨어 들어가 조사를 할 수 있었다. 방 안에는 말 한 마리를 즉사시킬 만큼의 억제제와 안정제가 있었다. 의사는 이걸 써서 우리가 모든 걸 잊게 만들고, 역겹게도 우릴 장기말처럼 조종하고 있던 거다. 틀림없어. 
0NO0000462	오늘 의사와 대면했지만, 그녀는 우리에게 어떤 정보도 주지 않았으며 우릴 내쫓아 버렸다. 문자 그대로 밖으로 던져진 친구도 있었다. 오버시어에게 이야기 해보려 했지만 그는 아무것도 모르는 체했다. 그는 믿을 수 없다. 그는 신뢰할 수 없다. 이제 아무도 믿지 않을 것이다.
0NO0000463	오늘 파란 구역 녀석들이 진료소에서 문제를 일으켰다. 분명 마약을 훔치려다 걸린 걸 거다. 밤늦게 환풍기가 켜지는 소리를 들었는데, 다른 친구들도 들었다고 한다. 틀림없이 놈들이 마약을 써서 우리를 중독시키려는 거다. 진료소에서 약물을 훔쳐 우리를 죽이려는 거지.
0NO0000464	아니, 나는 진실을 알고 있다. 진료소에서의 소동은 속임수다. 의사도 놈들과 한통속이라 놈들에게 약을 넘긴 것이다. 그녀는 절대로 진료소를 떠나지 않는데, 분명 환풍기를 통해 독이 뿜어져 나오고 있기 때문일 거다. 유일한 안전 지대가 진료소인 거겠지.
0NO0000465	다른 오버시어는 뭔가 수상한 점이 있다. 뭔가 일을 꾸미고 있는 것 같다. 혹시 나와는 다른 명령을 받은 건가? 전부 그저 내 과대 망상일지도 모르겠다. 실험이 나한테도 영향을 미치기 시작한 걸까. 그 소음들은 분명 완벽히 논리적으로 설명할 수 있을 것이다. 그동안 그와 말을 안 한지 오래 됐으니 간만에 메세지를 써 보내야겠다. 오늘은 어렵고, 한숨 푹 자고 나서 내일 정신이 맑아지면 메세지를 쓰는 게 좋겠다.
0NO0000466	또, 내가 잠든 지 두 시간도 채 되지 않아 그 소리를 또 들었다. 무언가 무거운 게 밀리는 듯한 기계음. 말로 설명하기가 힘든데, 엘리베이터 소리랑 비슷한가? 볼트의 설계도를 본 적 있는데, 저기 엘리베이터가 있을 리가 없다. 이게 어찌 된 영문일까? 한번 2층을 돌아다녀 봐야겠다. 시간이 늦었으니 아무도 내가 돌아다니는 걸 눈치채지 못 할 것이다. 그리고 누가 알아챈다 해도 실험에 도움이 될 테니 상관 없겠지.
0NO0000467	어젯밤 빨간 구역 오버시어가 우리 구역으로 넘어온 걸 봤는데, 뭐라고 자꾸 중얼대면서 무언가를 찾고 있는 것 같았다.
0NO0000468	-데이터가 손상되었습니다-
0NO0000469	... 의료 기록을 조작했다. 반드시 비폭력적이면서 비화학적인 방법으로 편집증을 발생시켜야 이 실험이 성공적이라 할 수 있다.
0NO0000471	... 원자로를 효율적으로 가동하기 위한 기술자팀이 지정됐다. 해당 층에는 필요한 인력이 충분히 배치되었으며 자급자족이 가능하다. 원자로 층과 볼트를 연결하는 유일한 통로는 이 방 책상 아래에 숨겨진 엘리베이터 뿐이다. 현재 암호는 '히아신스'고, 나중에 바꾸게 되면...
0NO0000473	...아래 층에서 진행 중인 연구에 대해서는 보고 받은 바가 없다.
0NO0000474	목소리, 환기구에서 목소리가 들린다. 음모를 꾸미는 것 같기도, 증오에 가득찬 것 같기도 하다. 파란 구역 놈들은 우리 근처엔 앉으려 하지 않는다. 마치 우리가 무슨 전염병이라도 걸린 것처럼. 어쩌면 그럴지도 모른다. 이 볼트 전체가 병들어 있으니까.
0NO0000475	다른 이들은 내게 걱정하지 말라고 하지만, 때때로 무언가가 느껴진다. 분명 우리 가운데에 무언가 있다. 항상 내 방 위에서는 기이한 소음이 나고 있다.
0NO0000476	최근에 잠을 잘 수가 없다. 파란 구역 쪽 사람 하나가 항상 보안 출입문 근처를 알짱대고 있는데, 내 생각에는 들어올 기회를 엿보고 있는 것 같다.
0NO0000477	놈들이 내 머릿속에 있는 것만 같다. 어떨 땐 내 것이 아닌 다른 사람의 생각이 들리기도 한다. 저 빨간 구역 놈들이 인터콤을 어떻게 조작해서, 우리 뇌 속에다가 방송을 하고 있는 게 아닌가 싶다.
0NO0000478	지난 몇 달 간 게시판을 읽어왔는데, 아무래도 우리 중에 스파이가 있는 것 같다. 빨간 구역 놈들 중 하나가 우리 파란 구역 주민인 것처럼 위장하고 있는 게 틀림 없다. 게시판을 통해 밀통하고 있는데 내가 그걸 봤으면 하는 거지.
0NO0000479	빨간 구역 복도에 있는 문 너머에서 불빛이 깜빡이는 걸 봤다. 아무래도 모스부호 같은데, 내 생각엔 S.O.S 신호 같다.
0NO0000480	안녕하십니까, 거주민 여러분.
0NO0000481	정수 필터 중 하나에 문제가 생겼다는 소식을 알려드리게 되어 유감입니다. 기술자들이 이 문제를 해결하기 위해 노력하고 있습니다만, 필터가 수리 되기 전까지는 부디 물 사용을 제한해 주시고 건강에 이상이 왔을 경우 즉시 진료소를 찾아주시기 바랍니다.
0NO0000482	인터콤에서 이상한 소리들이 들리는데 아빠는 아무것도 안 들린대. 그런데 나한테는 들린다구. 엄청 날카로운 소리인데다, 가끔은 뭐라 하는지는 모르겠지만 목소리도 들려. 엄마는 그냥 내가 상상력이 지나쳐서 그렇다면서 사람들이 이상하게 볼 테니 이야기하지 말라고 했어. 그런데 다른 애들한테 얘기해 봤더니 걔들도 나처럼 소리를 듣는다는 거야.
0NO0000483	여기저기 물어봤는데, 역시 필터가 그냥 고장날 이유가 없었다. 분명히 누군가 손을 댄 건데, 빨간 구역 놈들이 그랬다는 소문이 돈다. 놀랄 일도 아니지. 식당에서 놈들 옆을 지나갈 때마다 목소리를 낮추던데, 다음에 무슨 짓을 할지 모의를 하는 걸 거야.
0NO0000484	며칠 전 잠이 오지 않아 책을 읽고 있었다. 그런데 새벽 한 시 반쯤 내 침대 위에 있는 환기구에서 평소보다 많은 공기가 뿜어져 나왔다. 약 5분 동안 지속되었는데, 당시에는 별 거 아니라고 생각했지만 어젯밤에도 똑같은 일이 일어났다. 똑같이 새벽 한 시 반쯤에 환기구가 켜지더니 5분쯤 가동됐다가 다시 꺼졌다.
0NO0000485	요즘 머리가 너무 아프다. 누군가 우리를 중독시키고 있는 게 아닌가 싶다. 이번 주 내내 밤에 잠들지 못했는데, 매일 밤 약 5분 간 환기구에서 평소보다 많은 공기가 뿜어져 나왔다. 이웃들에게 이야기해봤는데 그들도 똑같은 일을 경험했다고 했다. 우리는 이 사실을 시설 담당자에게 보고했는데, 그는 시스템이 완전히 정상적으로 가동 중이며 아무것도 걱정할 것 없다고 했다. 그는 믿을 수 없다. 어쩌면 그도 한통속일지 모른다.
0NO0000486	그 의사는 믿을 수 없다. 그녀는 경호원들을 데리고 있는데, 무슨 놈의 의사가 경호원을 데리고 있단 말인가? 경호원들이 그녀에게 음식을 가져다 주는 걸 봤다. 그녀는 진료소를 아예 떠나질 않는 것 같다. 밤에는 문 밖에서 지키는 사람이 꼭 한 명씩 남아있다. 그녀가 숨기는 게 뭘까.
0NO0000487	친구 녀석 하나와 의사의 컴퓨터를 해킹하려 시도해 봤지만, 아직까진 소득이 없다.
0NO0000488	좀 설득이 필요했지만, 친구가 의사의 컴퓨터에서 뭘 찾아냈는지 볼 수 있었다. 친구의 말대로 내가 좋아할 만한 내용은 아니었다. 환자 기록은 마치 정신병원 기록 같았고, 환자들의 이름은 모두 숫자로 되어 있었는데, 그 중 몇몇은 여기 사람들과 일치하는 것 같았다. 하지만 그게 우리일리는 없어! 나는 미치지 않았다고. 최소한 내 기억엔 그래. 하지만 사실이겠지. 그러면 의사나 경호원들의 행동이 설명이 되니까. 그런데 내가 왜 기억을 못하는 거지? 분명히 의사의 짓일 거다. 우리한테 약물을 쓰고 있는 거야. 아무래도 진료소에 들어가 봐야겠다.
0NO0000489	어쩌면, 나는 미쳤을지도 몰라. 어쩌면 이 모든 게 사실이 아닐지 모르지. 어쩌면 전쟁도 안 일어났고, 또 어쩌면 이게 다 내 환상일지도 몰라.
0NO0000491	히든 밸리의 나이트 토레스는 잃어버린 레이저 권총을 찾아주길 바라고 있다. 먼저 사격 연습장의 책임 팔라딘에게 누가 그걸 사용했는지 물어봐야겠다.
0NO0000492	이걸 보는 녀석들에게 (너 말이야!),
0NO0000493	[CRLF]저번 습격 때 꽤 좋은 물건들을 좀 가져왔지. 하지만 저번처럼 사고가 일어나는 건 바라지 않아. 유일한 논리적인 결론은 이방에 모든 걸 숨겨 놓는 거야. 이걸 읽고 있다면, 네가 찾는 물건은 사용하도록 허락해주지.
0NO0000494	[CRLF]내가 숨겨둔 물건:
0NO0000495	[CRLF]미사일 발사기 1자루
0NO0000496	미사일 3개
0NO0000497	C4 4개
0NO0000498	세열 수류탄 5개
0NO0000499	슈퍼 스팀팩 1개
0NO0000500	다양한 총알들
0NO0000501	[CRLF]너희들의 자비롭고 위대한 대장,[CRLF]
0NO0000503	수도 황무지에서 합법적인 현상금을 벌고자 하는 모든 레귤레이터에 고함:
0NO0000504	이하의 죄인을 잡은 사람에게는 상금 1000 캡, 혹은 그에 상당하는 장비품 및 의료품이 주어진다. 이 죄인은 황무지의 선량한 시민의 생활을 위협하고 있다.
0NO0000505	이름: [%]
0NO0000506	인종: [%]
0NO0000507	성별: [%]
0NO0000508	타겟은 무장하고 있고 매우 위험하다.
0NO0000509	생포할 필요는 없다. 증거(머리)만 제시하면 현상금을 지불하겠다.
0NO0000510	이 악마를 지옥으로 보내 주자.
0NO0000511	요즘 순찰하는 녀석들이 별로 없어. 그 말은 전리품이 얼마 되지 않는다는 거지. 다들 슬슬 움직여야 한다고 생각하고 있어. 북쪽 길을 따라 스트립 방향으로 가는 거야. 너도 갈래? 이제 갱단은 아니지만, 계속 붙어있는 게 좋을 거야.
0NO0000512	분대 번호 CG554-2는 화기와 근접 전투에 있어서 현저하게 높아진 성적을 보였습니다. 화기 명중률은 전의 성적보다 35%나 향상되었으며, 분대원들은 같은 목표를 향해 협력하는 모습을 보였습니다.
0NO0000513	[CRLF]최종 평가: 뛰어남.
0NO0000514	분대 번호 CG554-2는 기본적인 화기 사용법과 더불어 명중률에서 지속적으로 낮은 성적을 보였습니다. 분대 협동심은 최저이며 심지어 분대원끼리 싸우기까지 합니다. 협동심과 기본 전투 훈련이 권장됩니다.
0NO0000515	[CRLF]최종 평가: 형편없음.
0NO0000516	분대 번호 CG554-2는 폭발물 사용에 있어서 높은 숙련도를 보여주었고, 해당 무기에 대해 적절한 전술적 사용을 보여주었습니다. 본 평가에 따라, 실전 전투가 권장됩니다.
0NO0000518	분대 번호 CG554-2는 기본적인 폭발물 장비에 대해 형편없는 실력을 보여주었습니다. 솔직히 말해 그들의 사지 하나가 안 떨어져 나간 게 기적이라고 해야 할 겁니다. 훈련용 수류탄을 사용한 높은 강도의 훈련이 요구됩니다.
0NO0000520	접근 금지됨 - 이 시스템에서 레인저 파견대 보고서는 확인할 수 없습니다.
0NO0000521	폴라틀리 대위님,
0NO0000522	[CRLF]사람 구하겠다며 메스 든다고 아무나 의사 되는 거 아닙니다.
0NO0000524	[CRLF]리처즈
0NO0000525	이것을 조사해 주었으면 한다.
0NO0000526	[CRLF]1) 몇몇 사상자에 의하면 주둔지 알파는 후버 댐 근처에 있는 많은 사상자와 부상자를 받아들이고 있다고 한다. 그곳엔 아직 새로 원군도 와있지 않다고 한다. 레인저 레베카 병장과 이야기해서 정확한 사상자 수를 파악하길 바란다. 후버 댐에서 뭔가 커다란 일이 일어날 것 같다. 우리 중 몇몇은 걱정하고 있다. 혹시 NCR 베테랑 레인저를 부르게 될지도 모른다.
0NO0000527	[CRLF]2) 레인저 주둔지 브라보는 최근 4개월 간 추가적인 물자를 요구해 오지 않는다. 무선으로 연락할 수 있는 레인저는 "이상 없음"이라고 보고해 오고 있지만, 당신이 직접 지휘관인 레인저 에릭센과 얘기해주었으면 한다. 그리고 그들이 어떻게 물자없이 버티는지 조사해주길 바란다. 
0NO0000528	[CRLF]3) 주둔지 찰리는 심각한 부상자 보고가 조금밖에 없는데 수많은 의료 물자를 보급받았다. 그걸 조사해주었으면 한다. 그 밖에도 다른 곳으로 배송해도 될 정도로 보급품이 남아있는지 조사해주길 바란다. 최근엔 무선 연락이 두절이기 때문이다.
0NO0000529	[CRLF]4) 주둔지 델타에 있는 NCR 병사의 보고에 의하면, 군단 문양을 한 옷을 입은 슈퍼 뮤턴트 떼에게 공격받았다고 한다. 이 보고는 NCR 사령부에 큰 걱정을 끼치고 있다. 당신은 레인저 페이슨 병장을 만나 그 보고가 사실인지 확인하고 잠복해있는 슈퍼 뮤턴트의 수를 조사해오길 바란다.
0NO0000530	[CRLF]5) 주둔지 에코는 보고된 적의 수보다 5배가 많은 병력이 있지만 적을 요격하는데 성공한 확률은 10%밖에 되지 않는다. 하지만 무선을 받는 통신 요원들은 전부다 "이상 없음"으로 밖에 대답하지 않는다. 그렇지만 뭔가 수상하기 때문에 그곳에 있는 레인저 이라스무스와 대화를 하길 바라고, 일손 부족으로 인한 추가 증원에 필요한 인원이 얼마나 되는지 조사 바란다.
0NO0000531	[CRLF]6) 주둔지 폭스트롯은 NCR 정찰 병사가 위대한 칸의 훈련된 데스클로에 의해 학살당했다는 보고가 들어왔다. 레인저 쿠들로우 병장이 보고해 왔지만 그녀로부터 사건의 상세한 전말을 들을 수 없었다. 그녀와 이야기해 그것이 사실인지 밝혀줬으면 한다.
0NO0000535	[CRLF]3) 델타 주둔지의 NCR 병사의 무전에 따르면, 최후의 한 사람까지 잔악하게 살해되었다고 한다. 이 보고서에선 시저의 군단 옷을 입은 슈퍼뮤턴트 일당에 대해 보고하고 있다. 이는 NCR 사령부를 동요하게 하고 있다. 레인저 페이슨 병장을 만나 보고를 확인하고 잠복해 있는 슈퍼 뮤턴트의 수를 조사해줬으면 한다.
0NO0000536	[CRLF]4) 에코 주둔지는 보고된 적의 수보다 5배나 많은 병력이 있지만, 그들을 처리하기 위해 병력을 급파하여 추적하는데 불과 10%밖에 성공하지 못했다. 무전을 받은 구울은 모든 것이 괜찮다고 하지만, 많은 수는 아니라 생각한다. 날 위해서 레인저 이라스무스와 대화해 달라. 아마 그들은 인원 부족으로 증원이 필요할 것이다.
0NO0000537	[CRLF]5) 폭스트롯 주둔지의 NCR 정찰병이 위대한 칸의 훈련된 데스클로에 의해 학살되었다는 보고가 올라왔다. 레인저 쿠들로우 병장이 이 사건을 보고했지만, 더 많은 상세한 상황을 들을 수 없었다 - 그녀와 이야기하여 이 보고의 진상을 확인해줬으면 한다.
0NO0000538	캠프 서치라이트 병참 장교 일지
0NO0000539	[CRLF]기록 #1836
0NO0000540	[CRLF]요즘 보급이 원래 오는 것보다 적게 들어온다. 통신 장교에게 문제가 있느냐고 물었지만 다 괜찮다는 대답이 돌아왔다. 보급 본부에 연락했지만 모든 물자는 다 보내졌다고 한다. 누군가 나한테 거짓말을 하고 있거나 중간에 빼돌리는 거다. 좀 더 알아봐야겠다.
0NO0000542	[CRLF]기록 #2257
0NO0000543	[CRLF]비번 날 캠프에 물자를 옮기는데 사용되는 교역 노선을 조사해 보았다. 길에서 여행자를 만나 캠프 서치라이트로 향하는 NCR 물자를 보았는지 물어보았다. 그는 닙튼 외곽에서 NCR 상자 몇 개가 이동하는 것은 보았지만 어디로 가는 건지는 모르겠다고 대답했다. 또한 그는 물자를 운반하던 자들이 NCR 병사 같지는 않았다고 말해주었다. 다음에 시간 날 때 닙튼에 가서 물자에 대해 아는 사람이 있나 알아봐야겠다.
0NO0000547	캐스는 위스키 내기에 필요한 위스키 12병을 가져다 달라고 했다. 술을 가져가면 캐스는 나와 술 내기를 할 것이다.
0NO0000548	부머의 선임 위병 하사관 라켈은 미사일을 갖다 주면 기뻐할 것이다.
0NO0000549	넬리스의 잭은 금속 부품을 필요로 한다. 금전적 보수는 받을 수 없겠지만, 든든한 화력을 가진 사람들의 신뢰를 얻는 것은 바람직한 일이다.
0NO0000550	커들스가 또 왔다. 웬 가스통을 가져와서 자기 차를 고치는 데 도움이 되겠냐고 물었다. 난 가스가 문제가 아니라고 말했지만 그 자식은 화나서 날 밖으로 끌고 나갔다. 상황이 더 나빠지기 전에 타비사가 직접 커들스를 죽여버렸다.
0NO0000551	[CRLF]최소한 그놈의 망할 차 얘기는 더 안 듣게 돼서 다행이군. 
0NO0000552	오늘 타비사가 와선 내 안전에 대해 걱정된다고 했다. 내가 고친 단말기를 써서 내 문에 비밀번호가 달린 잠금 장치를 걸으라고 주장했다. 내가 그걸 왜 고쳐 놨지.
0NO0000553	[CRLF]비밀번호는 123456789다. 하지만 아무도 이걸 읽지 않겠지. 
0NO0000554	이미 해야할 쓸데없는 일들이 잔뜩 쌓여 있는데, 타비사는 내가 고치는 모든 걸 죄다 여기 기록하길 원한다. 그래서 여기 첫번째 기록을 남긴다. 여기 멀쩡한 건물들 안에 있던 낡은 단말기를 몇 개 고쳤다. 타비사가 뭘 하는데 쓰려고 그러는지 궁금한데.
0NO0000555	듣자 하니, 뮤턴트들이 오늘 지나가던 캐러밴을 턴 것 같다. 걔네 소총 하나가 걸렸는데, 고치는 데 7분 정도 걸렸다. 또 바깥 통신 탑을 이것 저것 손 좀 봐 놨다. 스위치를 내려버려서 이 저주 받은 망할 놈의 방송국을 닥치게 만들고픈 유혹이 든다. 그러면 타비사가 날 죽여버릴 테지만, 그래도 그때 그녀의 당황한 표정을 볼 수만 있다면 그만할 가치가 있을 것 같다.
0NO0000556	내가 커들스라고 부르는, 얼굴에 큰 흉터가 있는 녀석이 오늘 와선 자기 차를 고쳐 달라고 했다. 난 내 힘으론 무리라고 했지만, 아무래도 그 녀석은 내 대답을 듣고는 날 죽이려고 들었던 것 같다.
0NO0000557	오늘 탈출을 시도했다가 잡혔다. 타비사는 부하 녀석을 시켜 날 거의 죽기 직전까지 팼다. 이제 일을 하지 않을 때는 옆 방에 갇혀있어야 한다.
0NO0000558	[CRLF]아, 오늘 토스터도 고쳤지. 
0NO0000559	모든 설비 담당 기술진은 읽어주십시오:
0NO0000560	[CRLF]댐의 발전기에 설치된 원격 진단 프로토콜에 문제가 있었습니다. 알려진 바에 의하면 원격 진단을 시행했을 경우 높은 확률로 발전기에 과부하가 걸리게 되어 있었습니다. 이에 따라 원격 진단 프로그램은 비활성화 될 예정입니다.
0NO0000561	지난 달에 모은 군번줄을 이용해서 임시 무기를 만들었다. 언젠가 NCR은 끊이지 않는 그릇된 일처리와 바보 같은 허세의 대가를 치르게 될 거다.
0NO0000562	슬론의 두더지쥐 킁킁이는 다리를 다친 것 같다. 부상의 정도로 볼 때, 채석장 인부들의 의료 지식으로는 치료가 힘들 것 같다.
0NO0000563	[CRLF]<종이의 뒷면에는 군번줄 피스트의 설계도가 그려져 있다.>
0NO0000564	받는 이: *@%!@#--!
0NO0000565	보내는 이: @#%@!%
0NO0000566	[CRLF]아이슬리의 컴퓨터 암호를 알아냈다. Q-35의 개발 노트와 함께 암호를 보내줄게. Q-35 초기 모델은 국방부로 전달되기 전에 이곳을 거쳐가게 될 거야. 넌 도중에 그걸 가로채기만 하면 돼.
0NO0000568	안녕하십니까? 볼트 거주민 여러분. 매년 행정감찰관은 선거를 운영할 뿐만 아니라 기록하기도 합니다. 전 오버시어가 임기를 마치고 자신을 희생하여 향후 볼트가 안정을 유지할 수 있기를, 그리하여 어느 날 인류의 탐광자 혹은 미지의 생명이 우리의 기록을 발견하여 역사에 포함시켜주기를 희망하면서요.
