0NO0000001	First Name: Pacer
0NO0000486	I don't trust that doctor; she has bodyguards, what kind of doctor has bodyguards? I've seen the guards bringing her meals; I don't think she ever leaves her office. There's always one posted outside at night too. I wonder what she's hiding.
0NO0000487	I've been working with a friend, he's been trying to hack into the doc's computer, and so far, we haven't had much luck.
0NO0000488	It took some convincing, but I finally got him to show me what he found on the doc's computer. He was right, I wouldn't like it. The patient files looked like those from an asylum, the patient names were all in code, but some of them seemed to fit the people around us. But they can't be us! I don't remember being insane, I think I would remember something like that. But, it must be true; it explains the doctor's behavior and the bodyguards, I don't know why I can't remember. It must be that doctor, maybe she's drugging us. I need to get into that office.
0NO0000489	Maybe, I am insane, maybe this isn't happening, maybe the war never happened, and maybe I'm just trapped in my head.
0NO0000491	Knight Torres in Hidden Valley wants me to find a laser pistol that's gone missing. The first thing to do is speak with the paladin in charge of the firing range to see if he remembers who was using it.
0NO0000492	To Whom It May Concern (You!),
0NO0000493	We got some pretty good stuff from the last raid, and unlike last time, I don't want any incidents. The only logical conclusion was to hide everything throughout this room. If you can read this, you have my permission to use any items you can find.
0NO0000494	Stuff I hid:
0NO0000495	1 Missile Launcher
0NO0000496	3 Missiles
0NO0000497	3 Bricks of C4
0NO0000498	5 Frag Grenades
0NO0000499	1 Super Stimpak
0NO0000500	Various Ammo
0NO0000501	Your Benevolent Supreme Overlord,
0NO0000503	Notice to all Regulators seeking Lawful Bounties in the Capital Wastes:
0NO0000504	Let it be known that the following individual is offered for bounty in the sum of 1,000 caps or similar compensation of expended equipment and/or medical expense, for crimes against the good people of the Capital Wasteland and environs:
0NO0000505	Name: [%]
0NO0000506	Race: [%]
0NO0000507	Sex: [%]
0NO0000508	Target is considered armed and extremely dangerous.
0NO0000509	Capture is NOT recommended -- Bounty will be paid upon proof of death (head).
0NO0000510	Let's put this devil in the ground and be done with it.
0NO0000511	Not many patrols out here lately, which means not much loot.  Our crew is thinking we should make a move soon.  Follow the tracks up north; head towards the Strip. You in?  Ain't on the chain gang anymore, but we still gotta stick together.
0NO0000512	Squad CG554-2 demonstrates a markedly increased proficiency in basic small-arms skill and CQB acumen. Squad accuracy is up 35% from previous examinations, and squad members work together as a cohesive unit to achieve goals.
0NO0000513	Final Analysis: Excellent
0NO0000514	Squad CG554-2 demonstrates consistently poor marksmanship and lacks basic firearms skills. Team coordination is minimal at best, and individual rivalries crop up frequently. Recommend further basic training and team-building exercises.
0NO0000515	Final Analysis: Poor
0NO0000516	Squad CG554-2 has shown good proficiency with explosive weapons, and has readily demonstrated the proper tactical uses of said weaponry. Based on this evaluation, full field certification is recommended.
0NO0000518	Squad CG554-2 has demonstrated an appalling lack of skill with regards to the basic explosive armaments of the NCR Army. It is, to speak frankly, a miracle they retain all of their limbs. Extensive retraining with dummy rounds is highly recommended.
0NO0000520	ACCESS DENIED - Ranger Detachment reports not available from this system.
0NO0000521	Major Polatli,
0NO0000522	Good intentions and a knife does not a doctor make.
0NO0000524	Richards
0NO0000525	Here's what I need you to research.
0NO0000526	1) Several casualty reports have come in saying that Alpha Station sustained heavy casualties and injuries in the vicinity of Hoover Dam - yet no new reinforcements have been sent in weeks. Speak with Senior Ranger Rebecca Lineholm, get an accurate casualty count and asses the situation, as several of us have been worried that something horrible is stalking the Hoover Dam area if it can claim NCR's elite Rangers.
0NO0000527	2) Ranger Station Bravo hasn't requested a resupply in four months. While the Rangers I can reach on the radio say things are 'just fine' I need you to speak to Ranger Ericsen, the commanding officer, and find out how they've been running on no supplies for so long.
0NO0000528	3) Charlie station received a substantial shipment of medical supplies despite having only a few serious injury reports. Check up on them and see if they have a surplus that could be redistributed to needed locations - I'm having a hard time getting anyone on the radio lately.
0NO0000529	4) Delta station radioed in a report of an NCR Trooper cadre being murdered to the last man in a horrifying display of brutality. The report mentioned a squad of Super mutants wearing Caesar's colors. This report has unsettled NCR command I need you to speak to Senior Ranger Pason to confirm the report and get an accurate count of Super mutants spotted.
0NO0000530	5) Echo Station has had a five-fold spike in reported enemy contacts, but NCR crews dispatched to follow up have a mere 10% success rate in intercepting these hostiles. The ghouls I've reached by the radio insist everything is 'just fine' but the numbers disagree - so speak Senior Ranger Erasmus for me please. Perhaps they're short-handed and need more spotters.
0NO0000531	6) Foxtrot station called in a report of an NCR Trooper patrol slaughtered by a Great Khan hunting team with trained Deathclaws. Senior Ranger Kudlow called in the report but I can't seem to contact her for a more detailed account of the incident - please to speak to her and confirm/deny this rather disturbing report.
0NO0000535	3) Delta station radioed in a report of an NCR Trooper cadre being murdered to the last man in a horrifying display of brutality. The report mentioned a squad of Super mutants wearing Caesar's colors. This report has unsettled NCR command I need you to speak to Senior Ranger Pason to confirm the report and get an accurate count of Super mutants spotted.
0NO0000536	4) Echo Station has had a five-fold spike in reported enemy contacts, but NCR crews dispatched to follow up have a mere 10% success rate in intercepting these hostiles. The ghouls I've reached by the radio insist everything is 'just fine' but the numbers disagree - so speak Senior Ranger Erasmus for me please. Perhaps they're short-handed and need more spotters.
0NO0000537	5) Foxtrot station called in a report of an NCR Trooper patrol slaughtered by a Great Khan hunting team with trained Deathclaws. Senior Ranger Kudlow called in the report but I can't seem to contact her for a more detailed account of the incident - please to speak to her and confirm/deny this rather disturbing report.
0NO0000538	Camp Searchlight Quartermaster's Log
0NO0000539	Entry #1836
0NO0000540	Supplies being shipped to the camp recently are lower than usual. I asked the Comm Officer if there were any problems with communications and he insisted that everything was fine. I contacted our supply base and was simply told that all inventory requests were being filled and that every item on my request list had been shipped to the camp. Either I'm being lied to or someone is intercepting my shipments. I'll have to look into this matter further.
0NO0000542	Entry #2257
0NO0000543	During my off duty hours I decided to investigate the trade route being used to bring the supplies to the camp. I met a traveler on the road and asked him if he had seen any NCR supplies bound for Camp Searchlight. He told me he had seen some NCR crates being moved somewhere outside of Nipton but didn't know where they were being taken. He also mentioned that the men with the supplies didn't look like NCR soldiers. Next time I have enough time off I'll have to make my way to Nipton to see if anyone there knows where the supplies are.
0NO0000547	Cass wants you to supply a dozen bottles of whiskey for her Whiskey Challenge, after which she'll try to drink you under the table.
0NO0000548	Raquel, the Master at Arms for the Boomers, would be grateful if I brought her some missiles.
0NO0000549	Jack at Nellis is looking for scrap metal. He can't pay me, but earning the trust of people with that much artillery seems like a decent idea.
0NO0000550	Cuddles came in about his car again. He even brought a container of gas and asked if that would help. I tried to tell him that gas was not the problem, but he got really angry and dragged me outside. Tabitha killed him herself before things got too ugly.
0NO0000551	At least I don't have to hear about his damn car anymore.
0NO0000552	Tabitha came in today and said she's concerned about my safety. She's insisted that I change the lock on my door to require a password, using one of the other computers I fixed. I'm really starting to regret ever fixing those.
0NO0000553	The password is 123456789. Like anyone who cares will ever read this.
0NO0000554	As if I don't have enough pointless things to do here, Tabitha wants me to start keeping a log of all the repairs I do. So here's my first log entry. I fixed up several old terminals that were left over in the intact buildings here. I wonder what she's planning to use them for.
0NO0000555	Apparently, the mutants raided a caravan today. One of their rifles jammed. Took about seven minutes to fix. I also performed minor maintenance on the broadcasting tower outside. It's tempting to think that I could have just pulled a switch there and taken this accursed station off the air. No doubt she would have killed me soon afterward, but it might have been worth it just to see the look on her face.
0NO0000556	The mutant with the scar across his face, whom I've taken to calling Cuddles, stopped in today and asked me to fix his car. I told him that's outside my expertise and seriously thought he was going to kill me.
0NO0000557	Tried to escape today. Tabitha had one of her men beat me senseless when they caught me. Now they lock me up in the next room whenever I'm not working on something.
0NO0000558	Oh, and I fixed a toaster.
0NO0000559	Attention all structural engineers:
0NO0000560	There was a problem with the remote diagnostic protocols set up for the generators on the dam. It turns out that activating the remote diagnostics has a good chance to cause the generators to overload. Because of this the diagnostic program is going to be disabled.
0NO0000561	I've found it possible to create a sort of makeshift weapon using all of the dog tags I've been collecting over the past month. One of these days the NCR is going to pay for their continual mismanagement and idiotic bravado.
0NO0000562	The molerat Snuffles at Sloan appears to have injured his leg. Judging from the condition of the injury, it doesn't appear that any of the quarry workers have the appropriate medical skills to do anything about it.
0NO0000563	<On the backside of the page is a schematic drawing of the dog tag fist weapon.>
0NO0000564	To: *@%!@#--!
0NO0000565	From: @#%@!%
0NO0000566	I've managed to get the password to Isley's computer. I'll forward it to you with the release notes to the Q-35. The prototype is going to be stopping here on its way to the Department of Defense. You should be able to intercept it on the road.
0NO0000568	Good afternoon. Each year it is the appointed task of the ombudsman not only to officiate the election, but to chronicle it in hopes that after the last overseer has finished his term and walked to his death in the chamber beneath his office, and the vault has become still, that one day some excavator from humanity or perhaps some yet-unknown race of super beings might find our records and incorporate them into historical canon.
0NO0000569	But lately it's occurred to me that that's not really why. I think the real reason we do it is because we want to believe that somewhere in the archives there's an answer to all of this, or perhaps there will be one when the historical records are completed and the whole story is told. We want it to make sense. To understand why the vault's mainframe will kill us if we do not offer one of our own as a yearly sacrifice. To fully comprehend why we continue to have these elections despite the unfettered corruption that has plagued it for what must be decades by now. There was a simpler time when elections meant shaking hands and kissing babies. But now with the rise of the voting blocs and this infestation of bribery, drug trafficking, smuggling, and God knows what else, we want to know why.
0NO0000570	Well I've been through the archives, and I can tell you you won't find the answer there. You'll find an account of the first overseer, who entered the vault as the only citizen aware of the sacrifices that would have to take place. But he didn't have the answers either. If he did, surely he would've foreseen the citizens' anger when he broke the news. Surely he would've guessed that they would want to choose a sacrifice democratically, in the way that we citizens are accustomed to washing our hands of terrible deeds, and that his name would be at the top of the polls, and that the simultaneous vacancy of overseer and martyr would forever fuse the two positions here in Vault 11. But he didn't. He had the answers no more than any of us, and the records state that after the citizens discovered that the sacrificial chamber's password was his wife Betty's first name, and its door was unsealed so he could be offered as the first sacrifice, he walked down into that room crying like a child.
0NO0000571	I can only wonder if there are no answers to be found, and we are just going along with this because we don't see another choice. Nevertheless, I still hold onto hope that we can find one. I urge you all to take the journey I took - to remember that it wasn't so long ago that we were ruled by our civility and our dignity, and that those were times when we didn't have to be quite so ashamed. Thank you.
0NO0000572	According to the text of a speech that was given or scheduled to be given in the Vault 11 Atrium on overseer election day, the terminal password is "Betty."
0NO0000573	Effective immediately, the traditional selection process for overseer is hereby ended. In lieu of a yearly election, a citizen will be chosen one month prior to the start of his or her term with our mainframe's random number generator, ensuring complete impartiality and fairness.
0NO0000574	Katherine Stone
0NO0000576	Excerpt from the deposition of the defendant Katherine Stone by Vault Attorney Gerard Miles
0NO0000577	Q. Okay, let's pick up where we left off, Kate.
0NO0000578	A. Katherine.
0NO0000579	Q. Sorry, right. Katherine. I keep forgetting.
0NO0000580	A. My husband calls me Kate.
0NO0000581	Q. You were telling us of a discussion you allegedly had with Roy Gottlieb of the Justice Bloc.
0NO0000582	A. Not allegedly. Had. We've been through this.
0NO0000583	Q. It's still just your word against his, Ms. Stone. But please, the discussion.
0NO0000584	A. [Sighs] He said my husband's name had come up in their meetings.
0NO0000585	Q. The candidate endorsement meetings?
0NO0000586	A. Yes. They were going to endorse him.  He wouldn't say why, but I know my husband had a regular poker game with some of them, and he'd been on a winning streak lately.
0NO0000587	Q. And according to you, what did Mr. Gottlieb offer?
0NO0000588	A. He said he could sway his bloc. Prevent the endorsement. But only if I...
0NO0000589	Q. Only if you what, Katherine?
0NO0000590	A. Only if I...
0NO0000591	Q. Only if you performed sexual favors.
0NO0000592	A. Yes.
0NO0000593	Q. Was this just for Mr. Gottlieb?
0NO0000594	A. No. All the bloc leadership. Their friends.
0NO0000595	Q. And you agreed.
0NO0000596	A. What else could I do? They had a majority.
0NO0000597	Q. How long did this go on before the endorsements came out?
0NO0000598	A. I don't know. A month, maybe.
0NO0000599	Q. And when they came out, and your husband was endorsed despite your supposed agreement, was that when you decided to kill members of the bloc?
0NO0000600	A. Yes. I thought, their majority is pretty slim. If I thinned things out a little, especially in the leadership, someone else might get elected.
0NO0000601	Q. Assuming you weren't caught.
0NO0000602	A. No, Mr. Miles. I expected to be caught. That was my best chance. Now they'll elect me.
0NO0000603	Q. A confessed murderer? You think voters would be willing to risk putting you in charge?
0NO0000604	A. They have to pick somebody and live with their reasons.
0NO0000605	Q. Yes, but-
0NO0000606	A. Wait and see.
0NO0000607	Fellow Citizens,
0NO0000608	Due to the tragic events of the past few days, the Coalition of Vault 11 Voting Blocs has unanimously decided to postpone the election for overseer pending further investigation into the murders. Your security team wishes you to know that they are working tirelessly day and night to find the perpetrator, and are already following up on a number of promising leads. God willing, if the killer is apprehended swiftly, we may have found a promising new candidate for overseer.
0NO0000610	Terry Hart
0NO0000611	President, Human Dignity Bloc
0NO0000612	Dear Fellow Vault Dweller:
0NO0000613	Congratulations! Your dedication to the democratic process is the bedrock upon which the continued stability of Vault 11 is based. Now, to help you make your decision for this year's election, the Coalition of Vault 11 Voting Blocs has put together this handy Dweller's Official Guide to Obtaining Overseers Democratically, or D.O. G.O.O.D., that contains a summary of the leading candidates for Overseer as well as their statements, key positions, and most importantly, endorsements.
0NO0000616	Chairman, Coalition of Vault 11 Voting Blocs
0NO0000617	President, Justice Bloc
0NO0000618	Candidate: Henry Glover
0NO0000619	Endorsements: Utilitarian Bloc, Divine Will Bloc, Allied Service Workers Bloc
0NO0000620	I'm a devoted husband and father of six beautiful children. My oldest, Sam, was on the honor roll this quarter, and I couldn't be prouder of him. My youngest, Henry Jr., just said his first word, and it was "Da-da." We've got this bond already and he's still just a baby. Friends, when you go to the polls this election, I want you to think of your own children. Then I want you to think of Sam and Henry Jr. Picture their faces. Nate Stone should be overseer, not me.
0NO0000621	Candidate: Donna Haley
0NO0000622	Endorsements: Human Dignity Bloc, United Vault Technicians Bloc
0NO0000623	I'm aware of the rumors circulating about me. I want everyone to know that they are vicious lies being spread by the other candidates in a desperate smear campaign. I have never in my life done anything so depraved, let alone four such things. But even if I had, that still wouldn't mean you should vote for me. Consider the fact that I am grossly underqualified for the position, and that both of my opponents are far more deserving. I know nothing about governance. You would be hard pressed to find a worse candidate than me. I can promise you my administration would be a disaster.
0NO0000624	Candidate: Nathan Stone
0NO0000625	Endorsements: Justice Bloc
0NO0000626	This is ridiculous. I shouldn't even be a candidate. And I wouldn't be if it weren't for all the dirty backroom politics going on around here. It's sickening. You should all be ashamed.
0NO0000627	Reactor Terminal.
0NO0000628	Power from El Dorado has been directed to the Lucky 38 Reactor.
0NO0000629	The radio at the Prospector Saloon in Goodsprings was broken by a visiting Great Khan. Trudy has offered to pay you if you can fix it.
0NO0000630	Project: Quantum Plasma Modulation Matter Injection Rifle
0NO0000631	Version: 32
0NO0000632	Status: Failure
0NO0000633	Notes:  While v.32 didn't have the power yield of the v.31 or v.30, we managed to increase the stabilization threshold by approximately 27.35%. This is promising, however we still have yet to come up with a solution for the matter inversion issues.
0NO0000634	Version: 33
0NO0000636	Notes: Lab destroyed. Data Lost.
0NO0000637	Version: 34
0NO0000639	Notes: Interesting. I'm not sure where we got this data from, it is a completely different direction from what we've been working on. We managed to cycle the matter inversion using a polarized quantum spin. I think that we solved the issue with the Compensation field, I have high hopes for the next weapon.
0NO0000640	Version: 35
0NO0000641	Status: Success
0NO0000642	Notes: That data we received from Xuan did the trick. We managed to get a stable build model. I don't think this weapon is ready for mass production yet, but it should show that we have a working prototype. We should be able to get these issues resolved in a later build.
0NO0000643	As you requested, here are the improvements when compared to a standard plasma rifle.
0NO0000644	* Prototype materials not suitable for extended field use.
0NO0000645	* On average the Q-35 has a higher refire rate, but the time between shots is more consistent.
0NO0000646	* Increase in active bolt charge time, accurate at longer ranges.
0NO0000647	* Plasma charge has a 30% increase in energy.
0NO0000648	REPCONN Inter-office Correspondence #3457762
0NO0000649	To: All REPCONN Corporate Employees
0NO0000650	From: Carl Rook, Vice President
0NO0000651	Hello Everyone,
0NO0000652	My name is Carl Rook, as I'm sure you can tell. I'm your new Vice President. Until recently I was at RobCo, working in their security division, but now that your family and my family are one big family, we thought it would be nice if they sent an older sibling over. Now I'm going to do as much as I can not to interfere with your daily operations here, my principal concern is going to be security.
0NO0000653	I hear that you all have been adapting well to some new security procedures. Well we've got some new kids to join your little family here. You'll see some friendly androids patrolling around the main building. As long as everyone remembers to wear their badges at all times and make sure they are properly registered with security, these friendly androids will stay out of your way. So as long as you all keep on as you have been, everything will be just fine.
0NO0000654	Thanks for your time,
0NO0000655	Carl
0NO0000656	PS: Please remember that third floor access is for executives only. If you need assistance from me or Piers, feel free to give us a buzz on the phone and we'll send you down the daily password. Thanks!
0NO0000657	REPCONN Inter-office Correspondence #3457593
0NO0000658	To: All REPCONN Employees
0NO0000659	From: Piers Isley, General Manager
0NO0000660	Hello again everyone,
0NO0000661	Those of you in the main building may be curious about the men doing all the work in your offices and hallways. They are installing some enhanced security measures. These measures are in place for your safety as well as the safety and privacy of your REPCONN family. Along with the hardware and software security changes, each of you will also receive a personnel packet with a identification badge. It is very important that you wear your badge at all times. Again this is for everyone's protection.
0NO0000662	Oh and everyone feel free to take a long weekend as soon as you have received your personnel packet.
0NO0000663	Have a great holiday!
0NO0000664	Piers
0NO0000665	REPCONN Inter-office Correspondence #3262173
0NO0000666	To: Julia Masters, CFO
0NO0000667	From: Leonard Steeple, Vice President
0NO0000668	Julia,
0NO0000669	I am sure you have heard by now about RobCo's intentions to buy out our company. In the past you and I have been of like mind when it comes to the moral and financial future of this company. When Poseidon showed interest those years ago, you helped me rally the board in order to keep REPCONN autonomous. I'd like your help again with RobCo.
0NO0000670	Piers claims that RobCo is buying shares in the company to force a hostile take-over if we won't sell willingly. I don't believe that they will be able to pull together enough shares without some approval of the board. I think that you and I will be able to sway enough votes to keep the company safe. I hope you will stand with me for this.
0NO0000671	Leonard
0NO0000672	REPCONN Inter-office Correspondence #3262178
0NO0000673	To: Leonard Stteple, Vice President
0NO0000674	From: Julia Masters, CFO
0NO0000675	I'd stand with you Leo. Give me a few days to try and gather some support from my allies on the board. I've run the numbers, and I'm pretty sure you are right. We can fight this.
0NO0000677	REPCONN Inter-office Correspondence #3262719
0NO0000678	To: Piers Isley, General Manager
0NO0000680	You were right. Leo sent me a message last night. I've made the call to the board. I think with the numbers we are looking at pocketing from the RobCo deal we will have no trouble getting the board to vote no confidence on him.
0NO0000682	REPCONN Inter-office Correspondence #3458631
0NO0000683	To: Carl Rook, Vice President
0NO0000684	From: Sara Wang, Information Systems
0NO0000685	Mr. Rook,
0NO0000686	For the last couple weeks I have seen a higher than usual rate of encrypted messages leaving the facility here. These messages use an unusual encryption protocol that I haven't seen before, I'm fairly certain that it isn't a DoD approved method. I fear that these messages may be a sign of someone sending insider information.
0NO0000687	Sara Wang
0NO0000688	REPCONN Inter-office Correspondence #3458642
0NO0000689	To: Sara Wang, Information Systems
0NO0000691	Mrs. Wang,
0NO0000692	Please continue your investigation into the messages, and keep me appraised on any progress you make. In the meantime please keep this information private. I will make sure the appropriate parties are informed.
0NO0000693	And please, call me Carl.
0NO0000695	REPCONN Inter-office Correspondence #3458648
0NO0000698	Carl,
0NO0000699	I've made some progress decrypting the packets. From what I can tell someone is sending progress messages to a secure offsite server somewhere. Were I to venture a guess, I would say that the messages are going to Poseidon, but I don't have enough proof to make a serious claim.
0NO0000700	Sara
0NO0000701	REPCONN Inter-office Correspondence #3262725
0NO0000702	To: All REPCONN Staff
0NO0000704	I am sad to inform you that, after many years of loyal service, Leonard Steeple has stepped down from his position at REPCONN. We wish him the best of luck in all of his future endeavors.
0NO0000705	For the time being, Julia Masters will be overseeing Leonard's departments. Department heads will be meeting with her later today.
0NO0000706	Thank you all for your time.
0NO0000708	Piers Isley, General Manager REPCONN
0NO0000709	To: Piers.Isley_REPCONN
0NO0000710	From: Carl Rook
0NO0000711	Hello Piers,
0NO0000712	Now that things have been set in motion, I am going to be your liaison and point of contact with RobCo. I'll be handling anything that arises during your transition to the RobCo family. My first priority is going to be tightening up your security. As you well know, RobCo handles many classified projects. Because of this, REPCONN will need a large increase to security. I'll be sending over some engineers and security personnel to discreetly install some enhanced security procedures. Most of it will be pretty innocuous, however all employees will be required to wear their security badges at all times.
0NO0000713	Please have your people start wearing their badges well in advance of our partnership becoming official. I think it will make the transition easier. None of the security measures will be activated until I arrive on site. Hopefully by then everyone will be comfortable with the new rules.
0NO0000715	Carl Rook
0NO0000716	REPCONN Inter-office Correspondence #3457477
0NO0000717	To: Steve Reynolds, Launch Facility Project Manager
0NO0000719	Steve,
0NO0000720	Can you send an e-mail out to your engineers reminding them about our security policies? I'll be sending a message next week about some increase security procedures.
0NO0000721	Thanks,
0NO0000723	REPCONN Inter-office Correspondence #3457785
0NO0000724	To: IT Services
0NO0000726	Hello,
0NO0000727	I will need someone to come over, as soon as possible, and clear the old Vice President's data off of this terminal, as well as reformat it with my personal information.
0NO0000728	Thank you,
0NO0000730	REPCONN Inter-office Correspondence #3262091
0NO0000731	To: Leonard Steeple, Vice President
0NO0000733	Leo,
0NO0000734	It is good to have you back in the office, I hope Lisa is feeling better as well. That was a nasty bug going around, hopefully the kids didn't catch it. Either way it is good to have you back in the office.
0NO0000735	While you were out of the office I met with some executives at RobCo. They are very interested in the potential that our organization has been showing, and are making an excellent offer to buy out. I'll have one of my assistants run over with the draft they gave me. Take a look at it and let me know what you think.
0NO0000737	REPCONN Inter-office Correspondence #3262099
0NO0000740	I have no interest in selling my portion of the company to RobCo. We went over this with Poseidon. These companies deal in defense contracts. That isn't what we are about, and isn't something that I'm willing to support.
0NO0000741	I'm sending back the package. I'm sure you have a fairly solid idea where I think that you can put it.
0NO0000742	Yours Truly,
0NO0000743	Leonard Steeple
0NO0000744	REPCONN Inter-office Correspondence #3262105
0NO0000748	I've heard more from my contacts over at RobCo, and it sounds like they've already started buying up some of our public shares. With just a little bit of support from our stockholders and board members, it is not inconceivable that this amicable relationship could turn very hostile.
0NO0000749	It is in everyone's best interest if we take this deal while it is still sweet. I don't think that it will stay this way for long.
0NO0000752	We've been picking up a lot of activity from China's satellite network. The tension is pretty high around here. Frank's been talking about securing a place in one of those vaults for himself and his family, and when he didn't show up to work yesterday, I think we all knew where he went.
0NO0000753	Oh my god. It's actually happening. We have readings across the board of launches happening everywhere. They must've thrown everything they had, and it looks like we didn't hold back either. The computer says we have 2 minutes until the first missile drops.
0NO0000754	I can bsrely type. The mountian shielded us from the wost or the blasd but thr's too mucsd radiattttttttttttttttttttttttttttttt
0NO0000755	Note written by Marcus
0NO0000756	Wow, I can't believe these old machines still work. This place looks pretty defensible, and the radiation should keep the majority of people away. Looks like we've found a home, at least for now. First things first, though. We've got to get these corpses out of here. Poor bastards.
0NO0000758	Great news! A ghoul entered our camp today who has experience fixing machines! He seems to really like it here, so I hope he can stay long enough to fix Rhonda.
0NO0000759	Weird, Rhonda just asked me why she would need fixing. She has a point. What was I thinking?
0NO0000760	The leader of this community, Marcus, said I should start keeping a journal to get my mind off of Rhonda. He also said I might find something interesting inside this stupid old building. What could possibly be interesting here? The only think that works in here is this junky old terminal.
0NO0000761	It's amazing! This place is a radio station! If we can get it repaired, we can broadcast music across the wastes, just like Rhonda and I used to listen to. Ah Rhonda, how I wish you hadn't gone away. I asked all of the mutants here for help, but none of them could do anything for you. Which makes me doubt they can fix this place...
0NO0000762	The radio station is fixed, and we've begun sending our message out into the desert. Marcus thinks I spend too much time in here, but what does a first gen know? Rhonda says they're just one step up from dumb dumbs, and I agree.
0NO0000763	There was a fight in the yard today between some of us and the first gens. Marcus made a speech about how we need to work together, but why should we? We were the master's favorites! We don't need their help. Rhonda says we'd be better off without them.
0NO0000764	Marcus and the others left today. Finally, we have the whole place to ourselves! No more listening to lectures about what we can and can't say on the air. The airwaves will be free!
0NO0000765	Now Rhonda and I can host our own radio show like we've been planning. I don't know why Marcus always refused to let us do it before. He always started getting real nervous when I told him what Rhonda thought about things. Rhonda says he was afraid she was too smart to control.
0NO0000766	Anyway, this is the start of a new era! The only downside is most of the dumb dumbs chose to stay.
0NO0000767	I finally got Raul to finish installing the security measures on my door. Now I can have all the privacy I want.
0NO0000768	Just in case I have a dumb dumb moment, I've placed the spare key under the stairs behind my building. No one ever goes back there, so it should be safe from discovery.
0NO0000772	ACCESS DENIED... SYSTEM OVERRIDE ---> HOUSE MAINFRAME.
0NO0000773	Four corpses at the front entrance of Vault 11 and a strange recording point to sinister events. Determine what happened to the citizens of Vault 11.
0NO0000776	From: Trent Meyer
0NO0000777	To: Vincent Vanmiller
0NO0000778	Hey Vincent,
0NO0000779	I've been going over our inventory of replacements parts and noticed that we've only got one reverse pulse cleaner. I know these things are supposed to last forever, but I'm a little nervous working with just one spare. Can you try to see that the air filters get a little extra love during routine maintenance, if only to calm an old man's nerves?
0NO0000781	Trent
0NO0000782	Jack let me know there is a girl he is interested in at Crimson Caravan. He knows she has red hair, but that is all he knows. He'd like me to talk to her and see if she is interested in meeting him.
0NO0000783	Loyal, one of the Boomer elders, requested that I take a look at the solar array and see about fixing them.
0NO0000784	Lindsay, one of the Boomer kids, lost her teddy bear, but she isn't sure where she lost it.
0NO0000785	Lindsay, one of the Boomer kids, lost her teddy bear, she last remembers seeing it when she was playing hide and seek in the main hangar.
0NO0000797	This password was found shamefully close to its creator's computer terminal.
0NO0000816	REPCONN Inter-office Correspondence #3458503
0NO0000817	To: Xuan Duong, Senior Staff Engineer
0NO0000819	Xuan,
0NO0000820	One of my contacts at Poseidon energy found the specs for the canceled SEMELE plasma rifle. I'm sending them over to your team. From what I can tell they've managed to resolve the matter conversion issue you've been having with the Heisenberg Compensation field. Combined with the data from the sabotaged launch, I think you should have everything you need to complete the Q-35. Colonel Moretti is expecting results with this project, I don't need to tell you what a favorable evaluation from his desk will do for all of our stock portfolios.
0NO0000822	* Most recent events displayed*
0NO0000823	* 11/14/2279, 03:47: Radiation leak detected.
0NO0000824	* 11/14/2279, 03:48: Maintenance bot dispatched.
0NO0000825	* 11/14/2279, 03:50: Power surge detected.
0NO0000826	* 11/14/2279, 03:50: Maintenance bot non-responsive.
0NO0000827	* 11/14/2279, 03:54: Moving to Security Alert Level 1.
0NO0000828	* 11/14/2279, 03:55: Protectrons activated.
0NO0000829	* 11/14/2279, 03:55: Turrets activated.
0NO0000830	* 11/14/2279, 03:55: Sentrybots on standby.
0NO0000831	This is Veronica's password to a comm station she used to communicate with Father Elijah, former elder of the Brotherhood of Steel.
0NO0000836	Camp Guardian Daily Log
0NO0000837	Sergeant Banner Reporting
0NO0000838	Day 12
0NO0000839	We managed to get the rest of the path cleared. Some pre-war fencing was mostly intact, and we were able to set it up as a makeshift barrier, on the more dangerous cliffs. I hope none of these jarheads fall off. We found a few cave entrances, as we were clearing rubble. They lead back to each other, with just a single collapsed path which appears to lead down into the mountain. The damn survey team didn't mention any caves. I hope we don't find any more little surprises.
0NO0000842	Day 18
0NO0000843	We finally got the radio from McCarran. I've set it up on the peak so anyone on overwatch duty can quickly radio in if the Legion makes a move. I'd like to know which genius back at command decided to send a squad to this location, but didn't think to give us a radio so we could actually call in an attack. Probably another politician's son.
0NO0000846	Day 13
0NO0000847	It's been almost a week, and still no sign of a radio from McCarran. I'm sending a runner to Bravo to see if they can spare a handheld or any other radio gear, until McCarran can get around to sending the gear I requested. I swear those dumb bastards back at command expect us to use carrier pigeons or something.
0NO0000850	Day 20
0NO0000851	More surprises. Collins came across a cave entrance right behind our damn tent. The survey team should have caught this if they'd done a thorough job. I have no idea if anything is in there, but we don't have the manpower to deal with any serious pests. I'm going to have some choice words for Burke the next time I see him. This isn't the first time that idiot skipped over details while surveying an area. I hope to god we're not sitting on some kind of nest. I'm going to send in Frakes and Collins to scout the caves tomorrow. If we have to, we'll use explosives to collapse the cave.
0NO0000853	Sgt. Banner Reporting
0NO0000854	Day 7
0NO0000855	Okay, we're making good headway cleaning up the paths. With only the 12 of us, I'm amazed we've moved this much rock in such a short time. Kale and I made it to the top yesterday. The survey team was right. Guardian Peak has one hell of a view, but we still have a lot of work ahead of us. I sent our runner to Bravo to request a radio from McCarran. There isn't much point in having an overwatch camp here if it takes us at least an hour to sprint to Bravo to report a Legion Assault.
