///Project Nevada	
PJN0000001	쓰리 슈터
YUP0000327	도대체 어떻게 브라민이 스트립에 풀려난 거야? 이게 또 어윈 이병의 짓이라면, 그 녀석 반드시 후회하게 해주겠어.
YUP0000328	총성이 들릴 경우 우리도 돌격하지. 그 경우 자네 안전은 보장하기 힘들겠지만.
YUP0000329	우리는 정기적인 의약품 공급처가 필요한데, 크림슨 캐러밴은 너무 많은 돈을 요구하고 있지.
YUP0000330	그리고 자네만큼 자격있는 사람은 없지. 스트립에서 쌓은 업적만 봐도, 자네가 우리 공동체에 가입한다면 큰 영광일 게야.
YUP0000331	고맙네. 그들과 얘기한 뒤 그들이 뭐라고 했는지 내게 알려주게.
YUP0000332	또 그 얘기인가? 다 끝난 줄 알았는데. 이미 탐정이 만족할 때까지 대답도 다 하고 도와줄 수 있는 건 다 도와줬네.
YUP0000333	반 그라프 일가랑은 얽히지 않는 게 좋아. 다만 레이저 같은 것들에 관심이 많다면, 거기서 파는 물건만큼은 최고지.
YUP0000334	난 아직 못 가봤지만, 경비가 꽤나 삼엄하다고 들었어.
YUP0000335	음, 내가 볼트에서 온 건 이미 말했지? 그 이후로는 여행을 다니면서 의사 일을 좀 했네.
YUP0000336	빅터라네. 별난 녀석이야. 이상하기도 하고. 그가 로봇이라서 그러는 건 아닐세. 그다지 그에 대해서 말해 줄건 없구만.
YUP0000337	[성공] 이거 사정없구만. 자, 좋은 하루 보내게.
YUP0000338	네가 사격술에 도움을 준 뒤로, 우리는 네 말을 따르기로 했어. 애들 정렬시킬게.
YUP0000339	아, 청소를 마치는 것 자체가 보람이지요. 쓰레기를 치워서 속 시원하군요.
YUP0000340	여기서 동남쪽으로 가면 프림이야. 마을 정중앙에 커다란 롤러코스터가 있으니 놓칠 리 없어. NCR이 거기에 전초기지를 세웠지.
YUP0000341	어, 좀 위험할 거 같지만, 네가 안전하다고 하면 그냥 믿을게. 어쨌든 다 너 덕분이니까.
YUP0000342	놈들을 박멸하기 위해 팀을 이끌고 내려갔지만, 놈들이... 너무 많았어. 팀원 둘이 죽었고, 셋은 부상당했지.
YUP0000343	실망이라고? 고문관이라고 불리는 데에는 이유가 있네. 그들은 규율이 잡혀있지도 않고, 게으른 데다, 단결심마저 없어.
YUP0000344	앤더슨이라. 혹시 묵시록의 추종자 앤더슨인가?
YUP0000345	[실패] 우릴 먼저 풀어줘. 그럼 비밀번호를 알려주지. 날 죽일 생각은 접어. 비밀번호는 내 머릿속에 있으니까.
YUP0000346	대학살이었다. 많은 NCR 사람들이 그렇게 말하겠지. 대부분은 거기서 일어난 일을 안타깝게 생각하고 있어.
YUP0000347	칸에서는 입단식을 치르기 전까진 성인이 아니야. 모두에게 둘러 싸여 거의 죽을 지경에 이를 때까지 얻어 맞지.
YUP0000348	처음 보는 사람을 도와주겠다고? 고마워, 친구. 군에서는 충분한 인력이 없다고 하더군. 마치 이 도시가 더 중요하다는 것처럼.
YUP0000349	불빛이 보이는 게 너무 일정해. 항상 새벽 1시에 보이지. 조사해볼 필요는 있겠어.
YUP0000350	발붙일 곳이 필요했다. 우리 애들이 웨스트사이드에 얼씬거리지 못하게 막는 게 좀 힘들었거든.
YUP0000351	몇몇 귀여운 약쟁이 년들도 있는데, 걔넨 자기들이 나쁜 짓을 한다는 걸 모를 정도로 약에 쩔어 있어. 난 걔들 머리를 날려버려야 하지. 생각이 많아지더라. 
YUP0000352	[성공] 운은 스스로 만드는 거래잖아? 난 카드에 점을 찍어 나만의 운을 만들고 있지.
YUP0000353	아냐... 괘-괜찮아. 다들 나한테 곧잘 장난치곤 해. 날 조-조-좋아하기 때문이지. 싫어하는 사람한테 장난치지는 않잖아.
YUP0000354	그들 중 대부분이 더못과 세인트 제임스라는 웨스트사이드의 폐품업자들과 무슨 거래를 했던 걸로 기억해.
YUP0000355	그러셔? 우린 그놈을 의심하고 있었지만 너무 많은 물건을 너무 여러 방향으로 보내고 있어서 추적하기가 힘들었지.
YUP0000356	그리고... 놈은 화염방사기를 가지고 있고, 그걸 다루는 데 아주 도가 텄지. 내 듣기로 놈은 손에 잡히는 건 모두 범하거나 불태운다더군.
YUP0000357	아, 물론. 원하는 건 뭐든 주문하도록 해... 옥수수랑 콩에 한해서! <웃음>
YUP0000358	아, 하우스 툴즈라는 곳을 들은 적 있는데, 한번 확인해봐! 베가스 북쪽에 오래된 공장이야.
YUP0000359	그런데 조심해. 내가 듣기로 거기 들어가서 나온 사람이 없대. 혹시 미친 로봇이나 함정 같은 게 있을지 누가 알아.
YUP0000360	이게 내가 가진 물품이야.
YUP0000361	에스테반의 시신은 렙콘 본사 동쪽, 건물들 사이에 있어. 그이의 분대원이 알려준 거야.
YUP0000362	어디 보자...
YUP0000363	하, 결국 공범이었구만. 뭐, 널 죽이면 서류 작업할 필요도 없겠군.
YUP0000364	별로 잃어버리고 싶지 않은 녀석들 말이야.
YUP0000365	군단 놈들이 언제 강을 건너 올지는 모르겠지만, 그놈들이 여기 왔을 때 NCR 군복을 입고 있기는 씨발 존나 싫어.
YUP0000366	이 모든... 이 모든 것들이... 겨우 몇 방울의 물과 농부 몇 명의 노고만 있으면 가능하다네. 못 믿겠나?
YUP0000367	[성공] 부디 2층으로 올라가지 말아 주십시오.
YUP0000368	놈들이 여길 덮치려면 총알 맛 좀 봐야할 테지만, 우리 역시 옴짝달싹 할 수 없다네. 나가지도 들어오지도 못하지.
YUP0000369	놈들이 머리 좀 굴려보면, 자기네 쪽수가 우리 총알보다 많다는 걸 깨달을 걸세. 하지만 아직까진 여긴 안전해.
YUP0000370	그래. 하지만 충분한 전력을 생산 못하고 있어서 적들도 여기엔 별 관심이 없거든. 후버 댐과는 다르지.
YUP0000371	게다가 우리 둘 다 스트립에 가본 적이 없어서 카지노에 경비가 몇 명인지도 몰라. 그리고 요즘 꿈자리가 사나운 게...
YUP0000372	내 특기는 방사능 전갈 독 캐서롤이라네. 생각보다 훨씬 맛있어!
YUP0000373	그는 무례해. 이런 말 했다고 이르진 마. 어쨌든 프림에 보안관은 생겼지만, 기대했던 것만큼 친절하지는 않네.
YUP0000374	슬림은 괜찮아. 그를 헐뜯으려는 건 아니지만, 그에게 있어서 법이란 논리의 집합에 불과해.
YUP0000375	간단해! 지금까지는 증거를 남기지 않고 몰래 범죄를 저질렀기 때문이야. 그래서 아무도 모르는 거지.
YUP0000376	헌데 내가 본 건 한 놈뿐이었으니, 아마 다른 놈도 투명했나봐. 훨씬 더 투명했겠지.
YUP0000377	하지만 난 네가 좋아. 때가 된 거겠지. 남은 로켓은 전부 창고 안에 있으니까, 나한테서 창고 키를 구매하면 돼.
YUP0000378	좋아, 시작해볼까!
YUP0000379	<웃음> 그래, 같은 생각이야.
YUP0000380	언젠가 울트라 럭스에서 쫓겨난 적이 있어. 젠장, 거기 놈들은 소름 끼쳐.
YUP0000381	NCR이 칸 몇몇을 보울더 시티의 폐허 구석으로 몰아넣었다가 그냥 놓아줬어. 흔치 않은 일이야.
YUP0000382	너무 깊이 생각하지마.
YUP0000383	안녕하신가, 파트너! 다시 만나서 정말 반갑네! 회장님께서 위에서 기다리고 계셔. 빨리 가보라고!
YUP0000384	미안, 이런 모습 보여줘서. 지금은 함께 행동하기 힘들 것 같아.
YUP0000385	어이! 네가 그 럭키 38에 들어갔다는 아가씨지? ...씨발.
YUP0000386	임마, 너 잘못 왔어. 모터-러너는 반대쪽에 있다고.
YUP0000387	흠... 오가는 사람들 많이 봐왔지만, 자네 같은 사람은 처음이군. 어디서 왔나, 이방인?
YUP0000388	여기는 스트립만큼 화려하진 않지만, 조아나가 있으니 아무것도 필요 없어.
YUP0000389	참 성실한 배달부로군, 안 그런가? 물건 배달의 의무를 굉장히 진지하게 여기더군. 그 직업 의식에 감사를 표하지.
YUP0000390	자네와 NCR과의 관계가 썩 대단하다고 할 순 없으니, 내가 자네를 보증해줘야 되겠군. 좀 귀찮긴 하지만 그럴 가치는 있어.
YUP0000391	이봐, 네 덕분에 하딘이 엘더가 되었다며? 잘 했어. 이제 봉쇄만 해제되면, 나도 진짜 전투를 할 수 있게 될지도 몰라!
YUP0000392	그냥 창녀들하고 얘기하면 돼. 문제가 있는 게 아니라면 나랑 얘기할 필요는 없어.
YUP0000393	아주 놀라운 솜씨로 고위층의 환심을 샀군. 이건 분명 일종의 책략이겠지?
YUP0000394	언젠간 반드시 여기서 나가고 말 거야. 언젠간...
YUP0000395	자네가 그 군인 녀석들 문제를 도와주고 나서 상황이 훨씬 좋아졌어. 다시 한 번 감사하지. 그래, 무슨 일인가?
YUP0000396	어서와, 친구!
YUP0000397	총을 구하고 있다면 믹하고 얘기해봐. 그 밖에 일반적인 물건이나 서비스가 필요하면 나한테 말하면 돼.
YUP0000398	군단이 강 건너에서 군대를 모으고 있어서 사람들이 불안해 해. NCR이 또 막아줬으면 좋겠어.
YUP0000399	어디보자아아아... 우린 댐의 발전기를 폭파시켜 버릴 수도 있고, 아니면 모든 전력을 포트로 돌릴 수도 있어요.
YUP0000400	NCR의 위대한 영웅을 보게 되니 기쁘군. 뭘 도와줄까, 친구?
YUP0000401	아, 안녕하세요. 데이터 해킹 도와줘서 고마워요. 비록 30초 만에 막혀 버린 데다 별 도움은 안 됐지만... 시도는 해봤으니까요.
YUP0000402	그러고 보니, 포트에 있었던 불쇼는 대체 뭐였던 거지? 신의 철퇴라도 내린 겐가? 대단하군. 아주 씨발 대단해.
YUP0000403	다 죽었어. 저 새끼가 폭탄 같은 걸 가지고 있었나 봐. 안에 있던 물건도 전부 다 폭발해 버렸군.
YUP0000404	이 마을을 막 본보기로 삼은 참이었다. 설교를 퍼트렸다고 할 수도 있겠지.
YUP0000405	카이사르의 군단이 이곳에 가르친 교훈을 만나는 모두에게 퍼트려라. 특히 NCR 병사들에게.
YUP0000406	빠져들 것 같지 않아? 일단 한번 해보면, 자꾸 더 해보고 싶어진다구.
YUP0000407	더 이상 너와 함께 여행하지 않겠어. 너와는 아무것도 하고 싶지 않아.
YUP0000408	쿡이 볼트를 떠나서 다행이야. 놈은 우릴 다 죽였을 게 뻔해.
YUP0000409	뭐야 씨발? 저 개 반은 로봇이네?
YUP0000410	뭔진 몰라도 그거 잘 간수해. 로봇은 못 믿겠어.
YUP0000411	이 안은 확실히 좁긴 해. 하지만 좋은 방 있어서 뭐해?
YUP0000412	저런 개는 처음 봐. 누가 이런 걸 생각해 냈을까?
YUP0000413	어이, 카우걸! 괜찮다면 당신 여자친구랑 얘기 좀 해도 될까?
YUP0000414	<아무 말도 하지 않는다>
YUP0000415	토레스의 보관함
YUP0000416	황금 글러브
YUP0000417	굿스프링스 주택 금고 열쇠
YUP0000418	진의 열쇠
YUP0000419	밀주업자 저장고 열쇠
YUP0000420	밀주업자 캐비넷 열쇠
YUP0000421	중앙 하수도 열쇠
YUP0000422	피의 동굴 열쇠
YUP0000423	닙튼 지하실 열쇠
YUP0000424	루비 언덕 열쇠
YUP0000425	동쪽 중앙 하수도 열쇠
YUP0000426	바이슨 호텔 캐비넷 열쇠
YUP0000427	[되팔기] 전쟁전 평상복
YUP0000428	[되팔기] 전쟁전 나들이 옷
YUP0000429	[되팔기] 전쟁전 편한 옷
YUP0000430	[되팔기] 낡은 전쟁전 평상복
YUP0000431	[되팔기] 낡은 전쟁전 편한 옷
YUP0000432	[되팔기] 전쟁전 외출복
YUP0000433	[되팔기] 낡은 전쟁전 나들이 옷
YUP0000434	[되팔기] 낡은 전쟁전 외출복
YUP0000435	[되팔기] 페도라
YUP0000436	웨스트사이드 조합
YUP0000437	댐 전투 엔클레이브 장교
YUP0000438	댐 전투 엔클레이브 과학자
YUP0000439	12.7mm JHP탄 (수제)
YUP0000440	이게 무슨 뜻일까? 왜 내 병뚜껑 아래에 파란 별이 표시된 걸까? 빨간 놈들이 꾸민 음모인가? 빨간 놈들의 정신 조작의 일환이란 말인가? 그 자들은 원래 있어서는 안 될 것을 내가 보게 만든 게 틀림 없다. 그 별은 거기 있을 게 아닌데 왜 나는 별을 본 걸까? 없어 지질 않는다. 내가 아무리 오랫동안 눈을 감고 있어도 없어지질 않아. 별이 사라져 버렸으면 좋겠어!
YUP0000441	-안토니 하우스
YUP0000442	더 나은 내일을 만들기 위해 필요한 것들을 만듭시다!
YUP0000443	당신은 뉴 가나안 사람들의 향상된 무기 운용기술을 습득했습니다. 당신이 45구경 자동 권총을 사용할 때 산탄도가 감소하고 치명타 효과가 증가합니다.
YUP0000444	당신의 체력이 50% 미만으로 떨어지면 당신은 +15%의 피해를 더 줄 수 있지만, 당신의 민첩성과 인지력에 -2의 제약도 받을 것입니다.
YUP0000445	이상한 황무지 재주는 정상적인 사건을 조금은 해학적이며 이색적인 만남으로 변화시킵니다. 폴아웃에서의 경험이 이상해지기 싫다면 이 재주를 고르지 마십시오.
YUP0000446	콥의 친구들이 문제지. 녀석이 돌아가지 않는다면, 놈들은 이곳에 복수하러 올 거야. 나 혼자 놈들 모두와 싸울 수는 없어.
YUP0000447	그래, 당신이 그걸 만지작거리니 바로 켜지더군. 여기 사례금이야.
YUP0000448	미안한데, 지금 농담한 거야? 딱 봐도 멀쩡해 보이는걸.
YUP0000449	난 개쩌는 놈이야! 온갖 곳에 가 봤고, 온갖 엄청난 일을 했지!
YUP0000450	우선 그 친구를 바이슨 스티브에서 빼내 와야겠지.
YUP0000451	<쑥스러운 신호음>
YUP0000452	무기 화력 시험이 끝날 때까지는 한동안 몸들 사리도록.
YUP0000453	[0] 나도 몰라... 어쩌면 오래된 누카-콜라나 선셋 사르사파릴라 병뚜껑이 있을 거 같은데. 이건... 이건 "화폐"는 아니지만...
YUP0000454	그래, 그래... 하지만 네겐 이미 동료가 있잖아. 그럼 분수 앞에서 만나기로 하자.
YUP0000455	시다바리. 잡일꾼 같은 거지. 연장통을 들어 주는 조수이나 메스를 건네 주는 간호사, 콘서트장으로 모셔다 주는 운전기사 같은 사람.
YUP0000456	너같은 인간들이 어떻게 여기에 오게 되는지는 잘 알고 있다. 도그가 자기 자신을 어쩌지 못하는 것만큼, 너희도 어쩔 도리가 없지.
YUP0000457	일리 있군. 하지만 애리조나 동쪽 사람의 관점으로 보더라도, 저 인간은 확실히 미쳤어.
YUP0000458	그래, 잘 가라.
YUP0000459	현명한 판단이군. 자네는 이 근처 지형에 익숙하니 연락책으로는 안성맞춤이지.
YUP0000460	그럼 힘으로라도 떠나게 해야지. 네놈 잘못이니까 이해해.
YUP0000461	선택은 네 몫이지만, 레인저들은 지원 병력이 왔을 때만 들여보낼 거다.
YUP0000462	우리 가족 모두 안에 갇혔었어. 난 연기 냄새를 맡고 여동생 라파엘라를 데리고 창문을 통해 도망쳤지. 하지만 다른 가족들은...
YUP0000463	결국 그가 날 도와준 것보다 내가 그를 도와준 게 더 많았죠. 그 시큐리트론의 메모리 뱅크에 접속하자마자, 그는 날 탑스에서 쫓아냈어요.
YUP0000464	유감스럽게도 행상인이나 경비병은 모집하지 않지만, 개인적인 심부름꾼이 필요하네.
YUP0000465	당신이라면 스트립의 카지노를 싹 쓸어버리겠는걸요?
YUP0000466	[성공] 탄약 몇 개 외에는 정말 더 이상 줄 게 없네.
YUP0000467	한동안 댐을 정찰하고 있었지. 그동안 여러 곳에서 정보를 좀 모아놨다.
YUP0000468	저 못생긴 새끼가 날 쓰러뜨리고 이 동굴로 날 끌고 오고 있을 때, 놈의 등에 단도를 던져서 제대로 맞췄지.
YUP0000469	고맙군, 의사 선생. 이제 내 발로 걸어나갈 수 있겠어.
YUP0000470	미쳤어? 절대 여기서 더 깊숙이 들어가진 않을 거야.
YUP0000471	아마 여기서 가장 좋은 건 에티엔 씨가 운영하는 조합일 거야. 묵시록의 추종자에게서 도움을 받는 것 같더군.
YUP0000472	여기 주민들은 그 작은 농장을 정말 잘 운영하고 있어. 솔직히 좀 말이 안 될 정도로. 에티엔이 그 앤더슨 친구한테서 도움을 받은 것 같더군.
YUP0000473	[실패] 내 라틴어 실력이 네놈보단 나은 것 같군. 포로는 내가 직접 전부 검사하고 있어. 저 년 구멍에 "이빨"은 안 달려 있다고.
YUP0000474	죄송해요, 누가 도와주고 있다는 게 너무 기뻐서요. 군단놈들한테 후장이 뚫리거나 알 수 없는 곳으로 보내지는 건 정말 싫거든요.
YUP0000475	그의 정확한 계획은 모르겠지만, 난 모든 위험요소를 제거하라고 명령 받았다. 가서 미스터 하우스를 처리하도록. 질문 있나?
YUP0000476	인류가 스스로를 멸망시키기 전, 아니면 후? 난 그 둘 모두를 알 정도로 오래 살았다고.
YUP0000477	산티아고는 기쁨을 주기 위해 있어, 나의 들꽃. 캡 몇 개만 내면 난 네 거야.
YUP0000478	정말이야? 개쩌는군! 몇 년 동안이나 찾아 다녔는데?
YUP0000479	아, 그거 잘됐네. 마침 도움이 필요했는데. 난 폭발물을 다루는데, 오메르타는 엄청 큰 폭발을 일으키길 원하거든.
YUP0000480	[실패] 그래, 핵폭탄도 만들 수 있긴 있어. 하지만 모하비를 거대 거울로 만들 생각은 없거든.
YUP0000481	미안해, 친구. 하지만 이 정보의 가치를 생각하면 그건 말도 안 돼.
YUP0000482	술에 취해 스스로를 바보로 만들며 NCR 전체를 망신시키는 군인 녀석들을 상대하고 있어. 즉 평소와 똑같은 하루지.
YUP0000483	적어도 픽서 2개, 위스키 1병, 라드어웨이 하나는 있어야 해.
YUP0000484	[실패] 산티아고가 그런 시시한 위협에 넘어갈 줄 알았어? 산티아고는 네 멍청한 허세를 비웃어.
YUP0000485	제이콥 호프가 술을 끊은 뒤, 메뉴에 새 술도 생겼고 장사도 잘 돼. 사람들이 새로 나온 압생트와 럼 앤 누카를 너무 좋아한다고.
YUP0000486	정말? 훌륭해! 어디 가져온 것 좀 보자.
YUP0000487	자네 같은 평판을 가진 자와 NCR에 대해 논하는 건 내게 별 이득이 될 것 같지 않군.
YUP0000488	씨발 나도 모르겠어. 보스들이 놈한테 여길 맡겼지. 괜찮은 녀석 같기도 한데, 왠지 기분 나빠.
YUP0000489	[성공] 하! 스타일이 마음에 드네, 친구. 하지만 그 중간으로 타협하는 게 어때. 375 캡이면 우리 둘 다 만족할 수 있을 거 같은데.
YUP0000490	[실패] 하, 지금 날 뭘로 보는 거야?
YUP0000491	[실패] 시시한 변명? ...집어치워! 미스터 하우스보고 다른 예술가를 찾아보라 그래. 이 척박한 황무지에서 찾을 수 있다면 말이지만!
YUP0000492	훌륭해! 그럼 캡도 아끼고 재고 관리도 할 수 있겠어.
YUP0000493	[성공] 깨끗한 물과 음식은 가치를 따질 수 없지... 거래하겠네.
YUP0000494	자, 다 됐어. 나중에 또 위험한 거 함부로 줏어먹으면 안 돼, 알았지?
YUP0000495	하지만 아이들이 안에 누카-콜라가 들어 있는 줄 알고 마셔버려서 나눠주는 걸 멈췄다고 하더군.
YUP0000496	왜 그러니, 아가? 친구들 앞에서 창피하게 만들까봐 그러는 게야?
YUP0000497	눈도 침침한 구울 늙은이한테 들키다니. 창피한 줄 알아라.
YUP0000498	돌려줘, 이 더러운 도둑놈!
YUP0000499	내 제안은 고려해 보았나? 제안을 받아들이기 전에는 다른 얘기하기 힘들겠군.
YUP0000500	또 너야? 뭘 원해?
YUP0000501	넌 정말 대단한 영웅이야. 엄마한테 널 만났다고 편지 써야지!
YUP0000502	안녕, 웨스트사이드 조합에 온 걸 환영해. 난 클레이튼 에티엔이야. 궁금한 게 있으면 얼마든지 물어봐.
YUP0000503	그 "위대"하다는 공화국이 여길 수복할 병사가 부족해, 대신 널 보낸 건가? 한심하군.
YUP0000504	이 콘솔은 시큐리트론 격납고가 침수되지 않게 미드 호를 유지하고 있는 펌프를 제어하고 있습니다.
YUP0000505	NCR 참모진 귀하,
YUP0000506	[CRLF]요청드렸던 것보다 10배가 넘는 양의 의료품이 도착했습니다. 저흰 다리 부러진 병사가 있는 거지 미사일 폭격을 받은 게 아닙니다. 이 의료품들을 다른 곳으로 재분배 해주시길 바랍니다. 분명 이 의료품들이 절실한 NCR 부대가 있을 테니까요.
YUP0000507	[CRLF]기뻐해 줘, 우리 볼트는 완전 장사가 잘 되고 있어! 군단에 관한 안 좋은 소식도 들리긴 하지만, 아직 여기엔 NCR 병사들이 많이 있어. 다들 쾌활해. 시저가 사방을 들쑤셔도 별로 신경 안 쓰는 것 같아. 어쩌면 NCR은 우리 생각보다 더 강한 건지도 모르겠네? 글쎄... 미스터 하우스 이상으로 믿을 수 있을까?
YUP0000508	(선택) 오메르타가 믹 앤 랄프에서 총기 구매를 중단한 이유를 믹과 랄프에게 알려주십시오.
YUP0000509	시저에게 시큐리트론 부대는 더 이상 위협이 되지 않는다고 전하십시오.
YUP0000510	오토-닥에 갇혔을 때가 떠오르는 거구나.
YUP0000511	더 위험한 녀석들을 데려와줄 수도 있지만, 보수를 올려주지 않으면 안 돼.
YUP0000512	내가 굳이 왜? 이미 너 혼자 삽질하면서 스스로를 엿먹이고 있는데.
YUP0000513	<거짓말> 너희한테 좀 더 싸게 무기를 넘길 수 있도록 협상하고 오겠다는데.
YUP0000514	너네 동족들이 여기를 떠나겠다고 약속하면, 스텔스 보이를 찾아다 줄게.
YUP0000515	[실패] <콘트레라스의 소포를 빼앗는다> 웃기지 마, 뭘 가져온 건지 볼까...
YUP0000516	아름다웠지. 화약을 조금 빼돌려두고, 만들어둔 무기도 숨겨놓다가, 어느 날 NCR을 위해 심포니 한 곡을 지휘해 준 거지.
YUP0000517	대박 맞는 게 총 맞는 것보단 낫잖아. 납중독에 걸릴 확률도 더 낮고. 이봐, 혹시 공연 일자리 알면, 내가 싼값에 일할게. 진짜 싸게. 월급을 땅콩으로 받아도 돼!
YUP0000518	또 조미료나 양념도 필요해. 뭐든. 그래야 병사들 사기도 올라갈 거야.
YUP0000519	상부에선 직접적으로 말은 안 하지만, 아무래도 에스테반을 그냥 내버려 둘 건가봐. 뻔하지.
YUP0000520	하지만 킬리를 찾아내서 그녀의 안전을 확보해준다면 약속한 보수를 줄게. 생사도 모른채 그녀를 이렇게 방치해둘 순 없어.
YUP0000521	카이사르께서는 우리의 개 조련술에 감명을 받으시고, 우리를 군단에 징집해 사냥개 조련사로 임명하셨지.
YUP0000522	콘트레라스는 천재야. 당신이 원하는 건 뭐든지 구해다 줄걸. 하지만 캡이 좀 들기는 해. 그는 공짜로 해주지는 않거든.
YUP0000523	중앙 서버에 있는 모든 정보를 자네 핍-보이에 다운로드하게. 거기서 찾은 기록이나 샘플도 전부 가져와야 하는 건 당연히 알겠지?
YUP0000524	난 상관 없어. 재밌는 얘기를 못 듣는 건 자기니까.
YUP0000525	친구여. 우연히도 불과 몇 분 전, 궁곤한 두 고아가 그러한 물건을 손에 쥐고 있는 것을 목격하였다네.
YUP0000526	그 다음에 NCR 사람에게 뇌물을 좀 써서, 보급품이 배송될 때마다 컨테이너를 한 둘 나한테 보내게 하는 거야. 식은 죽 먹기지.
YUP0000527	먼저 엘더께 보고해. 그러고 나서 의사에게 진찰도 받고. 잘 돌아왔어.
YUP0000528	(이리 와!)
YUP0000529	NCR에 평생을 봉사하며 지친 핸론은, 은퇴 후 레인저 대장 자리에서 내려와 레딩에 있는 그의 목장으로 돌아갔다.
YUP0000530	여기 귀빈실 열쇠야. 금방 갈게. 있다 봐.
YUP0000531	솔직히, 지금은 문젯거리가 한둘이 아니네. 핀드는 볼트 3에서 확실히 자리 잡고 있어.
YUP0000532	쫓을 생각 없어.
YUP0000533	내가 다 망쳤다. 내가 실수했어. 이 지옥에서 우리를 끄집어내려 했는데... 실패했다.
YUP0000534	캠프 맥캐런 근처에 가게 되면 윌리엄스 박사를 찾아. 그녀는 내가 인정하는 몇 안되는 사람 중 하나야.
YUP0000535	인간의 경우, 여기 북쪽에는 칸이 있고 볼트 3을 지나 맥캐런에는 NCR 기지가 있지. 아마 남동쪽에는 돌연변이들이 있을 거야.
YUP0000536	북쪽에 있는 감옥에서 탈옥이 일어나면서부터였어. 처음엔 그냥 깡패 몇몇이 굴러 들어올 뿐이었지만, 곧 놈들은 조직을 이루었지.
YUP0000537	또 폭발물과 함께 폭탄 만들 재료들도 가져다 두었다. 그걸 크렌쇼 이병의 사물함에 집어 넣어.
YUP0000538	루파 말이야? 그래, 우리 최고의 개들은 대부분 이녀석이 낳았지. 많이 늙었지만, 여전히 성깔있는 암캐야. 안 그래, 아가씨?
YUP0000539	네 말이 맞을지도. 자, 친구들. 짭새들이 오기 전에 어서 이곳을 뜨자고.
YUP0000540	내 남편은... 레인저인데, 근데... 핀드 무리한테 살해당했어. 그 빌어먹을 야만인 놈들이 그이 시신을 저 밖에서 썩게 나뒀지.
YUP0000541	내가 제시한 액수는 최초 계약 조건을 훨씬 웃돌아. 그리고 잊었나 본데, 자넨 내게 칩을 배달할 의무가 있어.
YUP0000542	천만에. 별거 아닐 거야. 젊고 열정적인 연인들이 뒹굴 만한 조용한 장소를 찾던 거겠지.
YUP0000543	이제 내가 어딜 가든, 만나 본 적도 없는 사람들이 악수를 청하며 "건더슨 씨"라고 부른다네. 이걸 어떻게 생각해야할 지 참.
YUP0000544	그러지 마, 베이비. 그 벙커 안에 뭐가 있든 간에, 그건 베가스의 핵심이라고. 그러니 이렇게 해 봐...
YUP0000545	올리버는 후버 댐에서의 승리가 레인저들 덕이라는 걸 아니꼽게 보지. 그는 내 의견은 무조건 반대하고 있네. 난 능선에 레인저들을 배치하자고 했지.
YUP0000546	쿡-쿡에 대해 말해줄 게 하나 있네. 그 개자식은 뼛속까지 짐승이야. 놈은 내 저격수 중 한 명을 강간했지. 따라서 이건 개인적인 복수이기도 하네.
YUP0000547	우린 폐쇄 정책 덕에 안전했었지만, 이제 주변 세상은 변하고 있어. 멀리 보이는 네온 불빛들, 순찰 로봇들, 군인들...
YUP0000548	그녀는 언젠가 이런 날이 올 테니, 야만인이 게이트에 도달하면 자신에게 데려오라고 하셨었어.
YUP0000549	쉿, 느껴져? 변화의 바람이 불고 있잖아, 임마. 판타스틱이 천사 날개를 달고 바람을 탔다고.
YUP0000550	이리 나와, 외부인.
YUP0000551	이름은 테드 건더슨입니다. 모두 그냥 불미스런 오해였다고 그를 설득할 수 있다면 제일 간단하겠죠.
YUP0000552	그게 바로 레오가 이 할미에게 시킨 거란다!
YUP0000553	킹스는 거절했고, 잠시간 군단의 노예가 되었다. 그러나 탈출을 시도했다가 실패한 뒤 전부 죽음을 맞고 말았다.
YUP0000554	혼합 결과물은 예상보다 더 적응력이 좋았고, 곧 인간에게 위협이 되었지.
YUP0000555	겍코를 죽인 이유는 유황을 얻기 위해서였는데, 오히려 너 때문에 일이 훨씬 더 까다로워졌지. 씨발 당장 꺼져.
YUP0000556	선택의 여지는 없었다. 마치... 막을 수 없는 무언가가 강제로 조종하는 것 같았지. 
YUP0000557	군단은 NCR 이교도 놈들을 불태운 내 업적을 보고, 지들 편이 되어달라고 구걸했지. 뭐, 그럴 생각은 없었는데.
YUP0000558	불행하게도, 난 부상자들을 치료하느라 너무 바빠서 잃어버린 의약품을 찾아 볼 시간이 없어. 
YUP0000559	이제 우리는 저 개새끼들의 본거지로 쳐들어갈 수 있는 기회를 잡았다.
YUP0000560	대체 무슨 짓이야?
YUP0000561	그래. 놈들이 여자에게 하는 짓은... 차라리 죽는 게 낫지.
YUP0000562	박살내... 버렸다구요? 그거 재밌네요. 왜냐면 그... 군대는... 제일 중요한 비밀 병기였는데... 아시죠?
YUP0000563	다른 얘기를 해보자.
YUP0000564	그녀도 군단의 노예로 사느니 차라리 죽는 게 나았을 거야.
YUP0000565	죽기 전에 내게 전부 털어놨어. "프루멘타리우스"란 용어를 쓰더군.
YUP0000566	내게 전부 털어놨어. 죽기 직전에 말이야.
YUP0000567	NCR 이병의 시체에서 나는 악취로 환기 시스템을 오염시킬 생각이다.
YUP0000568	난 지금까지 잘못된 편에서 싸워왔어. 날 다시금 증명할 기회를 줘.
