///Project Nevada	
PJN0000001	Three Shooter
YUP0000278	I had him tended to. He was maimed, most of his face torn off. It was days before he regained consciousness.
YUP0000279	All right, then. Be patient since this will take a while.
YUP0000280	Have a seat. This will take a while.
YUP0000281	Once our forces are in place and garrisoned here, we'll begin our assault.
YUP0000282	We're gonna check out the police and fire stations. They were the buildings used most by the NCR, so they're our best chance at good shit.
YUP0000283	Not really. Heard it's paradise in the wasteland. Never been there myself, doubt they'd let a mutant in.
YUP0000284	[SUCCEEDED] Dude! What a total haul! No way that's copasheshy. Yeah, okay, me and Diane got your back. No sweat.
YUP0000285	You can ask, but why would I do that? Karl's told me all about the life in the Legion! He says I've got all the makings of a speculatore.
YUP0000286	Worse, if Keene and the Nightkin tear up the Mojave hunting for Stealth Boys, people are gonna get killed.
YUP0000287	Our main camp is up in Red Rock Canyon, but we don't allow just anyone to come in.
YUP0000288	Was part of a Super Mutant army, ran a town, walked the wasteland with a tribal. Now I'm here.
YUP0000289	[SUCCEEDED] Heh. More than I could make in a week shaking down these assholes anyways.
YUP0000290	[FAILED] I'm not a stupid little girl anymore, you can't talk me out of this!
YUP0000291	What are you talking about? Andy wants to help me leave this hole... doesn't he?
YUP0000292	She locked the bedroom door - like that's going to stop me. I was... I've got a gun, I'm going to make her give it to me!
YUP0000293	Do they? Look at my mother. All she cares for is a patch of bare dirt where nothing green will ever grow to feed us.
YUP0000294	Alice... Oh yeah. I've seen her around here much too often as of late. I reckon she's been hanging out with Andy and his crew.
YUP0000295	The east side gets a lot of merchant and gambler traffic. We're safer here than in North Vegas or Westside, though we've got to put up with the NCR.
YUP0000296	This is our turf. Don't even try to snoop around or I'll fucking kill you right here, right now.
YUP0000297	I mean you've got to know yourself before you can truly know the gun.
YUP0000298	Give me a rifle and a clear line of sight, and I'll start picking them off before they've even seen me.
YUP0000299	I'm trained as a spotter, too. If you're looking through a scope, I could find your targets for you.
YUP0000300	Yeah. Lots of thoughts. All about the best ways to kill 'em.
YUP0000301	There's a boy, too old to be trained as a Legionary. Normally they would have to die, but he's too frail to make trouble.
YUP0000302	Th-thank you! I don't think we'll ever be able to repay you, but we'll do our best one day once I've found a place to settle.
YUP0000303	Thanks to your help, I think Bitter Springs has a real shot at surviving. I can't offer much of a reward, but know that the NCR is very grateful.
YUP0000304	That part of my life's over now. And so is this discussion.
YUP0000305	The locals here are just an inconvenience to 'em, something to step over or stomp down. They're here for the resources, plain and simple.
YUP0000306	The best marksmen of the NCR are usually at the rear of any battle. The gun will allow us to strike at them.
YUP0000307	But lately, The Kings have started charging locals to use it - and NCR squatters twice as much. That'll come to no good.
YUP0000308	Okay, you try that and let me know, okay? How she looks, what she's wearing, she's safe, anything - I'll pay you, you hear?
YUP0000309	Does that sound like a democracy to you, or a hereditary dictatorship?
YUP0000310	The NCR has all the problems of the ancient Roman Republic - extreme bureaucracy, corruption, extensive senatorial infighting.
YUP0000311	I must insist that you stay long enough for me to show you that the Platinum Chip does more than change the pictures on the Securitrons' face screens.
YUP0000312	I must insist that you stay long enough for me to show you what the Chip does. I promise you'll like what you see...
YUP0000313	I've been around long enough to observe the patterns of human behavior. Physical and mental anguish are especially exciting to explore.
YUP0000314	That's a good idea. I don't give out favors every day, so you probably shouldn't rush to pick something.
YUP0000315	I'll give it my best. You've earned that much. But that makes us even, you hear?
YUP0000316	Tell you what, that chiseler's blowing hot air over at that there fancy casino - The Ultra-Luxe. Find out what's his story here, will you?
YUP0000317	[FAILED] I'm sorry, but those are the only funds I was able to allocate. You'll have to make do with it. Besides, you may have other tasks soon.
YUP0000318	Excellent job. Where'd you learn to do all that? I don't think that I could have done much better myself. Very impressive.
YUP0000319	Unfortunately, I don't have time to go searching for the missing supplies since I have my hands full with injured soldiers.
YUP0000320	I remember coming in one morning and noticing my supplies were lower than they should have been.
YUP0000321	Good, let's not waste time then. Our biggest problems right now are supplies and troops, and the Legion is draining us both.
YUP0000322	All right, so he used to be a Securitron on patrol. Square as the rest, until I gave him a mickey in the shape of a pulse grenade.
YUP0000323	Meanwhile, they're all that's keeping Caesar's Legion at bay. Plus NCR soldiers and citizens are our best customers. It's complicated.
YUP0000324	From there it just took a couple of greased palms to get someone to let me cherry pick a container or two out of every shipment. Easy as pie.
YUP0000325	Ambassador Crocker can be found in his office through the door to my right and at the end of the hall.
YUP0000326	The only stupid one we've had lately is Private Erwin. He's starting to cause more trouble than he's worth.
YUP0000327	How the hell did brahmin get loose on the Strip? If this is another one of Private Erwin's pranks, I'll make him regret it.
YUP0000328	If we hear shooting, we'll be coming in, but it'll probably be too late for you.
YUP0000329	We need a regular supply of medicine organized, but the Crimson Caravan wants too many caps for what we need.
YUP0000330	And you most certainly fit the bill. Given your deeds on the Strip alone, I can safely say that you would be a prized addition to our honorary ranks.
YUP0000331	Much appreciated. Once you've talked to them, come back and let me know if they will help us.
YUP0000332	This again? I thought this was all settled. I answered every one of that investigator's questions to his satisfaction and gave all the help I could.
YUP0000333	These are not people you want to mess with. But if lasers and such are your thing, the goods they sell are second to none.
YUP0000334	I haven't been there myself, but I hear security there is kinda tight.
YUP0000335	Well, I already told you I came from a vault. After that, I was a traveling doctor for a spell.
YUP0000336	That'd be Victor. Curious fella. He's sort of odd. And I don't just mean 'cause he's a robot. I couldn't tell you much about him.
YUP0000337	[SUCCEEDED] You drive a hard bargain. Here you go. Have a nice day.
YUP0000338	After the help you gave us at the shooting range, we'll take any advice you've got. I'll line them up.
YUP0000339	Ah, a job well done is its own reward. Good riddance to this rubbish.
YUP0000340	Southeast of here is Primm - can't miss it, since it has the giant old rollercoaster right in the middle of town. The NCR's got an outpost there.
YUP0000341	Wow, that seems dangerous, but if you really think it's safe, I'll trust you. You did make it here, after all.
YUP0000342	I led a team down to exterminate them, but there were... so many of them. We lost: Two killed, three wounded.
YUP0000343	Disappointed? We call 'em the Misfits for a reason. They're undisciplined, lazy, and they have absolutely no esprit de corps.
YUP0000344	Anderson. Is that the Followers of the Apocalypse Anderson?
YUP0000345	[FAILED] Help us first, then we'll give you the password, and don't think about killing me. It's all in my head.
YUP0000346	It was a massacre. That's what a lot of NCR folk will tell you. Most of them feel plenty bad about what happened.
YUP0000347	You're not fully grown 'til you've taken a beat-down. Everybody gathers round and hits you until you're damn near dead.
YUP0000348	You'd do that for a complete stranger? Thank you, my friend. The army says they don't have the available manpower, as if this city is more important.
YUP0000349	That light is mighty consistent. Always there at 1 AM. Might be worth a look.
YUP0000350	We needed some place to put down some roots. I was having trouble keeping my people out of Westside.
YUP0000351	Some cute little junkie bitch, so fucked up she doesn't even know that she's the bad guy. And I've got to headshot her. Makes me think.
YUP0000352	[SUCCEEDED] You know how they say you make your own luck? Well, let's just say I make mine with a little extra ink on the cards.
YUP0000353	Nah... it's no p-problem. Everybody likes to have a little fun with me. You don't rib somebody you don't like.
YUP0000354	Seem to recall a lot of them did business with those scavengers over on the West Side - Dermot and Saint James.
YUP0000355	Really now? We had our suspicions about that man, but he's got so many shipments going so many different directions it's been hard to track.
YUP0000356	Also... he's got a flamethrower, and he's damn good with it. From what I hear, he either rapes or burns every living thing he gets his hands on.
YUP0000357	Oh yeah. You can order up anything you want... as long as it's corn or beans! <Laughs>
YUP0000358	Oh, I've heard of a place called House Tools you could check out! It's an old factory on the north side of Vegas.
YUP0000359	Just a word of warning, though. I hear no one who goes in there comes back out. Could be traps, crazy robots, or who knows what's in that place.
YUP0000360	Here's what's currently available.
YUP0000361	Esteban's body is laid out between some of the buildings, east of the REPCONN headquarters. At least, that's what his squadmates said.
YUP0000362	Let's see here...
YUP0000363	Heh, an accomplice after all. Well, it'll save me some paperwork just killing you.
YUP0000364	Not the kind of things you like to see go missing.
YUP0000365	I don't know how long it'll be before the Legion crosses the river, but sure as fuck I don't want to be wearing an NCR uniform when they get here.
YUP0000366	And all of this... all this, requiring no more than a few drops of precious water, and the efforts of only a handful of human farmers. Impossible?
YUP0000367	[SUCCEEDED] Please do not make your way to the 2nd floor.
YUP0000368	They can't rush us without eating a good bit of hot lead, but we are in a kind of box canyon. Guess this is as fitting a place for that as any.
YUP0000369	I reckon that if they thought hard enough about it, they'd realize they got more bodies than we have bullets, but for now we're safe enough in here.
YUP0000370	There should. But we're not getting much power out of it so none of our enemies have big interest in it either. Not like Hoover Dam, anyway.
YUP0000371	We've never been on the Strip, either, so we don't know how many guards the casinos have. And I kept having these nightmares...
YUP0000372	My specialty is a radscorpion venom casserole. It's more appetizing than it sounds!
YUP0000373	He's rude. Don't tell him I said it. Primm has a sheriff now, just not as supportive as I would've hoped.
YUP0000374	Slim is alright, I don't wish him no harm, but the law to him is a set of logic.
YUP0000375	Simple! Up until now, we committed our crimes stealthily, leaving no evidence behind. So we never built a rep.
YUP0000376	But I only saw one chupacabra, so I guess the other fella had to be invisible too. Only more invisible than the other one.
YUP0000377	But I like you. I think maybe it's time. All that's left is in the storage room here. You can buy the key from my store.
YUP0000378	Alright, it's on now!
YUP0000379	<Laughs> Yeah. I'm with you there.
YUP0000380	I got kicked outta Ultra-Luxe the other day. Man, that place gives me the fucking freaks.
YUP0000381	Some Khans got cornered in the ruins of Boulder City and the NCR killed them. It's like Bitter Springs all over again.
YUP0000382	Think about it too hard and you'll get burned.
YUP0000383	Well howdy, pardner! Good to see you again. Boss is waiting for ya upstairs, so get a move on!
YUP0000384	I'm sorry, you shouldn't have to see me like this. I'm not gonna be very good company right now.
YUP0000385	Hello! That broad everyone saw go in the Lucky 38, that was you? Oh shit.
YUP0000386	Man, are you turned around. Motor-Runner is on the other side of the complex.
YUP0000387	Humph... I see a lot of folks come and go, but none fit your type. Where you come from, stranger?
YUP0000388	This place doesn't have the glitter of the Strip, but I've got Joana - that's all I'll ever need.
YUP0000389	You've been a busy courier, haven't you? You take your obligation to deliver a package very seriously - an ethic for which I am grateful.
YUP0000390	Your reputation with the NCR isn't exactly stellar, so I'll have to vouch for you. It'll make a scene, but it's worth it.
YUP0000391	Hey, so Hardin becoming Elder was because of you, huh? Good job. Now that the lockdown is lifted, I may get a chance to get into a real fight!
YUP0000392	You can just talk to the whores, you know. You and me, we don't need to talk unless there's trouble.
YUP0000393	You've done an excellent job ingratiating yourself to the top brass. I assume this is some sort of strategem?
YUP0000394	One of these days I'll save up enough to get out of here. One of these days...
YUP0000395	Things have been a lot better since you helped with those soldier boys. Thanks again. So, what can I do for you?
YUP0000396	Welcome back, buddy!
YUP0000397	If you're looking for guns, talk to Mick. Otherwise, I've got a nice selection of general supplies.
YUP0000398	People are getting nervous about the Legion amassing on the other side of the river. I hope the NCR can hold against another attack.
YUP0000399	Sooooo... we can blow up the dam's generators, or I could route the dam's entire power output to the Fort.
YUP0000400	It's good to see such an outstanding citizen of the NCR. What can I do for you, my friend?
YUP0000401	Oh, hi. Thanks again for helping us with that data. I mean the feed only lasted about thirty seconds and it's not that useful, but... well, we tried.
YUP0000402	Speaking of - that crazy lightshow over the Fort, what the fuck was that, some kind of thumb of God you called down? Amazing, fucking amazing.
YUP0000403	They're all dead. Guy must've had some kind of explosive on him, set off all the ordnance in this place at once.
YUP0000404	I was just finishing up making an example of this town, teaching a lesson, if you will.
YUP0000405	When you move on, teach everyone you meet the lessons Caesar's Legion taught here. Especially any NCR troops you run across.
YUP0000406	Pretty addictive, right? You do it once, it just makes you want to do it more.
YUP0000407	You and me, we're done traveling together. I want nothing more to do with you.
YUP0000408	Cooke left the vault, good thing too, he was going to get us all killed.
YUP0000409	What the hell? Is that a half-robot dog?
YUP0000410	You better control that thing. Bots can't be trusted.
YUP0000411	It's cramped in here, sure, but who really needs a fancy room, anyway?
YUP0000412	I've never seen a dog like that. Who thinks up these things?
YUP0000413	Hellooo, cowgirl! You mind if I talk to your lady friend a bit instead of you?
YUP0000414	<says nothing>
YUP0000415	Torres's Trunk
YUP0000416	Golden Gloves
YUP0000417	Goodsprings Home Safe Key
YUP0000418	Jean's Key
YUP0000419	Bootlegger's Cellar Key
YUP0000420	Bootlegger's Cabinet Key
YUP0000421	Central Sewer Key
YUP0000422	Bloodborne Key
YUP0000423	Nipton Basement Key
YUP0000424	Ruby Hill Key
YUP0000425	East Central Sewer Key
YUP0000426	Bison Hotel Cabinet Key
YUP0000427	[Return] Casualwear
YUP0000428	[Return] Spring Outfit
YUP0000429	[Return] Relaxedwear
YUP0000430	[Return] Casualwear (Soiled)
YUP0000431	[Return] Relaxedwear (Soiled)
YUP0000432	[Return] Parkstroller Outfit
YUP0000433	[Return] Spring Outfit (Soiled)
YUP0000434	[Return] Parkstroller Outfit (Soiled)
YUP0000435	[Return] Hat, Fedora
YUP0000436	Westside Co-op
YUP0000437	DamWar Enclave Officer
YUP0000438	DamWar Enclave Scientist
YUP0000439	12.7mm, JHP (Hand Load)
YUP0000440	What does it mean?  Why was there a blue star under my bottle cap?  Are the Reds behind this?  Is this part of their mind control?  They must be making me see things now, things that shouldn't be there.  The star shouldn't be there, why do I see a star?  It won't go away.  No matter how long I close my eyes it won't go away.  I want the star to go away!
YUP0000441	-Anthony House
YUP0000442	Building the things you need to build a better tomorrow!
YUP0000443	You have learned the advanced weapon handling techniques of the New Canaanites. For you, all shots with .45 Auto Pistols have less spread and are twice as likely to score a critical hit.
YUP0000444	When your health drops below 50% you gain +15% more damage, but you also suffer -2 to your Agility and Perception attributes.
YUP0000445	The Wild Wasteland trait converts a few normally "ordinary" occurrences into zany, wacky encounters. Do not take this trait unless you prefer your Fallout experience to be a bit more goofy than usual.
YUP0000446	Cobb's friends are the bigger problem, and when he doesn't get back, they'll be coming here for blood. There's no way I can fight them all.
YUP0000447	Yeah, I heard it turn right back on after you got done tinkering with it. Here's some caps for the work.
YUP0000448	I'm sorry, but is this supposed to be a joke? There's nothing wrong with you. I can tell just by looking.
YUP0000449	I'm one of a kind! I've been places, see? And done things - lots of them!
YUP0000450	First thing I'd say is get his sorry butt outta there.
YUP0000451	<Embarrassed beeping>
YUP0000452	PLEASE AVOID BOOM TOWN FOR THE FORESEEABLE FUTURE, UNTIL WEAPON TESTING IS RESOLVED.
YUP0000453	*I don't know... might be some old Nuka-Cola or Sunset Sarsaparilla bottlecaps lying around. It... It's not "currency" per se...*
YUP0000454	All right, all right... but you already have company, so tell you what - I'll meet you at the Fountain.
YUP0000455	Odd Man out... dead weight. Someone you need holding the toolbox, the nurse passing the scalpel, the chauffeur driving you to the concert.
YUP0000456	Every time I see one of you, I know exactly how you got here - you couldn't help yourselves, any more than Dog can help himself.
YUP0000457	A fair point, but from the perspective of someone west of the Colorado, the man is clearly out of his mind.
YUP0000458	Yes, goodbye.
YUP0000459	That's a sensible notion. Your familiarity with the nearby terrain makes you perfect as a liaison.
YUP0000460	Then we'll have to make you leave by force. Your own fault, you understand.
YUP0000461	It's your choice, but those rangers are only coming if we get your support.
YUP0000462	My whole family was trapped inside. I smelled the smoke and got myself and my little sister, Rafaela, out through a window, but everyone else....
YUP0000463	I wound up helping Benny a lot more than he helped me. Once he had access to the Securitron's memory banks, he kicked me out of the Tops.
YUP0000464	I'm afraid we have no current openings for caravanners or guards, but I am in need of a runner.
YUP0000465	In fact, you ought to be on the Strip cleaning out the casinos.
YUP0000466	[SUCCEEDED] I can't offer much more aside from some extra ammo.
YUP0000467	I've been spying in the dam for quite a while now. I've gathered quite a bit of information from various sources.
YUP0000468	The ugly bastard knocked me down and started dragging me down into these caves. I managed to get my knife out and get a good throw into its back.
YUP0000469	Thanks a lot, doc. I think I should be able to walk out of here, now.
YUP0000470	Are you crazy? No way in hell am I going deeper into those caves.
YUP0000471	Probably the best thing we've got going on is the co-op, run by Mr. Etienne. Gets some help from of the Followers of the Apocalypse, I think.
YUP0000472	Locals got these little gardens that do real well. Gosh darn well, truth be told. Etienne got some help from that Anderson kid, I think.
YUP0000473	[FAILED] I think my Latin is better than yours. I inspect all the captives myself, and there was no "dentata."
YUP0000474	Sorry, I'm just glad someone is doing something. The last thing I need is to be made some legionary's bitch and sent off to God knows where.
YUP0000475	While we don't know what his exact plans are, my orders are to take no risks. I'm sending you to take Mr. House out of the equation. Any questions?
YUP0000476	Before or after the human race shot itself in the foot? I've been around long enough to have both opinions, see.
YUP0000477	Santiago is here to please, my prairie flower. Just a few caps and I'm yours.
YUP0000478	You did? Hot damn! I've been looking for one of those for years!
YUP0000479	Oh, that's great. I sure could use some help. You see, I do explosives, and they have a special need for some big explosions.
YUP0000480	[FAILED]Yeah, I could build a nuke, but I'm not looking to turn the Mojave into a giant mirror.
YUP0000481	I apologize, friend, but that is absurd given the value of this information.
YUP0000482	I've got to deal with drunk troopers making fools of themselves and embarrassing all of the NCR with their behavior, so it's just another day here.
YUP0000483	At least a couple of doses of Fixer, a bottle of whiskey, and Rad-Away.
YUP0000484	[FAILED] You think Santiago is susceptible to such idle threats? Santiago laughs at your silly bluff.
YUP0000485	With Jacob Hoff sobered up, there are new drinks on the menu and sales are strong. People love the new Absinthe and Rum & Nuka.
YUP0000486	You do? That's wonderful! Let me see what you brought.
YUP0000487	I seriously doubt that it would be in my best interest to discuss the NCR with someone of your reputation.
YUP0000488	I got no fucking idea. They let him have the run of the place though. He seems like a nice guy, but he makes me nervous.
YUP0000489	[SUCCEEDED] Hah! I like your style, kid, but the best I can do is meet you halfway. 375 caps, and we can call it a deal.
YUP0000490	[FAILED] Heh, who are you shitting?
YUP0000491	[FAILED] Sorry excuses?.. That's does it! Tell Mr. House to hire a better artist, if he can find one in this barren wasteland!
YUP0000492	That'll save us some caps and help offload a bit of our overstock.
YUP0000493	[SUCCEEDED] Fresh food and water is worth its weight in gold... You've got yourself a deal.
YUP0000494	There, that's got it. Don't be so eager to sample dangerous substances in the future, okay?
YUP0000495	But I guess they had to stop after the first few kids thought they were filled with Nuka-Cola and drank it down.
YUP0000496	What's the matter, dearie? Afraid grandma will embarrass you in front of your little friends?
YUP0000497	Couldn't even hide from a half-blind old ghoul. How embarrassing for you.
YUP0000498	Now hand that back, you low-down thief!
YUP0000499	Have you considered the terms of my offer? There's little else for us to discuss until you have.
YUP0000500	You again? What do you need?
YUP0000501	Y'all sure are a big ol' hero. I gotta write my mama and tell her I met you!
YUP0000502	Hi there. Welcome to the Westside Co-op. I'm Clayton Etienne. Let me know if you have any questions.
YUP0000503	The "great" republic couldn't find enough soldiers to liberate this camp, so they sent you? Pathetic.
YUP0000504	This console regulates the pumps keeping Lake Mead from flooding the Securitron storage galleries.
YUP0000505	Attn NCR Staff,
YUP0000506	We received nearly ten times the medical supplies requested. We had an incident of a broken leg - not a missile strike. Please arrange a supply shipment to redistribute - no doubt there's an NCR military camp that desperately needs the supplies.
YUP0000507	You'll be happy to know that our vault is packed and coasting along! Even with those legionnaires bad news we still get plenty of NCR squares down here. They are all chirpy and don't appear to mind that Caesar is crusin' for a bruisin' all over the place. Maybe the NCR is stronger than we thought, uh? Don't know... you think we can trust them over Mr. House?
YUP0000508	(Optional) Let Mick and Ralph know why the Omertas stopped buying their guns.
YUP0000509	Tell Caesar the the Securitron army is no longer a threat.
YUP0000510	It reminds you of being trapped in the Auto-Doc.
YUP0000511	I was planning on helping you get even deadlier creatures, but not without a raise.
YUP0000512	Why bother? You're embarrassing yourself enough as it is.
YUP0000513	<Lie>Troike wants to see about negotiating some lower prices for weapons for you guys.
YUP0000514	I'll find the Stealth Boy stockpile for you if your kin will leave this place.
YUP0000515	[FAILED] <Takes Contreras' package> Bullshit, let's see what you've got here...
YUP0000516	A beautiful thing. Saved a little blast powder here, hid a makeshift weapon there, and one day I orchestrated a little symphony for the NCR.
YUP0000517	A break's better than a shot - less chance of lead poisoning. Hey, if you know any gigs hiring, I'll work cheap. Real cheap. I'll take peanuts, I'll take the shells!
YUP0000518	And I'm desperate for spices or seasonings. Anything. Just something for the general mood around here.
YUP0000519	Brass won't say it to me straight, but they mean to leave Esteban out there. I can see that plain.
YUP0000520	But I'm willing to pay you, if you'll find Keely and make sure she's safe. Ain't right leaving her out there, no idea if she's alive or dead.
YUP0000521	Caesar was impressed enough to conscript us, use our skills with dogs to join the Legion as houndmasters.
YUP0000522	Contreras is a genius, he can find almost anything you'd want. Takes caps to get him motivated, though. He won't do a thing for free. 
YUP0000523	Download all the information on the central server to your Pip-Boy. And you'll be certain to bring me any notes or samples that you find, won't you? 
YUP0000524	Fine by me. You the one missing out on all the exciting details.
YUP0000525	Friend, not a few minutes ago I chanced upon a pair of destitute orphans grappling over just such an item.
YUP0000526	From there, it took just a couple of greased palms to get someone to let me cherry pick a container or two out of every shipment. Easy as pie.
YUP0000527	Give your report to the Elder, then have the doc look you over. Oh, and welcome back.
YUP0000528	Hah go!
YUP0000529	Hanlon, exhausted from a lifetime of service to the NCR, stepped down from his position in the rangers and retired to his ranch in Redding.
YUP0000530	Here's the key to the Prez. I'll see you there in two shakes. Ta-ta.
YUP0000531	Honestly, we're fighting a lot of fires right now. The Fiends keep pressing their position from Vault 3. 
YUP0000532	I ain't chasin' 'em. 
YUP0000533	I messed up. Made a mistake. I thought I could help us get out of here, but... it didn't work out.
YUP0000534	If you're in the neighborhood of Camp McCarran anytime soon, look for Dr. Williams. She was one of the few people there I could tolerate.
YUP0000535	If you're looking for humans, the Khans are north of us, and there's an NCR base at McCarran, past Vault 3. Supposedly there are muties to the southeast.
YUP0000536	It started with the breakout from prison up the road. First there was just a few thugs rolling through town, but then they got organized.
YUP0000537	I've also left some bomb ingredients in with the explosives. You are to take those to the footlocker of Private Crenshaw.
YUP0000538	Lupa? Yes, she's the mother of a lot of our best dogs. She's getting old, but she's still a tough old bitch. Aren't you, girl? Yeah!
YUP0000539	Maybe you're right. Come on, boys, let's get the hell out of here before the law shows up.
YUP0000540	My husband... he's a Ranger, and he... he got murdered by a pack of Fiends. Goddamn savages laid his body out to rot. 
YUP0000541	My offer far exceeds the original terms of your contract, which, I will remind you, already obligates you to deliver the Chip.
YUP0000542	No trouble at all. Might be nothing. Couple frisky young folks looking for a quiet place to snuggle up. 
YUP0000543	Now everywhere I go, folks I never even met shake my hand and call me "Mr. Gunderson." Don't quite know what to make of that.
YUP0000544	Oh you don't want to do that, baby. Whatever's down in that bunker is the key to the city called Vegas. So here's what you do¡¦
YUP0000545	Oliver can't stand that rangers got credit for victory at Hoover. Whatever I recommend, he does the opposite. I said I wanted us on the ridge.
YUP0000546	One thing I should tell you about Cook-Cook. The piece of shit is pure animal. He raped one of my snipers, and that makes this personal. 
YUP0000547	Seclusion has kept us safe, but the world around us is changing. Neon lights in the distance, patrolling robots, soldiers...
YUP0000548	She said that this day would come, and that any savage to reach our gates should be brought to her.
YUP0000549	Shh. You feel that? That's the winds of change, baby, and Fantastic's riding them with his magical angel wings.
YUP0000550	Show yourself, Outsider. 
YUP0000551	Ted Gunderson is his name. It would be simplest if we could convince him this was all an unfortunate misunderstanding.
YUP0000552	That's exactly what Leo told me to do!
YUP0000553	The Kings refused, and briefly became slaves in the Legion, but after a failed escape attempt, they were all put to death.
YUP0000554	The resulting hybrid proved to be more adaptable than expected, however, and soon became a threat to humans.
YUP0000555	The whole point of killing the geckos was so that we could get at the sulfur and you've just made that a hell of a lot more difficult. Now fuck off.
YUP0000556	There was no choice in what I did. It was more like... being forced to watch something you can't stop.
YUP0000557	They saw the shit I did for the NCR, how I carried them on my back, brought the fire to the heathens. I wasn't gonna help them but they begged.
YUP0000558	Unfortunately, I don't have the time to go searching for missing supplies since I have my hands full with injured troopers.
YUP0000559	We now have a chance to take the fight to those bastards on their home turf. 
YUP0000560	What in samhill?
YUP0000561	Yeah. What they do to women... that's worse than death.
YUP0000562	You... blew it up? That's just funny, because that... army... seems like the secret weapon that was the whole point of... you know?
YUP0000563	Actually let's talk about something else.
YUP0000564	Better for her to die than live as a Legion slave.
YUP0000565	He confessed it to me before he died. He used the word "frumentarius."
YUP0000566	He confessed it to me. Right before he died.
YUP0000567	I'm going to pollute the ventilation system with the stinking corpse of an NCR private.
YUP0000568	I've been fighting for the wrong side. Let me prove myself to you.
YUP0000569	Let's see... You've got that thingy... there. Power, uh, re-circulators here...
YUP0000570	RF detonator? Give me a second. <Deactivate the charge and remove his collar>
YUP0000571	They have tons of vegetables and water. How about expanding your business?
YUP0000572	Wasn't it dangerous to be dressed so... noticeably?
YUP0000573	What happens if the Platinum Chip is lost?
YUP0000574	Yes. You can join them, but he says you would all still have to pass the initiation rite.
YUP0000575	I'm writing to you because, as of today (06/15/2077), I still haven't received the shipment. I'm fresh out of the kits here, and with the summer tourist season picking up I really need the new ones ASAP.
YUP0000576	Chief Hanlon is the head of the NCR Rangers and one of its longest serving members. He coordinates the actions of the Rangers from their headquarters at Camp Golf.
YUP0000577	The Meltdown perk creates a damaging corona of energy every time you kill a target with Energy Weapons.
YUP0000578	A courier, doctor, and a cybernetic dog. After we deal with the whole "imminent conquest of New Vegas" problem we should open an act at the Tops.
YUP0000579	But, if I get one more chance to fly, count me in. I'll be there. My part of the pass phrase is "Dear."
YUP0000580	We don't have money to pay for the water, so I rigged the pump station to divert water to the local cisterns from time to time.
YUP0000581	I was never happier than when I was in the cockpit. I was able to go just about anywhere and everywhere, limited only by the fuel I could carry.
YUP0000582	No, but there ought to be. I'm just taking the initiative, is all.
YUP0000583	The bigger issue is payment. To supply the camp with meat will cost some serious caps.
YUP0000584	All his kind, they exist to be given orders. They're soldiers - simple, stupid. I ask him to fetch, and he did... even without the threat of death.
YUP0000585	Of all the people who could learn from our past mistakes, he goes and throws all of our knowledge off a cliff.
YUP0000586	Well he might've been wearing a fancy outfit, but he wasn't any kind of gentleman to me.
YUP0000587	Can't say I have, but we usually keep to ourselves down here. You might have more luck up by the motel.
YUP0000588	But they're not fooled 'cause he forgot to put checkers on his face. I told him so and he seemed to take it to heart.
YUP0000589	His friends seemed disappointed about it. Heck, I would be too, if I found such a fine store and left my money elsewhere.
YUP0000590	She's cute, isn't she? Like a puppy, almost. Unfortunately, our Head Scribe's intentions towards her aren't quite so innocent.
YUP0000591	[SUCCEEDED] Wow, our stockpiles mostly include full metal jacket. I should start a reloading class for the children to learn how to make ammunition!
YUP0000592	[FAILED] Right... when we repair stuff, we tend to use welding torches and plasma cutters. I think I still will with Loyal and Jack for repair knowledge.
YUP0000593	[FAILED] I'm sure you've got a lot of ideas, boss, but how about you let me make this decision?
YUP0000594	For a while it seemed like we might even survive there, until... until Rafaela.
YUP0000595	My whole family was trapped inside. I smelled the smoke and I got myself and my little sister, Rafaela, out through a window, but everyone else....
YUP0000596	I'm not standing here because I'm overburdened with emotion. Take some of this stuff off me so I can move a little more easily.
YUP0000597	Gah! Petro-Chico Boy! Petro-Chico Boy is here after my chicharrones! Oh. Just a dream. Just a dream....
YUP0000598	Also, before I forget, here's a key to a safehouse you can use to rest if you happen to be in the area. I'll just mark it on your map.
YUP0000599	Sorry, but I need to shoot Stacey. We can find you another gun.
YUP0000600	I probably shouldn't be saying anything, but it seems Papa's been making decisions based more on his desire for revenge than what's good for the tribe.
YUP0000601	Oh you don't want to do that, baby. Whatever's down in that bunker is the key to the city called Vegas. So here's what you do...
YUP0000602	Well, it's been awhile. All right, let's do this.
YUP0000603	I'm honestly pleasantly surprised they would help us out, but I can see the Garrets aren't doing this out of the goodness of their hearts.
YUP0000604	Alright. I'll come quietly, but this is fucked.
YUP0000605	Yeah, sure fucking thing. I'll be waiting with bated breath for your schedule to clear up, ha ha.
YUP0000606	Not really, but we don't have much choice. If you help out more around camp I could spare some additional men for the battle.
YUP0000607	We have a decent amount of men, but it'll be a close battle. If you help out more around camp, I could probably spare some additional troops.
YUP0000608	Thanks for your help, we have more than enough men to take those Legion bastards.
YUP0000609	[FAILED] What!? I don't get paid near enough to what my talent deserves!? 150 caps is my final offer.
YUP0000610	Looks like I got an eight, pardner.
YUP0000611	Looks like you got an eight, pardner.
YUP0000612	I don't want to talk about this, didn't you hear? Now, get lost before I run you off the hard way.
