MOD0000001	Welcome..
TTW0000820	They told me to cut the green wire to disable it. By the by, I'm color-blind.
TTW0000821	And I just slide this pre-war credit card through the lock...
TTW0000822	What's the key used for?
TTW0000823	Give me a straight answer on what happened in there!
TTW0000824	A gift of the key would be a wise diplomatic move, Mister President.
TTW0000825	A gift would be a wise diplomatic move, Mr. President. Something personal.
TTW0000826	I think it would be good for the continued existence of the Republic, Mister President.
TTW0000827	I'm here for your key.
TTW0000828	Hand over the key, clown shoes.
TTW0000829	Can't I just have the key as a present? No one's given me a present in awhile.
TTW0000830	Dukov has I key I need and I know you two are real close. Steal it for me?
TTW0000831	Been a long time since this all went down. Do you remember where Fort Constantine is?
TTW0000832	I put a bullet right between Ted Strayer's eyes.
TTW0000833	I blew Dukov's brains out.
TTW0000834	Dave's head popped like a zit.
TTW0000835	Chief Gustavo is having his face gnawed off by a giant mole rat!
TTW0000836	Come on. You can tell me. Ahzrukhal said so.
TTW0000837	Why didn't you just come out and say you wanted some money? Here's 20 caps.
TTW0000838	I'm going to need your key if you don't want bad things to happen to you.
TTW0000839	If you don't give me the key I'll make an origami swan with your corpse and hurl it into the river.
TTW0000840	Give me all your stuff or I'll make an origami swan with your corpse and hurl it into the river.
TTW0000841	You know, life is precious. I think yours is about 300 caps precious.
TTW0000842	I want more than that to spare your miserable life.
TTW0000843	I'm Thomas Jefferson and I'm here for that piece of paper with the stuff written on it.
TTW0000844	I'm Thomas Jefferson girlfriend and I'm here for that piece of paper with the stuff written on it.
TTW0000845	How is it you know so much about the Declaration but don't have it?
TTW0000846	One of the rebels did it to force everyone to leave. I tried to stop them.
TTW0000847	Your father set this in motion, saying dead people can't leave the vault.
TTW0000848	The Overseer's insane and thought no one would leave if they all died.
TTW0000849	One of the rebels did it to force everyone to leave.
TTW0000850	The vault's isolation is what keeps it safe. There are threats out there you cannot comprehend.
TTW0000851	I still say it is ludicrous to leave the vault.
TTW0000852	The vault's population isn't high enough to remain isolated forever.
TTW0000853	If I told you the things I'd seen, you'd brand me a liar. Nowhere out there is safer than in here.
TTW0000854	I'm not a charity. I need some sort of payment up front to use while finding your violin.
TTW0000855	I have costs I need to cover, and costs are always passed to the consumer.
TTW0000856	This is a priceless piece of history. And the price I'm offering it at is 300.
TTW0000857	C'mon, it's a Stradiwhovius. 300 caps.
TTW0000858	This is the kind of class and elegance your bar has never seen before. 300 caps.
TTW0000859	C'mon, this thing is from the 17th or 18th century. The ancient Egyptians probably played it!
TTW0000860	Please wake her, I really want to find out what happened to her.
TTW0000861	She could have vital information. We need to wake her.
TTW0000862	If you revive her, we can understand things better. You might even be able to treat her.
TTW0000863	You're adopted and nobody loves you. Run away; no one wants you here.
TTW0000864	Why not try mentoring Ted Strayer? You need someone to talk to, he needs guidance.
TTW0000865	As long as you have access to drugs, you're never going to recover. Tell me where your stash is.
TTW0000866	<Hack Private Jones to make it respond to a fake security emergency.>
TTW0000867	Robot! I doth command you to go elsewhere or something.
TTW0000868	Your secrets are always safe with me.
TTW0000869	Dave uses his power to push all of you around. If you don't stand up to him, who will?
TTW0000870	Exalted President Dave, I am an ambassador from the Wasteland to your Republic.
TTW0000871	I come bringing peace and hope and other stuff. Good stuff.
TTW0000872	I've been a collector of fine Dave memoriabilia for years now, I'd be happy to sell you some.
TTW0000873	I come from the nation of Franksinatrastan. We need any assistance you can give to ward off raiders.
TTW0000874	I have important business with Mister Tenpenny.
TTW0000875	I have a business offer for Mister Tenpenny. He's going to be pissed at you if he misses it.
TTW0000876	I just need to talk to Tenpenny.
TTW0000877	Yes. As in: I won't choke you to death with my bear hands.
TTW0000878	Yes. As in: I won't put you full of holes and use you as a collander.
TTW0000879	Yes. As in: I won't shove a live grenade down your pants and stroll away.
TTW0000880	Yes. As in: I won't cut your throat and pour your blood into a bucket.
TTW0000881	Yes. As in: I won't melt you into a puddle of goo.
TTW0000882	It was the only way to lure Wernher out of hiding.
TTW0000883	I couldn't get to Wernher any other way.
TTW0000884	Can't say that's a name I'm familiar with.
TTW0000885	Never heard of him. Why?
TTW0000886	I talked to him. Felt like he was trying to sell me a diseased brahmin, so I left.
TTW0000887	I met the man, but he seemed like trouble, so I steered clear.
TTW0000888	You sure are nosey.
TTW0000889	I found Bill. He said there's something he needs to see through and that he won't be back soon.
TTW0000890	Bill said to let you know he's okay, but he can't come back anytime soon.
TTW0000891	I heard Bill screaming in agony. When you hear a man screaming like that, you're too late...
TTW0000892	Well, I found Bill, but he was a dreadful conversationalist.
TTW0000893	I'm the buyer for the slaves.
TTW0000894	Do you mind that I'm a woman? I'm the buyer for the slaves.
TTW0000895	You're saying Marie has a transferable natural immunity.
TTW0000896	It's over. If you leave the Pitt and never look back, I'll spare you.
TTW0000897	If you don't make like a tree and get the fuck out of here you're a dead man.
TTW0000898	Wernher is jeapordizing what he's fighting for by continuing on. You need to tell me where he is.
TTW0000899	Sounds dangerous. How about helping a girl out?
TTW0000900	Our boys fought like old people fuck. Whose the bloat fly-brains in charge of this clusterfuck?
TTW0000901	This situation is totally and royally fucked up and I will have the commander's head on a platter!
TTW0000902	Slow down! Can we just talk for a bit?
TTW0000903	I'm kind of lost. Can I talk to the man in charge?
TTW0000904	I'm just trying to figure out what's going on here.
TTW0000905	I can be more helpful if I had a better idea of what's going on.
TTW0000906	It's over General. Stand down before there's any more needless loss of life.
TTW0000907	If you have any heavy-hitters I could use, I could take out the bastards even faster.
TTW0000908	Turning people into ghouls requires a sudden, massive dose of radiation.
TTW0000909	I'm from the United States Army and I'm here to help.
TTW0000910	I'm like, a soldier or something.
TTW0000911	These people are in dire need of some extra water.
TTW0000912	You should back down before people get hurt.
TTW0000913	Mind if I take that plasma rifle? I need serious firepower to carry out my orders.
TTW0000914	Can I have that plasma rifle?
TTW0000915	All I need is 500 caps and your water shipments stop getting tainted with blood.
TTW0000916	If I hadn't set this up, you wouldn't be in the protection racket. Give me a bigger cut.
TTW0000917	I think I deserve a bigger cut.
TTW0000918	You need to stop this. The water caravans benefit everyone.
TTW0000919	A lot of things about your operation don't add up.
TTW0000920	What's your angle? If you're selling irradiated water why bother getting clean water too?
TTW0000921	It's obviously different from Aqua Pura somehow, it's a valid question.
TTW0000922	This whole operation seems awfully expensive to run on pure altruism.
TTW0000923	How do you fund all this?
TTW0000924	C'mon. Something this big, no way absolutely everything is done by the book.
TTW0000925	These plants grow really well. What's your secret?
TTW0000926	Is it okay if I hang out with you sometimes?
TTW0000927	Look! I found Kenny-Bear!
TTW0000928	I found your teddy bear. No worse for wear.
TTW0000929	No medicine I've heard of is made in a still. What's going on?
TTW0000930	Seems legit. What do you need?
TTW0000931	I've never heard of Orange Fever and you're not exhibiting any classic signs of illness.
TTW0000932	My God. It's the orangest of all fevers. Are you going to survive without my help?
TTW0000933	I am the only one with the expertise to fix this for miles. I'm not doing it for less than 200 caps.
TTW0000934	I haven't decided either way. If you have any convincing arguments, you can make them to my wallet.
TTW0000935	I was just admiring the architecture.
TTW0000936	If we do anything to change how they're being stored, we could agonize them. Best to move on.
TTW0000937	If you need to talk to help cope with what's going on, it's okay.
TTW0000938	I found the recording you made about what happened. Do you want to talk about it?
ETC0000001	Devour
ETC0000002	E) TAKE
ETC0000003	E) STEAL
ETC0000004	R) TRANSFER
ETC0000005	ZAPCP is purging the cell buffers...
ETC0000006	Auto Loot Enhanced
ETC0000007	[%] has been loaded.
ETC0000008	Why don't we just take a break and relax here for a while?
ETC0000009	Zan AutoPurge Crash Protector initialized.
ETC0000010	<END CORRUPTED DATA>
ETC0000011	God Mode enabled.
ETC0000012	God Mode disabled.
ETC0000013	All map markers shown.
ETC0000014	[%]: Uppercut
ETC0000015	[%]: Cross
ETC0000016	[%]: Back Slash
ETC0000017	Securiton Operations Console
ETC0000018	Looting [%]
ETC0000019	Sunset Sarsaparilla Cr...
ETC0000020	It increases the Holorifle's accuracy.
ETC0000021	Dirt-Nap
ETC0000022	Flambe Cut
ETC0000023	Fore!
ETC0000024	Grand Slam
ETC0000025	Inversal Scarifier
ETC0000026	Lights Out
ETC0000027	Long Cut
ETC0000028	Mauler
ETC0000029	Nuka-Break
ETC0000030	Pain Frequency
ETC0000031	Proton Electrocutioner
ETC0000032	Scrap Heap
ETC0000033	Surgical Strike
ETC0000034	Unlabored Flawlessness
ETC0000035	[%]: Blood-Nap
ETC0000036	[%]: Dirt-Nap
ETC0000037	[%]: Flambe Cut
ETC0000038	[%]: Fore!
ETC0000039	[%]: Grand Slam
ETC0000040	[%]: Inversal Scarifier
ETC0000041	[%]: Lights Out
ETC0000042	[%]: Long Cut
ETC0000043	[%]: Mauler
ETC0000044	[%]: Nuka-Break
ETC0000045	[%]: Pain Frequency
ETC0000046	[%]: Proton Electrocutioner
ETC0000047	[%]: Scrap Heap
ETC0000048	[%]: Surgical Strike
ETC0000049	[%]: Unlabored Flawlessness
ETC0000050	[%]: Stomp
ETC0000051	[%]: Khan Trick
ETC0000052	[%]: Ranger Takedown
ETC0000053	[%]: Legion Assault
ETC0000054	[%]: Scribe Counter
0AC0000003	Remote Activate Ballast
0AC0000004	Play Roulette
0AC0000005	Play Slots
0AC0000006	Play Blackjack
0AC0000007	Read Note
0AC0000008	Drink
0AC0000009	Place Sonic Emitter
0AC0000010	Read Journal
0AC0000011	Distribute Blood Sample
0AC0000012	Stash Body
0AC0000013	Pick [%]
0AC0000022	Repair Food Processor
0AC0000023	Examine Case
0AC0000029	Cook
0AC0000030	Examine
0AC0000031	Examine [%]
0AC0000033	Place Thermite
0AC0000041	Activate Door
0AC0000042	Diagnose Injured Trooper
0AC0000043	Open Fort Drawbridge
0AC0000045	Enter Cave
0AC0000046	Activate Elevator to Vault 19 - 1st Floor
0AC0000047	Place Sonic Emitter on Ant Mound
0AC0000048	Enter Ant Mound
0AC0000051	Climb Ladder
0AC0000052	Use Ladder
0AC0000055	Open Gate to The Legate's Camp
0AC0000057	Exit to Wasteland
0AC0000058	Open Door
0AC0000059	Inaccessible Tunnel
0AC0000063	Open Door to Vault 34 Overseer's Quarter
0AC0000064	Open Door to Security Station A
0AC0000066	Call Elevator
0AC0000067	Call Express Elevator To Suites
0AC0000068	Call Express Elevator To Lower Level
0AC0000070	Take Elevator to Presidential Suite
0AC0000071	Take Elevator to 13th Floor
0AC0000072	Take Elevator to Sub-Basement
0AC0000073	Take Elevator to Tops Casino Main Floor
0AC0000074	Climb Ladder to North Vegas
0AC0000075	Climb Ladder to The Freeside Gate
0AC0000076	Climb Ladder to Crimson Caravan
0AC0000077	Climb Ladder to Camp McCarran
0AC0000078	Climb Ladder to Aerotech Office Park
0AC0000079	Climb Ladder to NCR Sharecroppers
0AC0000080	Climb Ladder to Westside Pawn Shop
0AC0000081	Travel to The Fort
0AC0000088	Activate
0AC0000093	Enter Freeside
0AC0000094	Exit to Outer Vegas
0AC0000095	Enter the Strip
0AC0000096	Take Monorail to the Strip
0AC0000097	Enter Lieutenant Hayes' Tent
0AC0000098	Travel to Cottonwood Cove
0AC0000100	Leave Northern Passage
0AC0000101	Enter Northern Passage
0AC0000104	Exit Safehouse Bunker
0AC0000105	Enter Safehouse Bunker
0AC0000106	Call Head Waiter
0AC0000107	Open Door to The Armory
0AC0000112	Take Monorail to McCarran
0AC0000113	Enter Tunnel to The Sulfur Caves
0AC0000114	Open Grate to Vault 19
0AC0000117	Activate Elevator to Vault 19 - Reactor
0AC0000118	Activate Elevator to Vault 19 - Living Quarters
0AC0000119	Open Red Sector Door
0AC0000120	Open Blue Sector Door
0AC0000121	Activate Elevator to Vault 19 - Overseer's Office
0AC0000124	Read Threatening Note
0AC0000126	Tent Flap to [%]
0AC0000127	Climb Ladder to [%]
0AC0000128	Enter [%]
0AC0000129	Exit to [%]
0AC0000130	Open [%]
0AC0000131	Open Door to [%]
0AC0000132	Open Gate to [%]
0AC0000133	Take Elevator to [%]
0AC0000134	Travel to [%]
0AC0000135	Vault 3 to Vault 3 - Recreation Area
0AC0000136	Journey to [%]
0AC0000137	Take [%]
0AC0000138	Enter Tunnel to [%]
0AC0000139	Junk Door to [%]
0AC0000140	Stairs to [%]
0AC1000004	Gather Cloud Residue
0AC1000005	Read Electrical Diagram
0AC1000006	Speak with Father Elijah
0AC1000007	Open Door to Electrical Closet
0AC1000008	Take Elevator to The Vault
0AC1000009	Flip Switch
0AC1000010	Door to Salida del Sol House
0AC1000011	Activate Gala Event Control Panel
0AC1000012	Climb Ladder to Bell Tower
0AC1000014	Security Chief's Assistant's Desk
0AC1000016	Search Corpse
0AC1000019	Take Vera's Dress
0AC1000020	Inspect Turret Electric Generator
0AC1000022	Travel to Sierra Madre Casino
0AC2000002	Take White Legs War Totem
0AC2000003	Take Li'l Scout Lunchbox
0AC2000006	Enter Crossroads Cavern
0AC2000016	Interact with Lost Bighorner Calf
0AC2000017	Journey to Northern Passage Cave
0AC2000023	Plant Explosive
0AC3000002	Initiate Test Fire
0AC3000003	Turn Off Proximity Detector
0AC3000010	Collect [%]
0AC3000019	Collect Hanging Meat
0AC3000023	X-8 Kennel Door to X-8 Central Facility
0AC3000024	Satellite Dish Ladder to Big MT
0AC4000001	Examine Warhead
0AC4000002	Examine Poster
0AC4000003	Take Blood-Nap
0AC4000007	Enter Tunnel
0AC4000008	Elevator to the Temple
0AC4000009	Activate Lift to Ashton Missile Silo
0AC4000010	Take Boat to Cottonwood Cove
0AC4000011	Restore Hopeville Silo's Power
0AC4000012	Take Boat to Dry Wells
0AC4000013	Travel to the Courier's Mile
0AC4000014	Travel to the Lonesome Road
0AC4000015	Pick Up Red Glare
0AC4000016	Take Lift to The High Road
0AC4000017	Take Lift to Ashton Missile Silo
0AC4000018	Search Dead Marked Man
0AC4000019	Pull Lever
0AC4000020	Pick Up Laser Detonator
0AC4000021	Open Ashton Silo
0AC4000022	Exit to the Mojave Wasteland
0AC4000024	Enter Collapsed Overpass Tunnel
0AC4000025	Elevator to Maintenance
0AC4000026	Exit Collapsed Overpass Tunnel
0AC4000027	Enter The High Road
0AC4000028	Exit to The Divide
F3NGA00001	Energy Rifle
F3NGA00002	Friend of the People
F3NGA00003	Resolution
F3NGA00004	Caps
F3NGA00005	Live
F3NGA00006	Champion of Justice
F3NGA00007	Your Hunger level has increased
F3NGA00008	Play Audio
F3NGA00009	QTY
F3NGA00011	Symbol of Order
F3NGA00012	Self
F3NGA00013	Version Info
F3NGA00014	Male
F3NGA00015	Herald of Tranquility
F3NGA00016	Save game deleted.
F3NGA00017	You are overencumbered and cannot run!
F3NGA00018	Eye Sockets
F3NGA00019	Cheekbones thin/wide
F3NGA00020	RAD/SEC
F3NGA00021	Back
F3NGA00022	You cannot hack this computer.
F3NGA00023	Last, Best Hope of Humanity
F3NGA00024	Voice
F3NGA00025	Savior of the Damned
F3NGA00026	Quicksave
F3NGA00027	Win/Loss Totals:
F3NGA00028	December
F3NGA00029	Light Fade
F3NGA00030	Cinematic
F3NGA00031	Chin small/large
F3NGA00032	Hit
F3NGA00033	You cannot change armor while attacking.
F3NGA00034	Bet Max
F3NGA00035	QUICK
F3NGA00036	hours
F3NGA00037	Ingredient had no effect.
F3NGA00038	A storage device which contains downloadable content has been removed. Returning to the title screen.
F3NGA00039	NO STATUS EFFECTS
F3NGA00040	Remove It
F3NGA00041	secs
F3NGA00042	[%] added
F3NGA00043	Even though you've done some good for the community, people still think you're a punk.
F3NGA00044	Beard
F3NGA00045	Req
F3NGA00046	the Left Stick Right
F3NGA00047	Cancel transaction?
F3NGA00048	Are you sure you want to load this game?
F3NGA00049	Skin tint purple/yellow
F3NGA00050	ITEMS
F3NGA00051	[HIDDEN]
F3NGA00052	You are already at full health.
F3NGA00053	WARNING: Any unsaved progress will be lost.
F3NGA00054	How long would you like to
F3NGA00055	Mouth lips deflated/inflated
F3NGA00056	Reload
F3NGA00057	World Map
F3NGA00058	Soft-Hearted Devil
F3NGA00059	Frenzied
F3NGA00060	the Right Stick Up
F3NGA00061	You are now sick with [%]
F3NGA00062	[%]You have been banned from gambling at this casino.
F3NGA00063	Bet
F3NGA00064	Eyebrows upper dark/light
F3NGA00065	the Left Stick Up
F3NGA00066	The lock has been broken.
F3NGA00067	Level
F3NGA00068	Hlth
F3NGA00069	Added Effects
F3NGA00073	Disarm Mine
F3NGA00075	You have contracted [%]
F3NGA00076	DPS
F3NGA00077	Return
F3NGA00078	Start
F3NGA00079	the Right Stick Right
F3NGA00080	Auto Move
F3NGA00081	The save game is corrupt and cannot be loaded.
F3NGA00082	This NPC cannot help you train any higher.
F3NGA00083	Jaw wide/thin
F3NGA00084	Music
F3NGA00085	Settings
F3NGA00086	You cannot repair items when enemies are nearby.
F3NGA00087	[%] removed
F3NGA00088	Easy
F3NGA00089	D-패드 Down
F3NGA00090	Forfeit Game
F3NGA00091	View Available Content
F3NGA00092	the Right Stick Left
F3NGA00093	R-Alt
F3NGA00094	EFF
F3NGA00095	Randomize your head?
F3NGA00096	Messiah
F3NGA00097	File does not exist
F3NGA00098	Skin shade dark/light
F3NGA00099	[%] TRAITS LEFT
F3NGA00101	//Gun Spread
F3NGA00102	Sunday
F3NGA00103	You win!
F3NGA00104	Downloadable Content
F3NGA00105	Talk
F3NGA00106	R-Ctrl
F3NGA00107	You can't fast travel while taking health damage
F3NGA00108	Jawline concave/convex
F3NGA00109	&OK
F3NGA00110	sec
F3NGA00111	//Target Fatigue
F3NGA00112	ROBCO INDUSTRIES UNIFIED OPERATING SYSTEM
F3NGA00113	Enter character name.
F3NGA00114	Chin retracted/jutting
F3NGA00115	DATA
F3NGA00117	COPYRIGHT 2075-2077 ROBCO INDUSTRIES
F3NGA00118	Wild Child
F3NGA00119	You feel lucky. You win
F3NGA00120	Steal
F3NGA00121	Your left leg is now crippled.
F3NGA00123	Move It
F3NGA00124	For your overwhelmingly monstrous behavior, you have become vilified by the community.
F3NGA00125	May
F3NGA00126	You cannot fast travel from this location.
F3NGA00127	Forehead small/large
F3NGA00129	Open
F3NGA00130	You no longer have Sleep Deprivation sickness
F3NGA00132	Dark Hero
F3NGA00133	LWin
F3NGA00134	You can't Quickload while the game is paused.
F3NGA00135	Quest updated
F3NGA00136	Requires Key
F3NGA00137	In order to use the downloaded content associated with this profile, you will need to restart.
F3NGA00138	Do you want to set your marker?
F3NGA00140	You cannot fast travel during combat!
F3NGA00141	Kill Cam Mode
F3NGA00142	Object Effect
F3NGA00143	saves used.
F3NGA00144	Save On Wait
F3NGA00145	Eye sockets dark/light
F3NGA00146	You are suffering from [%] withdrawal.
F3NGA00148	[Locked - Broken]
F3NGA00149	Lock
F3NGA00150	Your radiation level has increased
F3NGA00151	Maintain
F3NGA00152	CHOOSE UP TO [%] TRAITS (OR NONE)
F3NGA00154	[DANGER]
F3NGA00155	Armor Class
F3NGA00156	Your dehydration level has increased.
F3NGA00157	Reloading the most recent save game
F3NGA00158	The storage device you selected is no longer available. Load canceled.
F3NGA00159	Reset your control mappings to their default settings?
F3NGA00160	up to level [%]
F3NGA00161	remaining
F3NGA00163	Flushed
F3NGA00164	Medium
F3NGA00165	Accepted[CRLF]Folks have come to accept you for your helpful nature.
F3NGA00166	Pad /
F3NGA00167	[%] is fleeing.
F3NGA00168	Light/Dark
F3NGA00169	[%] signal found.
F3NGA00170	Losses to Date:
F3NGA00171	Cheeks Light/Dark
F3NGA00172	Unpredictable
F3NGA00173	You can't Quicksave while the game is paused.
F3NGA00175	Circle Light/Dark
F3NGA00176	Goatee Light/Dark
F3NGA00177	skill increased
F3NGA00178	Skill of [%]
F3NGA00179	You no longer have radiation sickness
F3NGA00180	Sneak Attack Critical on [%]
F3NGA00181	Critical Strike on [%]
F3NGA00182	Moustache
F3NGA00183	Mouth(Lips)
F3NGA00184	Restore
F3NGA00185	Blush Light/Red
F3NGA00186	General(Skin)
F3NGA00187	You have a basic understanding of this skill.
F3NGA00188	Bruised/Bright
F3NGA00191	Ready/Reload
F3NGA00192	Dark/Light
F3NGA00194	Transact
F3NGA00195	<Missing Name>
F3NGA00196	[%] was unequipped
F3NGA00197	Increase
F3NGA00198	Aimed
F3NGA00200	[EMPTY]
F3NGA00201	push
F3NGA00202	Vibration
F3NGA00203	You must purchase chips before you can play this game.
F3NGA00204	skill decreased
F3NGA00206	Press the new control for this action
F3NGA00207	Renegade
F3NGA00208	Eyeshadow light/dark
F3NGA00209	Renowned for your extensive support and goodwill, you are idolized by the community.
F3NGA00210	Seeker
F3NGA00211	Eyelids
F3NGA00212	equipped.
F3NGA00213	-Server 1-
F3NGA00214	Wanderer
F3NGA00215	Sit
F3NGA00216	Mute
F3NGA00217	You feel unlucky. You lose
F3NGA00218	Naso labial lines light/dark
F3NGA00219	ASSIGN 1 SKILL POINT
F3NGA00220	-Server 2-
F3NGA00221	Citizen
F3NGA00222	Dn-Left
F3NGA00224	-Server 3-
F3NGA00225	Adventurer
F3NGA00227	(Unknown Effect)
F3NGA00228	Save failed.
F3NGA00229	You do not have enough room to drop this object.
F3NGA00230	Repair All ([%])
F3NGA00231	-Server 4-
F3NGA00232	Vagabond of the Wastes
F3NGA00233	You must have at least 30 cards to play Caravan.
F3NGA00234	-Server 5-
F3NGA00236	Automatic
F3NGA00237	Directional Button
F3NGA00238	You cannot hotkey broken items.
F3NGA00239	-Server 6-
F3NGA00240	Desert Scavenger
F3NGA00241	Object LOD Fade
F3NGA00242	Nose bridge short/long
F3NGA00243	she
F3NGA00244	-Server 7-
F3NGA00245	Drop
F3NGA00246	Corrupt
F3NGA00247	-Server 8-
F3NGA00248	Mouth drawn/pursed
F3NGA00249	BUY
F3NGA00250	-Server 9-
F3NGA00251	You must exit and restart Fallout: New Vegas for changes in this setting to take effect.
F3NGA00252	female
F3NGA00253	Emperor's Birthday
F3NGA00254	Heal
F3NGA00255	Xbox 360 Controller
F3NGA00256	You have too many followers.
F3NGA00257	Constant Effect
F3NGA00258	Are you sure you want to delete this save game?
F3NGA00259	You cannot remove Quest Items from your Inventory.
F3NGA00260	Image File
F3NGA00261	LEVEL UP
F3NGA00262	Note Added: [%]
F3NGA00263	Bald
F3NGA00264	You can not eat quest items.
F3NGA00265	[%] REPAIR SKILL NEEDED
F3NGA00266	Nose short/long
F3NGA00267	Mouth
F3NGA00268	Quantity
F3NGA00269	Create
F3NGA00270	Old Life Festival
F3NGA00271	Very Easy
F3NGA00272	Vol +
F3NGA00274	Next Challenge Type
F3NGA00275	CHOOSE [%] PERKS
F3NGA00276	Navigate
F3NGA00277	Mutant Master
F3NGA00278	Do you just want to serve your time?
F3NGA00279	Damage Challenges
F3NGA00280	Completed Quests
F3NGA00281	Do you want to travel to [%]?
F3NGA00282	Made at ...
F3NGA00283	OFF
F3NGA00285	Thick/Thin
F3NGA00286	Age
F3NGA00288	Start new game?
F3NGA00289	You cannot sleep while trespassing.
F3NGA00290	Very Thin/Thick
F3NGA00291	the Left Stick Down
F3NGA00293	Light/Dark (Lower)
F3NGA00294	Nose
F3NGA00295	CURRENT OBJECTIVE
F3NGA00296	Your
F3NGA00297	A)
F3NGA00298	The storage device you selected is no longer available. You will need to select a new device the next time you save. Until then, Autosave is disabled.
F3NGA00299	Use Ranged
F3NGA00300	Light/Dark (Outer)
F3NGA00301	Nose sellion down/up
F3NGA00302	Dark/Light (Upper)
F3NGA00303	No, keep playing.
F3NGA00304	You are out of lockpicks.
F3NGA00305	Pale/Red
F3NGA00307	Requires
F3NGA00308	Mid Year Celebration
F3NGA00309	Neutral
F3NGA00310	Eyeliner Lt./Dark
F3NGA00311	An active mine has already been placed on this enemy.
F3NGA00312	E)
F3NGA00313	Shadow Light/Dark
F3NGA00314	[%] is calmed and cannot respond.
F3NGA00315	F)
F3NGA00316	pull
F3NGA00317	Dk Brown/Lt Blue
F3NGA00318	VAL
F3NGA00319	High
F3NGA00320	Whites Dim/Bright
F3NGA00321	Difficulty
F3NGA00322	Hot Key
F3NGA00323	New Content Available
F3NGA00324	Liked
F3NGA00326	Vegas Councillor
F3NGA00327	Forward
F3NGA00328	You cannot drop an equipped item until you complete your current action.
F3NGA00329	Nose down/up
F3NGA00330	Local Map
F3NGA00331	Keeper
F3NGA00332	2nd Dozen
F3NGA00333	AMBER
F3NGA00334	Wg
F3NGA00335	Sort
F3NGA00336	Second Planting
F3NGA00337	Mojave Myth
F3NGA00338	Dn-Rt
F3NGA00339	Up
F3NGA00340	Body Part
F3NGA00341	Courier
F3NGA00342	Are you sure you want this to be your [%]?
F3NGA00343	Pinnacle of Survival
F3NGA00344	SECURITY RESET...
F3NGA00346	Vegas Myth
F3NGA00347	Strider of the Wastes
F3NGA00349	Beholder
F3NGA00351	Payout
F3NGA00352	* Position/dimensions are relative to 1280 x 960 texture space!
F3NGA00353	Wasteland Watcher
F3NGA00355	Nose nostril tilt down/up
F3NGA00356	Jaw
F3NGA00357	Super-Human
F3NGA00359	Sneak attack for [%]
F3NGA00360	PLEASE STAND BY
F3NGA00361	OPTIONAL TRAITS: [%]/[%] Selected
F3NGA00362	Mouse
F3NGA00365	ATTRIBUTES: [%]/[%] Points Assigned
F3NGA00366	Mysticism
F3NGA00367	Thursday
F3NGA00368	Other Challenges
F3NGA00369	[%] can't carry any more.
F3NGA00371	Lips flushed/pale
F3NGA00372	Mouth-Chin distance short/long
F3NGA00373	Eyes down/up
F3NGA00374	//Target DR
F3NGA00376	You find nothing of use.
F3NGA00378	Jester's Day
F3NGA00379	Auto Attempt
F3NGA00380	You've lost Karma!
F3NGA00381	Dud removed.
F3NGA00382	//Target DT
F3NGA00383	[%] has already caught you.
F3NGA00384	Your weapon has broken.
F3NGA00385	Switch Limbs
F3NGA00386	Hair Color
F3NGA00387	Touch
F3NGA00388	Absorb
F3NGA00389	Vilified
F3NGA00390	MODS
F3NGA00391	February
F3NGA00392	Your right arm is now crippled.
F3NGA00393	Unknown Location
F3NGA00394	No saved games.
F3NGA00395	Controls
F3NGA00396	R:
F3NGA00397	Beard goatee light/dark
F3NGA00398	Place Marker
F3NGA00399	Pickpocket
F3NGA00400	Chips:
F3NGA00401	3rd Dozen
F3NGA00402	Close
F3NGA00403	Eyebrows dark/light
F3NGA00404	You have not found this location yet.
F3NGA00405	Always Run
F3NGA00406	Your settings could not be saved. Your Gamer Profile is not available. Please check your storage devices.
F3NGA00407	Dark Red/Lt. Blue
F3NGA00408	Random
F3NGA00410	CRIPPLED
F3NGA00411	Dark Blue/Lt. Red
F3NGA00412	Illusion
F3NGA00413	Sneering Punk
F3NGA00414	Launcher
F3NGA00415	X-Sensitivity
F3NGA00416	HUD Opacity
F3NGA00417	You cannot wait in the air.
F3NGA00418	Naso Labial Lines
F3NGA00420	Nares Small/Large
F3NGA00422	Turn off 360 Controller in the Controls section of the Settings menu to switch back to Keyboard/Mouse.
F3NGA00423	LMB
F3NGA00424	Grass Fade
F3NGA00425	Shade
F3NGA00426	Are you sure you want to be a [%]?
F3NGA00427	Blue Tint
F3NGA00428	Eyelids light/dark
F3NGA00429	Are you sure you want to be an [%]?
F3NGA00431	Yellow Tint
F3NGA00432	gold
F3NGA00434	Restoration
F3NGA00435	Quests Completed
F3NGA00436	<NOT BOUND>
F3NGA00437	You cannot wait when enemies are nearby.
F3NGA00438	Face brow/nose/chin ratio
F3NGA00439	Locations Discovered
F3NGA00440	You cannot change weapons while attacking.
F3NGA00441	PM
F3NGA00442	Magic
F3NGA00443	People Killed
F3NGA00444	You have zero chance to hit.
F3NGA00445	Eyeliner
F3NGA00446	Entry denied
F3NGA00448	Creatures Killed
F3NGA00450	Down
F3NGA00451	Looking for content. Please wait.
F3NGA00452	Cards in Deck:
F3NGA00453	Locks Picked
F3NGA00454	Average
F3NGA00455	Effect has already been added. Edit the effect instead.
F3NGA00456	Eyebrows very thin/thick
F3NGA00457	Computers Hacked
F3NGA00458	Renegade of the Wastes
F3NGA00459	Nose region concave/convex
F3NGA00462	Stimpaks Taken
